element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Si,1,"=""184.874""","=""184.87480""","=""100""","=""3.92e+07""",D+,"=""223.157""","=""54313.818""","=""3s2.3p2""","=""3P""","=""2""","=""3s2.3p.5s""","=""3P*""","=""1""",5,3,,"=""T5071""","=""L3521""",
Si,1,"=""185.067""","=""185.06720""","=""500""","=""3.05e+08""",C+,"=""223.157""","=""54257.582""","=""3s2.3p2""","=""3P""","=""2""","=""3s2.3p.3d""","=""3D*""","=""3""",5,7,,"=""T8363c22""","=""L3521""",
Si,1,"=""185.246""","=""185.24716""","=""200""","=""7.40e+07""",C+,"=""223.157""","=""54205.090""","=""3s2.3p2""","=""3P""","=""2""","=""3s2.3p.3d""","=""3D*""","=""2""",5,5,,"=""T8363c22""","=""L3521""",
Si,1,"=""185.315""","=""185.31522""","=""50""","=""7.92e+06""",C,"=""223.157""","=""54185.264""","=""3s2.3p2""","=""3P""","=""2""","=""3s2.3p.3d""","=""3D*""","=""1""",5,3,,"=""T8363c22""","=""L3521""",
Si,3,"=""""","=""185.6070""","=""""","=""2.06e+08""",C,"=""176487.19""","=""230364.46""","=""3s.4p""","=""1P*""","=""1""","=""3s.6s""","=""1S""","=""0""",3,1,,"=""T6298c4""","=""""",
Si,1,"=""187.484""","=""187.48424""","=""500w""","=""1.07e+08""",D,"=""6298.850""","=""59636.667""","=""3s2.3p2""","=""1D""","=""2""","=""3s2.3p.(2P*<3/2>).6s<1/2>""","=""(3/2,1/2)*""","=""1""",5,3,,"=""T5071""","=""L3521""",
Si,1,"=""188.185""","=""188.1854""","=""200""","=""5.00e+06""",D+,"=""223.157""","=""53362.24""","=""3s2.3p2""","=""3P""","=""2""","=""3s2.3p.3d""","=""1F*""","=""3""",5,7,,"=""T5814""","=""L3521""",
Si,3,"=""""","=""188.8242""","=""""","=""3.77e+07""",D,"=""201597.73""","=""254557.03""","=""3s.4d""","=""3D""","=""1""","=""3s.8f""","=""3F*""","=""2""",3,5,,"=""T6298c4,LS""","=""""",
Si,3,"=""""","=""188.8254""","=""""","=""4.00e+07""",D+,"=""201598.28""","=""254557.26""","=""3s.4d""","=""3D""","=""2""","=""3s.8f""","=""3F*""","=""3""",5,7,,"=""T6298c4,LS""","=""""",
Si,3,"=""""","=""188.8262""","=""""","=""7.00e+06""",E,"=""201598.28""","=""254557.03""","=""3s.4d""","=""3D""","=""2""","=""3s.8f""","=""3F*""","=""2""",5,5,,"=""T6298c4,LS""","=""""",
Si,3,"=""""","=""188.8283""","=""""","=""4.50e+07""",D+,"=""201599.48""","=""254557.64""","=""3s.4d""","=""3D""","=""3""","=""3s.8f""","=""3F*""","=""4""",7,9,,"=""T6298c4,LS""","=""""",
Si,3,"=""""","=""188.8297""","=""""","=""4.99e+06""",E,"=""201599.48""","=""254557.26""","=""3s.4d""","=""3D""","=""3""","=""3s.8f""","=""3F*""","=""3""",7,7,,"=""T6298c4,LS""","=""""",
Si,3,"=""""","=""188.8305""","=""""","=""1.97e+05""",E,"=""201599.48""","=""254557.03""","=""3s.4d""","=""3D""","=""3""","=""3s.8f""","=""3F*""","=""2""",7,5,,"=""T6298c4,LS""","=""""",
Si,1,"=""""","=""189.06372""","=""""","=""4.45e+00""",D,"=""6298.850""","=""59191.072""","=""3s2.3p2""","=""1D""","=""2""","=""3s2.3p.(2P*<3/2>).4f""","=""2[3/2]""","=""2""",5,5,E2,"=""T5785""","=""""",
Si,1,"=""""","=""189.0659""","=""""","=""2.28e-03""",E,"=""6298.850""","=""59190.46""","=""3s2.3p2""","=""1D""","=""2""","=""3s2.3p.(2P*<3/2>).4f""","=""2[3/2]""","=""1""",5,3,E2,"=""T5785""","=""""",
Si,1,"=""""","=""189.27542""","=""""","=""9.32e+01""",D+,"=""6298.850""","=""59131.912""","=""3s2.3p2""","=""1D""","=""2""","=""3s2.3p.(2P*<3/2>).4f""","=""2[9/2]""","=""4""",5,9,E2,"=""T5785""","=""""",
Si,1,"=""""","=""189.35075""","=""""","=""4.66e+00""",D,"=""6298.850""","=""59110.892""","=""3s2.3p2""","=""1D""","=""2""","=""3s2.3p.(2P*<3/2>).4f""","=""2[5/2]""","=""2""",5,5,E2,"=""T5785""","=""""",
Si,1,"=""""","=""189.35410""","=""""","=""1.09e+02""",D+,"=""6298.850""","=""59109.959""","=""3s2.3p2""","=""1D""","=""2""","=""3s2.3p.(2P*<3/2>).4f""","=""2[5/2]""","=""3""",5,7,E2,"=""T5785""","=""""",
Si,1,"=""""","=""189.62329""","=""""","=""3.03e+01""",D+,"=""6298.850""","=""59034.988""","=""3s2.3p2""","=""1D""","=""2""","=""3s2.3p.(2P*<3/2>).4f""","=""2[7/2]""","=""3""",5,7,E2,"=""T5785""","=""""",
Si,1,"=""190.133""","=""190.1338""","=""1000w""","=""1.00e+08""",C,"=""6298.850""","=""58893.40""","=""3s2.3p2""","=""1D""","=""2""","=""3s2.3p.4d""","=""1F*""","=""3""",5,7,,"=""T5071""","=""L3521""",
Si,1,"=""190.466""","=""190.46647""","=""50w""","=""4.87e+06""",D,"=""6298.850""","=""58801.529""","=""3s2.3p2""","=""1D""","=""2""","=""3s2.3p.4d""","=""1P*""","=""1""",5,3,,"=""T5071""","=""L3521""",
Si,1,"=""""","=""190.51237""","=""""","=""3.40e+01""",D+,"=""6298.850""","=""58788.880""","=""3s2.3p2""","=""1D""","=""2""","=""3s2.3p.(2P*<1/2>).4f""","=""2[7/2]""","=""4""",5,9,E2,"=""T5785""","=""""",
Si,3,"=""""","=""192.8596""","=""""","=""3.08e+06""",D,"=""175230.01""","=""227081.19""","=""3s.4p""","=""3P*""","=""0""","=""3s.5d""","=""3D""","=""1""",1,3,,"=""T6298c4,LS""","=""""",
Si,3,"=""""","=""192.9716""","=""""","=""4.16e+06""",D+,"=""175263.10""","=""227084.21""","=""3s.4p""","=""3P*""","=""1""","=""3s.5d""","=""3D""","=""2""",3,5,,"=""T6298c4,LS""","=""""",
Si,3,"=""""","=""192.9828""","=""""","=""2.31e+06""",D,"=""175263.10""","=""227081.19""","=""3s.4p""","=""3P*""","=""1""","=""3s.5d""","=""3D""","=""1""",3,3,,"=""T6298c4,LS""","=""""",
Si,3,"=""""","=""193.2275""","=""""","=""5.53e+06""",D+,"=""175336.26""","=""227088.72""","=""3s.4p""","=""3P*""","=""2""","=""3s.5d""","=""3D""","=""3""",5,7,,"=""T6298c4,LS""","=""""",
Si,3,"=""""","=""193.2444""","=""""","=""1.38e+06""",D,"=""175336.26""","=""227084.21""","=""3s.4p""","=""3P*""","=""2""","=""3s.5d""","=""3D""","=""2""",5,5,,"=""T6298c4,LS""","=""""",
Si,3,"=""""","=""193.2556""","=""""","=""1.53e+05""",E,"=""175336.26""","=""227081.19""","=""3s.4p""","=""3P*""","=""2""","=""3s.5d""","=""3D""","=""1""",5,3,,"=""T6298c4,LS""","=""""",
Si,3,"=""""","=""195.3968""","=""""","=""7.80e+06""",D+,"=""176487.19""","=""227665.09""","=""3s.4p""","=""1P*""","=""1""","=""3s.5d""","=""1D""","=""2""",3,5,,"=""T6298c4""","=""""",
Si,3,"=""""","=""196.4862""","=""""","=""4.33e+07""",D+,"=""198923.15""","=""249817.32""","=""3p.3d""","=""3F*""","=""2""","=""3s.7g""","=""3G""","=""3""",5,7,,"=""T6298c4,LS""","=""""",
Si,3,"=""""","=""196.8839""","=""""","=""4.39e+07""",D+,"=""199026.49""","=""249817.85""","=""3p.3d""","=""3F*""","=""3""","=""3s.7g""","=""3G""","=""4""",7,9,,"=""T6298c4,LS""","=""""",
Si,3,"=""""","=""196.8859""","=""""","=""3.77e+06""",E,"=""199026.49""","=""249817.32""","=""3p.3d""","=""3F*""","=""3""","=""3s.7g""","=""3G""","=""3""",7,7,,"=""T6298c4,LS""","=""""",
Si,3,"=""""","=""197.4145""","=""""","=""4.65e+07""",C,"=""199164.10""","=""249818.93""","=""3p.3d""","=""3F*""","=""4""","=""3s.7g""","=""3G""","=""5""",9,11,,"=""T6298c4,LS""","=""""",
Si,3,"=""""","=""197.4187""","=""""","=""2.91e+06""",E,"=""199164.10""","=""249817.85""","=""3p.3d""","=""3F*""","=""4""","=""3s.7g""","=""3G""","=""4""",9,9,,"=""T6298c4,LS""","=""""",
Si,3,"=""""","=""197.4208""","=""""","=""5.70e+04""",E,"=""199164.10""","=""249817.32""","=""3p.3d""","=""3F*""","=""4""","=""3s.7g""","=""3G""","=""3""",9,7,,"=""T6298c4,LS""","=""""",
