element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Mo,1,"=""320.0887""","=""""","=""320.08872+""","=""65""","=""1.82e+07""",B,"=""18479.582""","=""49711.894""","=""4d5.(4P).5s""","=""a 5P""","=""1""","=""4d4.5s.(4P).5p""","=""w 5P*""","=""2""",3,5,,"=""T5293""","=""L10250,L3475""",
Mo,1,"=""320.5216""","=""""","=""320.52161+""","=""330""","=""4.3e+07""",B,"=""10965.947""","=""42156.079""","=""4d4.5s2""","=""a 5D""","=""0""","=""4d5.(4D).5p""","=""w 5D*""","=""1""",1,3,,"=""T5293""","=""L10250,L3475""",
Mo,1,"=""320.5434""","=""""","=""320.54343+""","=""82""","=""2.55e+07""",B,"=""23516.476""","=""54704.485""","=""4d4.5s2""","=""a 3F""","=""4""","=""""","=""92*""","=""5""",9,11,,"=""T5293""","=""L10250""",
Mo,1,"=""320.5887""","=""""","=""320.58871+""","=""880""","=""5.3e+07""",B,"=""12346.280""","=""43529.884""","=""4d4.5s2""","=""a 5D""","=""4""","=""4d5.(4D).5p""","=""x 5F*""","=""4""",9,9,,"=""T5293""","=""L10250,L3475""",
Mo,1,"=""320.8838""","=""""","=""320.88373+""","=""3000""","=""2.77e+07""",A,"=""0.000""","=""31154.935""","=""4d5.(6S).5s""","=""a 7S""","=""3""","=""4d4.5s.(6D).5p""","=""z 7D*""","=""2""",7,5,,"=""T5293""","=""L10250,L3475""",
Mo,1,"=""321.0966""","=""""","=""321.09655+""","=""240""","=""6.9e+07""",B,"=""16692.905""","=""47827.191""","=""4d5.(4G).5s""","=""a 5G""","=""3""","=""4d4.5s.(4D).5p""","=""u 5F*""","=""2""",7,5,,"=""T5293""","=""L10250,L3475""",
Mo,1,"=""321.4441""","=""""","=""321.44407+""","=""120""","=""2.00e+07""",B,"=""16747.720""","=""47848.348""","=""4d5.(4G).5s""","=""a 5G""","=""4""","=""""","=""22*""","=""3""",9,7,,"=""T5293""","=""L10250,L3475""",
Mo,1,"=""321.5071""","=""""","=""321.50711+""","=""560""","=""4.2e+07""",B,"=""11142.784""","=""42237.314""","=""4d4.5s2""","=""a 5D""","=""1""","=""4d5.(4D).5p""","=""w 5D*""","=""2""",3,5,,"=""T5293""","=""L10250,L3475""",
Mo,1,"=""321.6777""","=""""","=""321.67775+""","=""52""","=""2.10e+07""",B,"=""25638.567""","=""56716.603""","=""4d5.(2I).5s""","=""a 3I""","=""7""","=""4d5.(2H).5p""","=""z 1I*""","=""6""",15,13,,"=""T5293""","=""L10250""",
Mo,1,"=""322.1734""","=""""","=""322.17341+""","=""350*""","=""1.41e+08""",B,"=""11142.784""","=""42173.008""","=""4d4.5s2""","=""a 5D""","=""1""","=""4d5.(4D).5p""","=""w 5D*""","=""0""",3,1,,"=""T5293""","=""L10250,L3475""",
Mo,1,"=""322.8212""","=""""","=""322.82118+""","=""880""","=""3.9e+07""",B,"=""11454.362""","=""42422.323""","=""4d4.5s2""","=""a 5D""","=""2""","=""4d5.(4D).5p""","=""w 5D*""","=""3""",5,7,,"=""T5293""","=""L10250,L3475""",
Mo,1,"=""322.9795""","=""""","=""322.97953+""","=""600""","=""1.44e+07""",B+,"=""12346.280""","=""43299.059""","=""4d4.5s2""","=""a 5D""","=""4""","=""4d5.(4D).5p""","=""x 5F*""","=""5""",9,11,,"=""T5293""","=""L10250,L3475""",
