element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Rb,2,"=""464.8566""","=""0.0005""","=""464.8557""","=""10000""","=""3.5e+07""",,"=""143461.977""","=""164968.007""","=""4p5.4d""","=""3P*""","=""1""","=""4p5.(2P*<1/2>).5p""","=""2[3/2]""","=""2""",3,5,,"=""T3743""","=""L2590""",
Rb,2,"=""465.9285""","=""0.0005""","=""465.9284""","=""500""","=""2.7e+08""",,"=""158711.854""","=""180168.372""","=""4p5.(2P*<3/2>).5p""","=""2[3/2]""","=""2""","=""4p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""1""",5,3,,"=""T3743""","=""L2590""",
Rb,2,"=""473.0454""","=""0.0005""","=""473.0454""","=""1000""","=""1.3e+07""",,"=""143955.871""","=""165089.580""","=""4p5.4d""","=""3P*""","=""2""","=""4p5.(2P*<1/2>).5p""","=""2[1/2]""","=""1""",5,3,,"=""T3743""","=""L2590""",
Rb,2,"=""475.7822""","=""0.001""","=""475.7824""","=""400c""","=""1.1e+07""",,"=""143955.871""","=""164968.007""","=""4p5.4d""","=""3P*""","=""2""","=""4p5.(2P*<1/2>).5p""","=""2[3/2]""","=""2""",5,5,,"=""T3743""","=""L2590""",
Rb,2,"=""477.5949""","=""0.0005""","=""477.5954""","=""30000""","=""3.7e+07""",,"=""133341.607""","=""154273.980""","=""4p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""2""","=""4p5.(2P*<3/2>).5p""","=""2[1/2]""","=""1""",5,3,,"=""T3743""","=""L2590""",
Rb,2,"=""478.2830""","=""0.0005""","=""478.2845""","=""5000c""","=""3.3e+07""",,"=""143022.335""","=""163924.55""","=""4p5.4d""","=""3P*""","=""0""","=""4p5.(2P*<1/2>).5p""","=""2[3/2]""","=""1""",1,3,,"=""T3743""","=""L2590""",
Rb,2,"=""485.5336""","=""0.001""","=""485.5341""","=""300c""","=""6.3e+07""",,"=""140610.047""","=""161200.171""","=""4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""","=""4p5.(2P*<3/2>).5p""","=""2[1/2]""","=""0""",3,1,,"=""T3743""","=""L2590""",
Rb,2,"=""488.5588""","=""0.001""","=""488.5607""","=""1500c""","=""6.e+06""",,"=""143461.977""","=""163924.55""","=""4p5.4d""","=""3P*""","=""1""","=""4p5.(2P*<1/2>).5p""","=""2[3/2]""","=""1""",3,3,,"=""T3743""","=""L2590""",
Rb,2,"=""500.6455""","=""0.001""","=""500.6446""","=""10c""","=""5.e+06""",,"=""143955.871""","=""163924.55""","=""4p5.4d""","=""3P*""","=""2""","=""4p5.(2P*<1/2>).5p""","=""2[3/2]""","=""1""",5,3,,"=""T3743""","=""L2590""",
Rb,1,"=""505.02""","=""0.03""","=""505.07""","=""""","=""6.54e+06""",,"=""134250.1""","=""154044.""","=""4p5.5s.5p""","=""4S""","=""3/2""","=""4p5.4d.(1P).5s""","=""2P*""","=""3/2""",4,4,,"=""T7580""","=""L7245""",
Rb,2,"=""515.2081""","=""0.0005""","=""515.2081""","=""10000""","=""3.4e+07""",,"=""134869.751""","=""154273.980""","=""4p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""1""","=""4p5.(2P*<3/2>).5p""","=""2[1/2]""","=""1""",3,3,,"=""T3743""","=""L2590""",
Rb,2,"=""516.4576""","=""0.0005""","=""516.4575""","=""300""","=""2.1e+07""",,"=""138794.380""","=""158151.666""","=""4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""0""","=""4p5.(2P*<3/2>).5p""","=""2[3/2]""","=""1""",1,3,,"=""T3743""","=""L2590""",
Rb,1,"=""521.76""","=""0.03""","=""521.75""","=""""","=""2.86e+06""",,"=""134250.1""","=""153411.""","=""4p5.5s.5p""","=""4S""","=""3/2""","=""4p5.5p2""","=""4D*""","=""5/2""",4,6,,"=""T7580""","=""L7245""",
Rb,2,"=""527.0513""","=""0.0005""","=""527.0514""","=""200""","=""1.4e+08""",,"=""161200.171""","=""180168.372""","=""4p5.(2P*<3/2>).5p""","=""2[1/2]""","=""0""","=""4p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""1""",1,3,,"=""T3743""","=""L2590""",
Rb,2,"=""551.2549""","=""0.0005""","=""551.2542""","=""500""","=""2.6e+07""",,"=""146832.593""","=""164968.007""","=""4p5.4d""","=""3F*""","=""3""","=""4p5.(2P*<1/2>).5p""","=""2[3/2]""","=""2""",7,5,,"=""T3743""","=""L2590""",
Rb,1,"=""553.44""","=""0.03""","=""553.44""","=""""","=""3.27e+06""",,"=""134250.1""","=""152314.""","=""4p5.5s.5p""","=""4S""","=""3/2""","=""4p5.5s.(1P).6s""","=""2P*""","=""1/2""",4,2,,"=""T7580""","=""L7245""",
Rb,2,"=""563.5987""","=""0.001""","=""563.5988""","=""5000c""","=""3.8e+07""",,"=""143461.977""","=""161200.171""","=""4p5.4d""","=""3P*""","=""1""","=""4p5.(2P*<3/2>).5p""","=""2[1/2]""","=""0""",3,1,,"=""T3743""","=""L2590""",
Rb,2,"=""569.9149""","=""0.001""","=""569.9147""","=""3000u""","=""4.4e+07""",,"=""140610.047""","=""158151.666""","=""4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""","=""4p5.(2P*<3/2>).5p""","=""2[3/2]""","=""1""",3,3,,"=""T3743""","=""L2590""",
Rb,1,"=""585.99""","=""0.03""","=""586.01""","=""""","=""9.71e+06""",,"=""134250.1""","=""151310.""","=""4p5.5s.5p""","=""4S""","=""3/2""","=""4p5.5s.6s""","=""4P*""","=""3/2""",4,4,,"=""T7580""","=""L7245""",
Rb,1,"=""611.91""","=""0.04""","=""611.87""","=""""","=""2.97e+07""",,"=""134250.1""","=""150589.""","=""4p5.5s.5p""","=""4S""","=""3/2""","=""4p5.5s.6s""","=""4P*""","=""5/2""",4,6,,"=""T7580""","=""L7245""",
Rb,2,"=""619.9080""","=""0.001""","=""619.9080""","=""1000c""","=""2.2e+07""",,"=""140610.047""","=""156737.011""","=""4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""","=""4p5.(2P*<3/2>).5p""","=""2[5/2]""","=""2""",3,5,,"=""T3743""","=""L2590""",
Rb,1,"=""620.63092""","=""0.00010""","=""620.6310""","=""75c""","=""2.948e+06""",,"=""12578.950""","=""28687.127""","=""4p6.5p""","=""2P*""","=""1/2""","=""4p6.6d""","=""2D""","=""3/2""",2,4,,"=""T7712""","=""L7459""",
Rb,1,"=""629.83252""","=""0.00010""","=""629.8326""","=""120c""","=""3.712e+06""",,"=""12816.545""","=""28689.390""","=""4p6.5p""","=""2P*""","=""3/2""","=""4p6.6d""","=""2D""","=""5/2""",4,6,,"=""T7712""","=""L7459""",
Rb,1,"=""629.92245""","=""0.00010""","=""629.9224""","=""5""","=""6.30e+05""",,"=""12816.545""","=""28687.127""","=""4p6.5p""","=""2P*""","=""3/2""","=""4p6.6d""","=""2D""","=""3/2""",4,4,,"=""T7712""","=""L7459""",
Rb,2,"=""645.8332""","=""0.0005""","=""645.8330""","=""10000""","=""3.4e+07""",,"=""138794.380""","=""154273.980""","=""4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""0""","=""4p5.(2P*<3/2>).5p""","=""2[1/2]""","=""1""",1,3,,"=""T3743""","=""L2590""",
Rb,2,"=""660.7853""","=""0.0005""","=""660.7853""","=""4""","=""7.e+06""",,"=""143022.335""","=""158151.666""","=""4p5.4d""","=""3P*""","=""0""","=""4p5.(2P*<3/2>).5p""","=""2[3/2]""","=""1""",1,3,,"=""T3743""","=""L2590""",
Rb,1,"=""682.24""","=""0.05""","=""682.22""","=""""","=""1.07e+05""",,"=""134250.1""","=""148904.""","=""4p5.5s.5p""","=""4S""","=""3/2""","=""4p5.4d.(3D).5s""","=""2D*""","=""3/2""",4,4,,"=""T7580""","=""L7245""",
Rb,2,"=""731.6516""","=""0.001""","=""731.6521""","=""300c""","=""1.5e+07""",,"=""140610.047""","=""154273.980""","=""4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""1""","=""4p5.(2P*<3/2>).5p""","=""2[1/2]""","=""1""",3,3,,"=""T3743""","=""L2590""",
Rb,2,"=""772.6078""","=""0.001""","=""772.6079""","=""50c""","=""3.5e+07""",,"=""143955.871""","=""156895.486""","=""4p5.4d""","=""3P*""","=""2""","=""4p5.(2P*<3/2>).5p""","=""2[5/2]""","=""3""",5,7,,"=""T3743""","=""L2590""",
Rb,1,"=""780.0268""","=""0.0010""","=""780.0268""","=""90000c""","=""3.812e+07""",AAA,"=""0.000""","=""12816.545""","=""4p6.5s""","=""2S""","=""1/2""","=""4p6.5p""","=""2P*""","=""3/2""",2,4,,"=""T6877,T6650,T1895""","=""L4740""",
Rb,2,"=""782.1863""","=""0.001""","=""782.1876""","=""75c""","=""2.8e+07""",,"=""143955.871""","=""156737.011""","=""4p5.4d""","=""3P*""","=""2""","=""4p5.(2P*<3/2>).5p""","=""2[5/2]""","=""2""",5,5,,"=""T3743""","=""L2590""",
Rb,1,"=""794.7603""","=""0.0010""","=""794.7603""","=""45000c""","=""3.614e+07""",AAA,"=""0.000""","=""12578.950""","=""4p6.5s""","=""2S""","=""1/2""","=""4p6.5p""","=""2P*""","=""1/2""",2,2,,"=""T6877,T6650""","=""L4740""",
