element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
N,2,"=""""","=""713.885""","=""""","=""2.33e+06""",C,"=""188857.37""","=""202861.36""","=""2s2.2p.3d""","=""3P*""","=""2""","=""2s2.2p.4p""","=""3D""","=""3""",5,7,,"=""T6385n""","=""""",
N,2,"=""""","=""715.675""","=""""","=""2.27e+04""",D,"=""197858.69""","=""211827.67""","=""2s2.2p.4s""","=""1P*""","=""1""","=""2s.2p2.(4P).3s""","=""3P""","=""2""",3,5,,"=""T6385""","=""""",
N,2,"=""""","=""718.154""","=""""","=""2.06e+04""",D,"=""197858.69""","=""211779.45""","=""2s2.2p.4s""","=""1P*""","=""1""","=""2s.2p2.(4P).3s""","=""3P""","=""1""",3,3,,"=""T6385""","=""""",
N,2,"=""""","=""718.818""","=""""","=""6.34e+05""",C,"=""188857.37""","=""202765.26""","=""2s2.2p.3d""","=""3P*""","=""2""","=""2s2.2p.4p""","=""3D""","=""2""",5,5,,"=""T6385n""","=""""",
N,2,"=""""","=""719.710""","=""""","=""9.98e+04""",D,"=""197858.69""","=""211749.35""","=""2s2.2p.4s""","=""1P*""","=""1""","=""2s.2p2.(4P).3s""","=""3P""","=""0""",3,1,,"=""T6385""","=""""",
N,2,"=""""","=""721.471""","=""""","=""9.03e+04""",C,"=""188857.37""","=""202714.12""","=""2s2.2p.3d""","=""3P*""","=""2""","=""2s2.2p.4p""","=""3D""","=""1""",5,3,,"=""T6385n""","=""""",
N,2,"=""""","=""721.505""","=""""","=""1.52e+06""",C,"=""188909.17""","=""202765.26""","=""2s2.2p.3d""","=""3P*""","=""1""","=""2s2.2p.4p""","=""3D""","=""2""",3,5,,"=""T6385n""","=""""",
N,2,"=""""","=""724.178""","=""""","=""8.38e+05""",C,"=""188909.17""","=""202714.12""","=""2s2.2p.3d""","=""3P*""","=""1""","=""2s2.2p.4p""","=""3D""","=""1""",3,3,,"=""T6385n""","=""""",
N,2,"=""""","=""725.654""","=""""","=""1.10e+06""",C,"=""188937.24""","=""202714.12""","=""2s2.2p.3d""","=""3P*""","=""0""","=""2s2.2p.4p""","=""3D""","=""1""",1,3,,"=""T6385n""","=""""",
N,2,"=""""","=""726.255""","=""""","=""1.42e+01""",D,"=""155126.73""","=""168892.21""","=""2s.2p3""","=""3S*""","=""1""","=""2s2.2p.3p""","=""3S""","=""1""",3,3,,"=""T7333""","=""""",
N,1,"=""""","=""730.6559""","=""""","=""4.03e+04""",C,"=""96787.680""","=""110470.244""","=""2s2.2p2.(3P).3p""","=""2D*""","=""3/2""","=""2s2.2p2.(3P).4d""","=""2D""","=""5/2""",4,6,,"=""u18,LS""","=""""",
