element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
N,2,"=""""","=""936.573""","=""""","=""3.88e+06""",C+,"=""203537.66""","=""214211.96""","=""2s2.2p.4p""","=""3S""","=""1""","=""2s2.2p.5s""","=""3P*""","=""0""",3,1,,"=""T5520LS""","=""""",
N,1,"=""""","=""938.212""","=""""","=""1.36e+07""",C+,"=""110544.850""","=""121200.5""","=""2s2.2p2.(1D).3p""","=""2D*""","=""5/2""","=""2s.2p4""","=""2D""","=""5/2""",6,6,,"=""T5714""","=""""",
N,1,"=""938.680""","=""938.6805""","=""500""","=""2.13e+07""",B,"=""86137.350""","=""96787.680""","=""2s2.2p2.(3P).3s""","=""2P""","=""1/2""","=""2s2.2p2.(3P).3p""","=""2D*""","=""3/2""",2,4,,"=""T7370""","=""L3513""",
N,3,"=""""","=""938.842""","=""""","=""1.55e+07""",B,"=""368696.3""","=""379344.8""","=""2s.2p.(3P*).4s""","=""4P*""","=""5/2""","=""2s.2p.(3P*).4p""","=""4P""","=""3/2""",6,4,,"=""T7192LS""","=""""",
N,1,"=""939.279""","=""939.2793""","=""570""","=""2.51e+07""",B,"=""86220.510""","=""96864.050""","=""2s2.2p2.(3P).3s""","=""2P""","=""3/2""","=""2s2.2p2.(3P).3p""","=""2D*""","=""5/2""",4,6,,"=""T7370""","=""L3513""",
N,1,"=""""","=""939.5848""","=""""","=""1.8e+04""",D,"=""93581.550""","=""104221.630""","=""2s2.2p2.(3P).3p""","=""2S*""","=""1/2""","=""2s2.2p2.(3P).4s""","=""2P""","=""3/2""",2,4,,"=""T7370""","=""""",
N,2,"=""""","=""939.964""","=""""","=""1.04e+04""",B,"=""178273.38""","=""188909.17""","=""2s2.2p.3p""","=""1S""","=""0""","=""2s2.2p.3d""","=""3P*""","=""1""",1,3,,"=""T7333""","=""""",
N,3,"=""""","=""940.246""","=""""","=""2.74e+07""",B,"=""301082.6""","=""311715.2""","=""2s2.4s""","=""2S""","=""1/2""","=""2s2.4p""","=""2P*""","=""3/2""",2,4,,"=""T7192LS""","=""""",
N,1,"=""""","=""941.9387""","=""""","=""2.93e+04""",C+,"=""86137.350""","=""96750.840""","=""2s2.2p2.(3P).3s""","=""2P""","=""1/2""","=""2s2.2p2.(3P).3p""","=""4S*""","=""3/2""",2,4,,"=""T7370""","=""""",
N,3,"=""""","=""942.453""","=""""","=""2.72e+07""",B,"=""301082.6""","=""311690.3""","=""2s2.4s""","=""2S""","=""1/2""","=""2s2.4p""","=""2P*""","=""1/2""",2,2,,"=""T7192LS""","=""""",
