element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Hf,1,"=""397.3477""","=""0.0005""","=""397.347912""","=""0.000019""","=""15000""","=""9.1e+05""",C+,"=""2356.6756""","=""27516.4201""","=""5d2.6s2""","=""a 3F""","=""3""","=""5d2.(a 3F).6s.(a 4F).6p""","=""z 5D*""","=""4""",7,9,,"=""T5346""","=""L16323""",
Hf,1,"=""399.2750""","=""0.0010""","=""399.275684""","=""0.000016""","=""970""","=""3.8e+05""",C+,"=""6572.5498""","=""31610.8213""","=""5d2.6s2""","=""a 3P""","=""1""","=""5d2.(a 3F).6s.(a 2F).6p""","=""y 1D*""","=""2""",3,5,,"=""T5346""","=""L16323""",
Hf,1,"=""403.2266""","=""0.0004""","=""403.225898""","=""0.000012""","=""7200""","=""1.80e+06""",B+,"=""2356.6756""","=""27149.6642""","=""5d2.6s2""","=""a 3F""","=""3""","=""5d2.(a 3F).6s.(a 4F).6p""","=""y 3F*""","=""2""",7,5,,"=""T5346""","=""L21976,L16323""",
Hf,1,"=""405.0883""","=""0.0006""","=""405.087807""","=""0.000018""","=""2500*""","=""4.e+05""",E,"=""4567.6413""","=""29246.6760""","=""5d2.6s2""","=""a 3F""","=""4""","=""5d2.(a 3F).6s.(a 4F).6p""","=""z 3G*""","=""4""",9,9,,"=""T5346""","=""L21976,L16323""",
Hf,1,"=""410.4234""","=""0.0004""","=""410.422933""","=""0.000014""","=""4200""","=""7.71e+05""",B,"=""5638.6151""","=""29996.8513""","=""5d2.6s2""","=""a 1D""","=""2""","=""5d2.(a 3F).6s.(a 4F).6p""","=""y 3D*""","=""3""",5,7,,"=""T5346""","=""L16323""",
Hf,1,"=""414.5759""","=""0.0004""","=""414.575269""","=""0.000012""","=""4500""","=""1.36e+06""",B,"=""5638.6151""","=""29752.8870""","=""5d2.6s2""","=""a 1D""","=""2""","=""5d2.(a 3P).6s.(a 4P).6p""","=""y 5D*""","=""2""",5,5,,"=""T5346""","=""L21976,L16323""",
Hf,1,"=""416.2706""","=""0.0004""","=""416.270270""","=""0.000014""","=""3100""","=""8.57e+05""",B,"=""4567.6413""","=""28583.7248""","=""5d2.6s2""","=""a 3F""","=""4""","=""5d2.(a 3F).6s.(a 4F).6p""","=""z 3G*""","=""3""",9,7,,"=""T5346""","=""L21976,L16323""",
Hf,1,"=""417.4348""","=""0.0004""","=""417.433998""","=""0.000012""","=""48000""","=""4.57e+06""",B,"=""2356.6756""","=""26305.8081""","=""5d2.6s2""","=""a 3F""","=""3""","=""5d2.(a 3F).6s.(a 4F).6p""","=""z 5D*""","=""3""",7,7,,"=""T5346""","=""L21976,L16323""",
Hf,1,"=""420.7070""","=""0.0010""","=""420.706188""","=""0.000016""","=""670""","=""9.6e+04""",C,"=""5638.6151""","=""29401.4784""","=""5d2.6s2""","=""a 1D""","=""2""","=""5d2.(a 3P).6s.(a 4P).6p""","=""y 3P*""","=""2""",5,5,,"=""T5346""","=""L16323""",
Hf,1,"=""422.8074""","=""0.0005""","=""422.807681""","=""0.000014""","=""3400""","=""4.6e+05""",C+,"=""0.0000""","=""23644.7563""","=""5d2.6s2""","=""a 3F""","=""2""","=""5d.6s2.(a 2D).6p""","=""z 1F*""","=""3""",5,7,,"=""T5346""","=""L21976,L16323""",
