element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Li,2,"=""""","=""260.514""","=""0.006""","=""""","=""8.8202e+05""",AAA,"=""[559500.55]""","=""[597874.68]""","=""1s.3p""","=""3P*""","=""2""","=""1s.6d""","=""3D""","=""1""",5,3,,"=""T8636c73""","=""""",
Li,2,"=""""","=""260.5205""","=""0.0024""","=""""","=""1.7640e+07""",AAA,"=""[559501.45]""","=""[597874.68]""","=""1s.3p""","=""3P*""","=""0""","=""1s.6d""","=""3D""","=""1""",1,3,,"=""T8636c73""","=""""",
Li,2,"=""265.729""","=""265.726""","=""0.011""","=""2""","=""5.8049e+06""",AAA,"=""[559499.5]""","=""[597121.08]""","=""1s.3p""","=""3P*""","=""1""","=""1s.6s""","=""3S""","=""1""",3,3,,"=""T8636c73""","=""L3501""",
Li,2,"=""265.730""","=""265.733""","=""0.006""","=""3""","=""9.6758e+06""",AAA,"=""[559500.55]""","=""[597121.08]""","=""1s.3p""","=""3P*""","=""2""","=""1s.6s""","=""3S""","=""1""",5,3,,"=""T8636c73""","=""L3501""",
Li,2,"=""""","=""265.7396""","=""0.0022""","=""""","=""1.9351e+06""",AAA,"=""[559501.45]""","=""[597121.08]""","=""1s.3p""","=""3P*""","=""0""","=""1s.6s""","=""3S""","=""1""",1,3,,"=""T8636c73""","=""""",
Li,2,"=""""","=""267.4415""","=""0.0010""","=""""","=""1.9081e+07""",AAA,"=""[554753.58]""","=""[592133.83]""","=""1s.3s""","=""3S""","=""1""","=""1s.5p""","=""3P*""","=""2""",3,5,,"=""T8636c73""","=""""",
Li,2,"=""267.446""","=""267.4463""","=""0.0010""","=""""","=""1.9081e+07""",AAA,"=""[554753.58]""","=""[592133.16]""","=""1s.3s""","=""3S""","=""1""","=""1s.5p""","=""3P*""","=""1""",3,3,,"=""T8636c73""","=""L3501""",
Li,2,"=""""","=""267.4490""","=""0.0010""","=""""","=""1.9081e+07""",AAA,"=""[554753.58]""","=""[592132.78]""","=""1s.3s""","=""3S""","=""1""","=""1s.5p""","=""3P*""","=""0""",3,1,,"=""T8636c73""","=""""",
Li,2,"=""""","=""272.8202""","=""0.0011""","=""""","=""5.124e+06""",AA,"=""[561242.28]""","=""[597885.61]""","=""1s.3d""","=""3D""","=""2""","=""1s.6f""","=""1F*""","=""3""",5,7,,"=""T8636c73""","=""""",
Li,2,"=""272.824""","=""272.8280""","=""0.0011""","=""*""","=""2.5635e+07""",AAA,"=""[561242.28]""","=""[597884.56]""","=""1s.3d""","=""3D""","=""2""","=""1s.6f""","=""3F*""","=""3""",5,7,,"=""T8636c73""","=""L3501""",
Li,2,"=""272.824""","=""272.8280""","=""0.0011""","=""*""","=""5.3806e+06""",AAA,"=""[561242.28]""","=""[597884.56]""","=""1s.3d""","=""3D""","=""2""","=""1s.6f""","=""3F*""","=""2""",5,5,,"=""T8636c73""","=""L3501""",
Li,2,"=""""","=""272.8248""","=""0.0011""","=""""","=""6.991e+05""",AA,"=""[561242.90]""","=""[597885.61]""","=""1s.3d""","=""3D""","=""3""","=""1s.6f""","=""1F*""","=""3""",7,7,,"=""T8636c73""","=""""",
Li,2,"=""272.829""","=""272.8326""","=""0.0011""","=""5*""","=""3.4603e+07""",AAA,"=""[561242.90]""","=""[597884.56]""","=""1s.3d""","=""3D""","=""3""","=""1s.6f""","=""3F*""","=""4""",7,9,,"=""T8636c73""","=""L3501""",
Li,2,"=""272.829""","=""272.8326""","=""0.0011""","=""5*""","=""1.5380e+05""",AAA,"=""[561242.90]""","=""[597884.56]""","=""1s.3d""","=""3D""","=""3""","=""1s.6f""","=""3F*""","=""2""",7,5,,"=""T8636c73""","=""L3501""",
Li,2,"=""272.829""","=""272.8326""","=""0.0011""","=""5*""","=""3.1456e+06""",AAA,"=""[561242.90]""","=""[597884.56]""","=""1s.3d""","=""3D""","=""3""","=""1s.6f""","=""3F*""","=""3""",7,7,,"=""T8636c73""","=""L3501""",
Li,2,"=""272.832""","=""272.8366""","=""0.0017""","=""2""","=""2.9066e+07""",AAA,"=""[561243.43]""","=""[597884.56]""","=""1s.3d""","=""3D""","=""1""","=""1s.6f""","=""3F*""","=""2""",3,5,,"=""T8636c73""","=""L3501""",
Li,2,"=""273.047""","=""273.0472""","=""0.0011""","=""3""","=""2.8653e+07""",AAA,"=""[561272.75]""","=""[597885.61]""","=""1s.3d""","=""1D""","=""2""","=""1s.6f""","=""1F*""","=""3""",5,7,,"=""T8636c73""","=""L3501""",
