element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
C,2,"=""""","=""""","=""191.0209""","=""0.0005""","=""""","=""2.80e+07""",B,"=""131724.382""","=""184074.67""","=""2s2.3p""","=""2P*""","=""1/2""","=""2s2.6d""","=""2D""","=""3/2""",2,4,,"=""T5109LS""","=""""",
C,2,"=""""","=""""","=""191.0591""","=""0.0005""","=""""","=""3.36e+07""",B,"=""131735.528""","=""184075.36""","=""2s2.3p""","=""2P*""","=""3/2""","=""2s2.6d""","=""2D""","=""5/2""",4,6,,"=""T5109LS""","=""""",
C,2,"=""""","=""""","=""191.0616""","=""0.0005""","=""""","=""5.60e+06""",B,"=""131735.528""","=""184074.67""","=""2s2.3p""","=""2P*""","=""3/2""","=""2s2.6d""","=""2D""","=""3/2""",4,4,,"=""T5109LS""","=""""",
C,2,"=""""","=""""","=""191.53194""","=""0.00011""","=""""","=""9.37e+06""",B,"=""116537.648""","=""168748.26""","=""2s2.3s""","=""2S""","=""1/2""","=""2p3""","=""2P*""","=""3/2""",2,4,,"=""T7194""","=""""",
C,2,"=""""","=""""","=""191.60075""","=""0.00011""","=""""","=""9.51e+06""",B,"=""116537.648""","=""168729.51""","=""2s2.3s""","=""2S""","=""1/2""","=""2p3""","=""2P*""","=""1/2""",2,2,,"=""T7194""","=""""",
C,2,"=""""","=""""","=""192.1983""","=""0.0006""","=""""","=""4.5e+05""",C+,"=""181711.05""","=""233740.64""","=""2s.2p.(3P*).3p""","=""4D""","=""3/2""","=""2s.2p.(3P*).6s""","=""4P*""","=""5/2""",4,6,,"=""T5109LS""","=""""",
C,2,"=""""","=""""","=""192.2908""","=""0.0005""","=""""","=""4.05e+06""",B,"=""181736.06""","=""233740.64""","=""2s.2p.(3P*).3p""","=""4D""","=""5/2""","=""2s.2p.(3P*).6s""","=""4P*""","=""5/2""",6,6,,"=""T5109LS""","=""""",
C,3,"=""""","=""""","=""192.2957""","=""""","=""""","=""8.12e+08""",C+,"=""270014.74""","=""322017.97""","=""1s2.2s.3d""","=""3D""","=""3""","=""1s2.2s.4f""","=""3F*""","=""4""",7,9,,"=""T5633LS""","=""""",
C,3,"=""""","=""""","=""192.3164""","=""""","=""""","=""7.21e+08""",C+,"=""270011.93""","=""322009.58""","=""1s2.2s.3d""","=""3D""","=""2""","=""1s2.2s.4f""","=""3F*""","=""3""",5,7,,"=""T5633LS""","=""""",
C,2,"=""""","=""""","=""192.3202""","=""0.0015""","=""""","=""1.13e+06""",B,"=""181696.69""","=""233693.3""","=""2s.2p.(3P*).3p""","=""4D""","=""1/2""","=""2s.2p.(3P*).6s""","=""4P*""","=""3/2""",2,4,,"=""T5109LS""","=""""",
C,3,"=""""","=""""","=""192.3268""","=""""","=""""","=""9.04e+07""",C+,"=""270014.74""","=""322009.58""","=""1s2.2s.3d""","=""3D""","=""3""","=""1s2.2s.4f""","=""3F*""","=""3""",7,7,,"=""T5633LS""","=""""",
C,3,"=""""","=""""","=""192.3341""","=""""","=""""","=""6.81e+08""",C+,"=""270010.83""","=""322003.68""","=""1s2.2s.3d""","=""3D""","=""1""","=""1s2.2s.4f""","=""3F*""","=""2""",3,5,,"=""T5633LS""","=""""",
C,3,"=""""","=""""","=""192.3382""","=""""","=""""","=""1.27e+08""",C+,"=""270011.93""","=""322003.68""","=""1s2.2s.3d""","=""3D""","=""2""","=""1s2.2s.4f""","=""3F*""","=""2""",5,5,,"=""T5633LS""","=""""",
C,3,"=""""","=""""","=""192.3486""","=""""","=""""","=""3.57e+06""",C+,"=""270014.74""","=""322003.68""","=""1s2.2s.3d""","=""3D""","=""3""","=""1s2.2s.4f""","=""3F*""","=""2""",7,5,,"=""T5633LS""","=""""",
C,2,"=""""","=""""","=""192.3734""","=""0.0015""","=""""","=""7.19e+06""",B,"=""181711.05""","=""233693.3""","=""2s.2p.(3P*).3p""","=""4D""","=""3/2""","=""2s.2p.(3P*).6s""","=""4P*""","=""3/2""",4,4,,"=""T5109LS""","=""""",
C,2,"=""""","=""""","=""192.403""","=""0.003""","=""""","=""1.12e+07""",B,"=""181696.69""","=""233670.9""","=""2s.2p.(3P*).3p""","=""4D""","=""1/2""","=""2s.2p.(3P*).6s""","=""4P*""","=""1/2""",2,2,,"=""T5109LS""","=""""",
C,2,"=""""","=""""","=""192.4252""","=""0.0005""","=""""","=""1.80e+07""",B,"=""181772.40""","=""233740.64""","=""2s.2p.(3P*).3p""","=""4D""","=""7/2""","=""2s.2p.(3P*).6s""","=""4P*""","=""5/2""",8,6,,"=""T5109LS""","=""""",
C,2,"=""""","=""""","=""192.456""","=""0.003""","=""""","=""1.12e+07""",B,"=""181711.05""","=""233670.9""","=""2s.2p.(3P*).3p""","=""4D""","=""3/2""","=""2s.2p.(3P*).6s""","=""4P*""","=""1/2""",4,2,,"=""T5109LS""","=""""",
C,2,"=""""","=""""","=""192.4660""","=""0.0015""","=""""","=""1.41e+07""",B,"=""181736.06""","=""233693.3""","=""2s.2p.(3P*).3p""","=""4D""","=""5/2""","=""2s.2p.(3P*).6s""","=""4P*""","=""3/2""",6,4,,"=""T5109LS""","=""""",
C,2,"=""""","=""""","=""192.63354""","=""0.00019""","=""""","=""2.3e+05""",C+,"=""162517.90""","=""214429.94""","=""2s2.4p""","=""2P*""","=""1/2""","=""2s.2p.(3P*).4p""","=""2P""","=""3/2""",2,4,,"=""T5109LS""","=""""",
C,2,"=""""","=""""","=""192.65826""","=""0.00019""","=""""","=""1.13e+06""",B,"=""162524.56""","=""214429.94""","=""2s2.4p""","=""2P*""","=""3/2""","=""2s.2p.(3P*).4p""","=""2P""","=""3/2""",4,4,,"=""T5109LS""","=""""",
C,2,"=""""","=""""","=""192.67682""","=""0.00015""","=""""","=""1.93e+06""",B,"=""110624.18""","=""162524.56""","=""2s.2p2""","=""2P""","=""1/2""","=""2s2.4p""","=""2P*""","=""3/2""",2,4,,"=""T5109LS""","=""""",
C,2,"=""""","=""""","=""192.70154""","=""0.00019""","=""""","=""7.74e+06""",B,"=""110624.18""","=""162517.90""","=""2s.2p2""","=""2P""","=""1/2""","=""2s2.4p""","=""2P*""","=""1/2""",2,2,,"=""T5109LS""","=""""",
