element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Xe,1,"=""823.16336""","=""0.00005""","=""823.1634+""","=""10000hfs""","=""2.86e+07""",B+,"=""67067.547""","=""79212.465""","=""5p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""2""","=""5p5.(2P*<3/2>).6p""","=""2[3/2]""","=""2""",5,5,,"=""T3269""","=""L7292""",
Xe,1,"=""826.6520""","=""0.0002""","=""826.6520+""","=""500""","=""1.62e+07""",C+,"=""77185.041""","=""89278.706""","=""5p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""1""","=""5p5.(2P*<1/2>).6p""","=""2[1/2]""","=""1""",3,3,,"=""T5100n,T3269""","=""L7292""",
Xe,1,"=""828.01162""","=""0.00005""","=""828.0117+""","=""7000""","=""3.69e+07""",B,"=""68045.156""","=""80118.962""","=""5p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""1""","=""5p5.(2P*<3/2>).6p""","=""2[1/2]""","=""0""",3,1,,"=""T3269n,T6714""","=""L7292c110""",
Xe,1,"=""834.68217""","=""0.00005""","=""834.6823+""","=""2000""","=""4.2e+07""",C+,"=""77185.041""","=""89162.356""","=""5p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""1""","=""5p5.(2P*<1/2>).6p""","=""2[3/2]""","=""2""",3,5,,"=""T5100n,T3269""","=""L7292""",
Xe,1,"=""834.745""","=""0.001""","=""834.7460+""","=""60""","=""1.48e+06""",C+,"=""78956.031""","=""90932.432""","=""5p5.(2P*<3/2>).6p""","=""2[3/2]""","=""1""","=""5p5.(2P*<3/2>).8s""","=""2[3/2]*""","=""1""",3,3,,"=""T5818""","=""L4739""",
Xe,1,"=""840.91894""","=""0.00005""","=""840.9191+""","=""2000""","=""3.06e+06""",B+,"=""67067.547""","=""78956.031""","=""5p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""2""","=""5p5.(2P*<3/2>).6p""","=""2[3/2]""","=""1""",5,3,,"=""T3269""","=""L7292c110""",
Xe,1,"=""843.755""","=""0.001""","=""843.7563+""","=""10""","=""9.0e+04""",C,"=""78956.031""","=""90804.538""","=""5p5.(2P*<3/2>).6p""","=""2[3/2]""","=""1""","=""5p5.(2P*<3/2>).8s""","=""2[3/2]*""","=""2""",3,5,,"=""T5818""","=""L4739""",
Xe,1,"=""852.255""","=""0.001""","=""852.2543+""","=""30""","=""3.3e+05""",D+,"=""76196.767""","=""87927.131""","=""5p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""0""","=""5p5.(2P*<3/2>).7p""","=""2[1/2]""","=""1""",1,3,,"=""T8608""","=""L4739""",
Xe,1,"=""853.010""","=""0.001""","=""853.0104+""","=""30""","=""7.90e+05""",B+,"=""79212.465""","=""90932.432""","=""5p5.(2P*<3/2>).6p""","=""2[3/2]""","=""2""","=""5p5.(2P*<3/2>).8s""","=""2[3/2]*""","=""1""",5,3,,"=""T5818""","=""L4739""",
Xe,1,"=""857.601""","=""0.001""","=""857.6022+""","=""200""","=""5.28e+06""",B,"=""77185.041""","=""88842.256""","=""5p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""1""","=""5p5.(2P*<3/2>).7p""","=""2[1/2]""","=""0""",3,1,,"=""T8608n,T6672""","=""L4739""",
Xe,1,"=""862.424""","=""0.001""","=""862.4216+""","=""80""","=""1.06e+06""",B+,"=""79212.465""","=""90804.538""","=""5p5.(2P*<3/2>).6p""","=""2[3/2]""","=""2""","=""5p5.(2P*<3/2>).8s""","=""2[3/2]*""","=""2""",5,5,,"=""T5818""","=""L4739""",
Xe,1,"=""864.854""","=""0.001""","=""864.8504+""","=""250""","=""2.4e+06""",D+,"=""77185.041""","=""88744.559""","=""5p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""1""","=""5p5.(2P*<3/2>).7p""","=""2[3/2]""","=""1""",3,3,,"=""T8608""","=""L4739""",
Xe,1,"=""869.220""","=""0.001""","=""869.2162+""","=""100""","=""1.08e+06""",B,"=""77185.041""","=""88686.500""","=""5p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""1""","=""5p5.(2P*<3/2>).7p""","=""2[3/2]""","=""2""",3,5,,"=""T8608n,T6672""","=""L4739""",
Xe,1,"=""881.94106""","=""0.00005""","=""881.9410+""","=""5000""","=""3.00e+07""",A+,"=""67067.547""","=""78403.061""","=""5p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""2""","=""5p5.(2P*<3/2>).6p""","=""2[5/2]""","=""3""",5,7,,"=""T3269""","=""L7292c110""",
Xe,1,"=""893.083""","=""0.001""","=""893.0837+""","=""200""","=""2.2e+07""",C,"=""77185.041""","=""88379.126""","=""5p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""1""","=""5p5.(2P*<1/2>).6p""","=""2[3/2]""","=""1""",3,3,,"=""T5100n,T3269""","=""L4739""",
Xe,1,"=""895.22509""","=""0.00005""","=""895.2251+""","=""1000""","=""8.1e+06""",C+,"=""68045.156""","=""79212.465""","=""5p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""1""","=""5p5.(2P*<3/2>).6p""","=""2[3/2]""","=""2""",3,5,,"=""T3269n,T6714""","=""L7292c110""",
Xe,1,"=""895.278""","=""0.001""","=""895.2787+""","=""50""","=""7.e+05""",D,"=""77185.041""","=""88351.681""","=""5p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""1""","=""5p5.(2P*<3/2>).7p""","=""2[5/2]""","=""2""",3,5,,"=""T8608n,T6672""","=""L4739""",
Xe,1,"=""904.54466""","=""0.00005""","=""904.5448+""","=""400""","=""1.24e+07""",B+,"=""67067.547""","=""78119.798""","=""5p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""2""","=""5p5.(2P*<3/2>).6p""","=""2[5/2]""","=""2""",5,5,,"=""T3269""","=""L7292c110""",
Xe,1,"=""916.26520""","=""0.00005""","=""916.2653+""","=""500""","=""2.4e+07""",C+,"=""68045.156""","=""78956.031""","=""5p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""1""","=""5p5.(2P*<3/2>).6p""","=""2[3/2]""","=""1""",3,3,,"=""T3269n,T6714""","=""L7292""",
Xe,1,"=""924.518""","=""0.002""","=""924.5188+""","=""3""","=""4.20e+05""",B+,"=""80118.962""","=""90932.432""","=""5p5.(2P*<3/2>).6p""","=""2[1/2]""","=""0""","=""5p5.(2P*<3/2>).8s""","=""2[3/2]*""","=""1""",1,3,,"=""T5818""","=""L4739""",
Xe,1,"=""930.664""","=""0.002""","=""930.6622+""","=""40""","=""4.2e+06""",D+,"=""77185.041""","=""87927.131""","=""5p5.(2P*<1/2>).6s""","=""2[1/2]*""","=""1""","=""5p5.(2P*<3/2>).7p""","=""2[1/2]""","=""1""",3,3,,"=""T8608""","=""L4739""",
Xe,1,"=""979.9697""","=""0.0002""","=""979.9699+""","=""2000""","=""3.11e+07""",B+,"=""67067.547""","=""77269.145""","=""5p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""2""","=""5p5.(2P*<3/2>).6p""","=""2[1/2]""","=""1""",5,3,,"=""T3269""","=""L7292""",
Xe,1,"=""992.3198""","=""0.0002""","=""992.3190+""","=""3000""","=""1.30e+07""",B+,"=""68045.156""","=""78119.798""","=""5p5.(2P*<3/2>).6s""","=""2[3/2]*""","=""1""","=""5p5.(2P*<3/2>).6p""","=""2[5/2]""","=""2""",3,5,,"=""T3269,T6714""","=""L7292""",
