element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Pt,2,"=""192.84310""","=""0.00020""","=""192.84318""","=""0.00003""","=""5800""","=""2.32e+07""",C+,"=""18097.764""","=""69953.370""","=""5d8.6s""","=""2F""","=""7/2""","=""5d8.(3F).6p""","=""(3,3/2)*""","=""5/2""",8,6,,"=""T8261""","=""L10146""",
Pt,2,"=""192.924478""","=""0.000009""","=""192.924479""","=""0.000008""","=""39000""","=""2.08e+08""",B,"=""9356.3167""","=""61190.0708""","=""5d8.6s""","=""4F""","=""7/2""","=""5d8.(3F).6p""","=""(4,3/2)*""","=""5/2""",8,6,,"=""T8261""","=""L9083,L11529""",
Pt,1,"=""193.742404""","=""0.000004""","=""193.742404""","=""0.000004""","=""58000""","=""6.e+08""",E,"=""823.6608""","=""52438.5877""","=""5d8.6s2""","=""3F""","=""4""","=""5d8.6s.(2F).6p""","=""3G*""","=""5""",9,11,,"=""T2202""","=""L9083,L11529""",
Pt,2,"=""193.98110""","=""0.00020""","=""193.98114""","=""0.00003""","=""20000l""","=""1.06e+08""",B,"=""9356.3167""","=""60907.720""","=""5d8.6s""","=""4F""","=""7/2""","=""5d8.(3F).6p""","=""(4,3/2)*""","=""9/2""",8,10,,"=""T8261""","=""L10146""",
Pt,1,"=""194.003283""","=""0.000005""","=""194.003275""","=""0.000003""","=""12000""","=""2.8e+08""",E,"=""0.0000""","=""51545.5216""","=""5d9.6s""","=""3D""","=""3""","=""5d8.6s.(4F).6p""","=""b 3D*""","=""3""",7,7,,"=""T2202""","=""L9083,L11529""",
Pt,1,"=""194.04766""","=""0.00020""","=""194.047728""","=""0.000011""","=""800""","=""1.0e+07""",E,"=""6567.4517""","=""58101.165""","=""5d9.6s""","=""3D""","=""2""","=""5d9.7p""","=""3F*""","=""3""",5,7,,"=""T2202""","=""L11529""",
Pt,1,"=""194.123933""","=""0.000007""","=""194.123941""","=""0.000006""","=""3400l""","=""2.0e+08""",E,"=""10131.8684""","=""61645.3497""","=""5d9.6s""","=""3D""","=""1""","=""5d8.6s.(2G).6p""","=""b 3F*""","=""2""",3,5,,"=""T2202""","=""L9083,L11529""",
Pt,2,"=""194.446243""","=""0.000023""","=""194.446204""","=""0.000015""","=""24000""","=""6.3e+07""",C+,"=""13329.277""","=""64757.383""","=""5d8.6s""","=""4P""","=""5/2""","=""5d8.(3F).6p""","=""(3,1/2)*""","=""5/2""",6,6,,"=""T8261""","=""L9083,L11529""",
Pt,1,"=""194.47712""","=""0.00020""","=""194.47713""","=""0.00003""","=""500""","=""6.e+06""",E,"=""6567.4517""","=""57987.379""","=""5d9.6s""","=""3D""","=""2""","=""5d9.7p""","=""3P*""","=""2""",5,5,,"=""T2202""","=""L11529""",
Pt,2,"=""194.89708""","=""0.00020""","=""194.89716""","=""0.00004""","=""2100""","=""8.2e+07""",C,"=""21717.305""","=""73026.417""","=""5d8.6s""","=""4P""","=""1/2""","=""5d8.(3F).6p""","=""(2,3/2)*""","=""3/2""",2,4,,"=""T6519n""","=""L10146""",
