element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Fe,1,"=""480.77084""","=""0.00007""","=""480.77081""","=""0.00003""","=""720""","=""2.3e+05""",D,"=""27166.820""","=""47960.940""","=""3d6.(5D).4s.4p.(3P*)""","=""z 5F*""","=""4""","=""3d7.(4F).5s""","=""e 3F""","=""4""",9,9,,"=""T2578n""","=""L11631""",
Fe,1,"=""480.81480""","=""0.00019""","=""480.81476""","=""0.00003""","=""229""","=""7.6e+04""",D,"=""26224.969""","=""47017.188""","=""3d7.(2D2).4s""","=""a 3D""","=""3""","=""3d7.(4P).4p""","=""w 3D*""","=""3""",7,7,,"=""T2578n""","=""L11631""",
Fe,1,"=""480.99381""","=""0.00019""","=""480.99396""","=""0.00005""","=""148""","=""5.5e+04""",E,"=""28819.954""","=""49604.427""","=""3d7.(2H).4s""","=""a 1H""","=""5""","=""3d7.(2G).4p""","=""y 3H*""","=""5""",11,11,,"=""T2578n""","=""L11631""",
Fe,3,"=""481.0790""","=""0.0020""","=""481.0797""","=""0.0009""","=""25""","=""3.5e+06""",D+,"=""184951.76""","=""205732.53""","=""3d5.(4P).5s""","=""5P""","=""3""","=""3d5.(4D).5p""","=""5D*""","=""3""",7,7,,"=""u44""","=""L1171""",
Fe,1,"=""481.31125""","=""0.00019""","=""481.31131""","=""0.00003""","=""129""","=""1.4e+05""",E,"=""26406.465""","=""47177.234""","=""3d7.(2D2).4s""","=""a 3D""","=""1""","=""3d7.(4P).4p""","=""u 5D*""","=""1""",3,3,,"=""T2578n""","=""L11631""",
Fe,2,"=""481.4544""","=""""","=""481.45442""","=""0.00003""","="":""","=""5.46e-01""",B,"=""1872.5998""","=""22637.1950""","=""3d7""","=""a 4F""","=""9/2""","=""3d6.(3F2).4s""","=""b 4F""","=""9/2""",10,10,E2,"=""T9588,T10588c103""","=""L22747,L22760""",
Fe,1,"=""481.77778""","=""0.00019""","=""481.77781""","=""0.00003""","=""170""","=""2.1e+04""",D,"=""17927.382""","=""38678.039""","=""3d7.(4P).4s""","=""a 5P""","=""1""","=""3d7.(4F).4p""","=""y 3D*""","=""2""",3,5,,"=""T2578n""","=""L11631""",
Fe,2,"=""482.08278""","=""0.00004""","=""482.082739""","=""0.000021""","=""330""","=""5.4e+06""",C+,"=""83136.508""","=""103874.040""","=""3d6.(5D).4d""","=""e 6F""","=""7/2""","=""3d6.(5D<1>).4f""","=""2[4]*""","=""9/2""",8,10,,"=""T6892c83""","=""L18349c139""",
Fe,3,"=""482.486""","=""0.003""","=""482.4832""","=""0.0012""","=""25bl(Fe II)""","=""8.9e+06""",D+,"=""184951.76""","=""205672.08""","=""3d5.(4P).5s""","=""5P""","=""3""","=""3d5.(4D).5p""","=""5D*""","=""4""",7,9,,"=""u44""","=""L1171""",
Fe,2,"=""482.61366""","=""0.00013""","=""482.613638""","=""0.000021""","=""80""","=""2.6e+06""",D+,"=""83308.241""","=""104022.961""","=""3d6.(5D).4d""","=""e 6F""","=""5/2""","=""3d6.(5D<0>).4f""","=""2[3]*""","=""7/2""",6,8,,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""482.66825""","=""0.00003""","=""482.668232""","=""0.000023""","=""500""","=""7.5e+06""",C+,"=""82978.717""","=""103691.094""","=""3d6.(5D).4d""","=""e 6F""","=""9/2""","=""3d6.(5D<2>).4f""","=""2[5]*""","=""11/2""",10,12,,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""482.91081""","=""0.00014""","=""482.910829""","=""0.000021""","=""60""","=""1.8e+06""",D+,"=""82978.717""","=""103680.689""","=""3d6.(5D).4d""","=""e 6F""","=""9/2""","=""3d6.(5D<2>).4f""","=""2[5]*""","=""9/2""",10,10,,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""483.12016""","=""0.00005""","=""483.12023""","=""0.00003""","=""700bl(Fe II)*""","=""8.e+04""",D,"=""61041.734""","=""81734.733""","=""3d6.(3H).4p""","=""z 4G*""","=""5/2""","=""3d5.4s2""","=""2F2""","=""7/2""",6,8,,"=""T6892c83""","=""L18349c148""",
Fe,1,"=""483.27273""","=""0.00007""","=""483.27274""","=""0.00003""","=""740""","=""1.76e+06""",C+,"=""29356.744""","=""50043.213""","=""3d6.4s2""","=""b 3D""","=""2""","=""3d7.(2P).4p""","=""w 3P*""","=""1""",5,3,,"=""T5720""","=""L11631""",
