element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Fe,2,"=""180.08273""","=""0.00006""","=""180.082715""","=""0.000007""","=""3600""","=""1.3e+06""",D,"=""54232.201""","=""109762.239""","=""3d5.4s2""","=""b 4G""","=""11/2""","=""3d6.(3H).5p""","=""4I*""","=""11/2""",12,12,,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""180.11284""","=""0.00003""","=""180.112841""","=""0.000008""","=""6000""","=""8.e+06""",E,"=""54273.656""","=""109794.406""","=""3d5.4s2""","=""b 4G""","=""9/2""","=""3d5.(2G2).4s.4p.(3P*)""","=""4H*""","=""11/2""",10,12,,"=""T6892c83""","=""L18349c139""",
Fe,3,"=""""","=""""","=""180.12403""","=""0.00023""","=""""","=""1.9e+01""",D+,"=""50411.95""","=""105929.25""","=""3d6""","=""b 3P""","=""2""","=""3d5.(b 2D).4s""","=""3D""","=""3""",5,7,E2,"=""u45""","=""""",
Fe,3,"=""180.1787""","=""0.0005""","=""180.17856""","=""0.00019""","=""53000""","=""1.3e+08""",D+,"=""93512.71""","=""149013.21""","=""3d5.(a 2G).4s""","=""1G""","=""4""","=""3d5.(2H).4p""","=""1G*""","=""4""",9,9,,"=""u45""","=""L11223""",
Fe,3,"=""""","=""""","=""180.1961""","=""0.0003""","=""""","=""2.5e+01""",C,"=""21461.92""","=""76957.02""","=""3d6""","=""a 3F""","=""4""","=""3d5.(4D).4s""","=""3D""","=""3""",9,7,E2,"=""u45""","=""""",
Fe,3,"=""""","=""""","=""180.19862""","=""0.00023""","=""""","=""1.6e+01""",D+,"=""50411.95""","=""105906.27""","=""3d6""","=""b 3P""","=""2""","=""3d5.(b 2D).4s""","=""3D""","=""2""",5,5,E2,"=""u45""","=""""",
Fe,2,"=""180.2050""","=""0.0005""","=""180.205146""","=""0.000007""","=""700""","=""3.9e+06""",D,"=""47626.110""","=""103118.421""","=""3d6.(5D).4p""","=""z 4P*""","=""1/2""","=""3d6.(5D).6s""","=""4D""","=""3/2""",2,4,,"=""T6892c83""","=""L18349c143""",
Fe,2,"=""180.2170""","=""0.0005""","=""180.217253""","=""0.000007""","=""360d?""","=""2.9e+07""",E,"=""54273.656""","=""109762.239""","=""3d5.4s2""","=""b 4G""","=""9/2""","=""3d6.(3H).5p""","=""4I*""","=""11/2""",10,12,,"=""T6892c83""","=""L18349c143""",
Fe,3,"=""180.3358""","=""0.0005""","=""180.33488""","=""0.00016""","=""16000""","=""6.e+07""",D,"=""88664.08""","=""144116.47""","=""3d5.(2H).4s""","=""3H""","=""4""","=""3d5.(a 2G).4p""","=""3G*""","=""3""",9,7,,"=""u44""","=""L11223""",
Fe,2,"=""180.3540""","=""0.0002""","=""180.354145""","=""0.000016""","=""2800""","=""6.8e+06""",D+,"=""31483.1979""","=""86929.664""","=""3d6.(3D).4s""","=""b 4D""","=""7/2""","=""3d6.(3P1).4p""","=""v 4D*""","=""7/2""",8,8,,"=""T6892c83""","=""L18349c140""",
Fe,2,"=""180.41653""","=""0.00007""","=""180.416546""","=""0.000007""","=""5000""","=""8.e+06""",D+,"=""46967.4751""","=""102394.764""","=""3d6.(5D).4p""","=""z 4P*""","=""5/2""","=""3d6.(5D).6s""","=""4D""","=""7/2""",6,8,,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""180.46459""","=""0.00010""","=""180.464553""","=""0.000007""","=""3300""","=""6.e+06""",D,"=""47389.809""","=""102802.353""","=""3d6.(5D).4p""","=""z 4P*""","=""3/2""","=""3d6.(5D).6s""","=""4D""","=""5/2""",4,6,,"=""T6892c83""","=""L18349c139""",
Fe,3,"=""""","=""""","=""180.4961""","=""0.0003""","=""""","=""1.1e+01""",D+,"=""21699.79""","=""77102.66""","=""3d6""","=""a 3F""","=""3""","=""3d5.(4D).4s""","=""3D""","=""2""",7,5,E2,"=""u45""","=""""",
Fe,3,"=""180.5333""","=""0.0010""","=""180.53435""","=""0.00016""","=""30000p""","=""5.0e+07""",D+,"=""88694.86""","=""144085.98""","=""3d5.(2H).4s""","=""3H""","=""5""","=""3d5.(a 2G).4p""","=""3G*""","=""4""",11,9,,"=""u45""","=""L11223""",
Fe,2,"=""180.54617""","=""0.00003""","=""180.546142""","=""0.000007""","=""6000""","=""2.6e+07""",E,"=""54232.201""","=""109619.704""","=""3d5.4s2""","=""b 4G""","=""11/2""","=""3d6.(3H).5p""","=""4I*""","=""13/2""",12,14,,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""180.5716""","=""0.0002""","=""180.571793""","=""0.000013""","=""1200""","=""4.7e+06""",D,"=""31387.9788""","=""86767.614""","=""3d6.(3D).4s""","=""b 4D""","=""5/2""","=""3d6.(3P1).4p""","=""v 4D*""","=""5/2""",6,6,,"=""T6892c83""","=""L18349c140""",
Fe,3,"=""""","=""""","=""180.5841""","=""0.0003""","=""""","=""1.0e+01""",D+,"=""21699.79""","=""77075.66""","=""3d6""","=""a 3F""","=""3""","=""3d5.(4D).4s""","=""3D""","=""1""",7,3,E2,"=""u45""","=""""",
Fe,3,"=""180.7998""","=""0.0005""","=""180.79841""","=""0.00016""","=""40000""","=""4.6e+06""",D,"=""84370.15""","=""139680.37""","=""3d5.(a 2F).4s""","=""3F""","=""2""","=""3d5.(4F).4p""","=""3G*""","=""3""",5,7,,"=""T6105""","=""L11223""",
Fe,2,"=""180.8384""","=""0.0005""","=""180.838422""","=""0.000008""","=""600""","=""4.1e+06""",D,"=""54273.656""","=""109571.639""","=""3d5.4s2""","=""b 4G""","=""9/2""","=""3d5.(2G2).4s.4p.(3P*)""","=""4H*""","=""7/2""",10,8,,"=""T6892c83""","=""L18349c143""",
Fe,2,"=""180.84493""","=""0.00003""","=""180.844940""","=""0.000008""","=""6000""","=""2.8e+07""",E,"=""54275.649""","=""109571.639""","=""3d5.4s2""","=""b 4G""","=""5/2""","=""3d5.(2G2).4s.4p.(3P*)""","=""4H*""","=""7/2""",6,8,,"=""T6892c83""","=""L18349c139""",
Fe,3,"=""""","=""""","=""180.8757""","=""0.0004""","=""""","=""3.7e+00""",D+,"=""24558.44""","=""79845.04""","=""3d6""","=""3G""","=""5""","=""3d5.(2I).4s""","=""3I""","=""6""",11,13,E2,"=""u45""","=""""",
Fe,3,"=""""","=""""","=""180.8910""","=""0.0004""","=""""","=""2.5e+01""",C,"=""24558.44""","=""79840.34""","=""3d6""","=""3G""","=""5""","=""3d5.(2I).4s""","=""3I""","=""7""",11,15,E2,"=""u45""","=""""",
Fe,2,"=""180.93168""","=""0.00008""","=""180.931823""","=""0.000010""","=""29000""","=""1.7e+08""",D+,"=""21307.999""","=""76577.436""","=""3d7""","=""a 2D2""","=""3/2""","=""3d6.(1S2).4p""","=""x 2P*""","=""1/2""",4,2,,"=""T6892c83""","=""L18349c139""",
Fe,3,"=""""","=""""","=""180.9718""","=""0.0003""","=""""","=""6.1e+00""",D+,"=""21699.79""","=""76957.02""","=""3d6""","=""a 3F""","=""3""","=""3d5.(4D).4s""","=""3D""","=""3""",7,7,E2,"=""u45""","=""""",
Fe,3,"=""180.9796""","=""0.0005""","=""180.97962""","=""0.00013""","=""3700""","=""1.1e+07""",D,"=""89783.78""","=""145038.62""","=""3d5.(a 2G).4s""","=""3G""","=""4""","=""3d5.(a 2G).4p""","=""1F*""","=""3""",9,7,,"=""T6105""","=""L11223""",
Fe,2,"=""180.9945""","=""0.0005""","=""180.99448""","=""0.00010""","=""500d?""","=""2.2e+06""",D,"=""50157.475""","=""105407.78""","=""3d6.(3F1).4s""","=""c 4F""","=""9/2""","=""3d5.(2D3).4s.4p.(3P*)""","=""4F*""","=""9/2""",10,10,,"=""T6892c83""","=""L18349c143""",
Fe,3,"=""""","=""""","=""181.0100""","=""0.0003""","=""""","=""5.4e+00""",D+,"=""21857.08""","=""77102.66""","=""3d6""","=""a 3F""","=""2""","=""3d5.(4D).4s""","=""3D""","=""2""",5,5,E2,"=""u45""","=""""",
Fe,3,"=""""","=""""","=""181.0985""","=""0.0004""","=""""","=""1.2e+01""",D+,"=""21857.08""","=""77075.66""","=""3d6""","=""a 3F""","=""2""","=""3d5.(4D).4s""","=""3D""","=""1""",5,3,E2,"=""u45""","=""""",
Fe,3,"=""181.2979""","=""0.0005""","=""181.29753""","=""0.00016""","=""30000""","=""3.4e+07""",D,"=""69696.16""","=""124854.11""","=""3d5.(4D).4s""","=""5D""","=""4""","=""3d5.(4D).4p""","=""3D*""","=""3""",9,7,,"=""u45""","=""L11223""",
Fe,3,"=""181.4024""","=""0.0005""","=""181.40287""","=""0.00016""","=""12000""","=""6.e+06""",D,"=""83138.66""","=""138264.58""","=""3d5.(4F).4s""","=""5F""","=""5""","=""3d5.(2H).4p""","=""3H*""","=""6""",11,13,,"=""T6105""","=""L11223""",
Fe,2,"=""181.54116""","=""0.00005""","=""181.541095""","=""0.000010""","=""16000""","=""1.7e+07""",D+,"=""20516.9534""","=""75600.900""","=""3d7""","=""a 2D2""","=""5/2""","=""3d6.(3D).4p""","=""w 2F*""","=""7/2""",6,8,,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""181.5766""","=""0.0005""","=""181.576591""","=""0.000008""","=""3300""","=""3.3e+06""",D,"=""8391.9554""","=""63465.134""","=""3d6.(5D).4s""","=""a 4D""","=""5/2""","=""3d6.(3F2).4p""","=""x 4D*""","=""3/2""",6,4,,"=""T6892c83""","=""L18349c144""",
Fe,3,"=""181.5884""","=""0.0005""","=""181.58707""","=""0.00016""","=""31000""","=""5.e+06""",D,"=""63487.32""","=""118557.32""","=""3d5.(4G).4s""","=""5G""","=""4""","=""3d5.(4G).4p""","=""3H*""","=""5""",9,11,,"=""T6105""","=""L11223""",
Fe,3,"=""181.6004""","=""0.0010""","=""181.60046""","=""0.00020""","=""23000*""","=""6.e+06""",D,"=""69838.15""","=""124904.09""","=""3d5.(4D).4s""","=""5D""","=""2""","=""3d5.(4D).4p""","=""3D*""","=""2""",5,5,,"=""T6105""","=""L11223""",
Fe,2,"=""181.6086""","=""0.0005""","=""181.608540""","=""0.000008""","=""500""","=""1.7e+06""",D,"=""46967.4751""","=""102030.965""","=""3d6.(5D).4p""","=""z 4P*""","=""5/2""","=""3d6.(5D).6s""","=""6D""","=""7/2""",6,8,,"=""T6892c83""","=""L18349c143""",
Fe,3,"=""181.6869""","=""0.0005""","=""181.68671""","=""0.00017""","=""2800""","=""6.e+06""",D,"=""82383.08""","=""137422.88""","=""3d5.(a 2D).4s""","=""3D""","=""3""","=""3d5.(4F).4p""","=""5D*""","=""3""",7,7,,"=""T6105""","=""L11223""",
Fe,2,"=""181.85202""","=""0.00003""","=""181.852150""","=""0.000008""","=""18000""","=""5.7e+06""",C+,"=""7955.3186""","=""62945.045""","=""3d6.(5D).4s""","=""a 4D""","=""7/2""","=""3d6.(3F2).4p""","=""x 4D*""","=""7/2""",8,8,,"=""T7461""","=""L18349c145""",
Fe,3,"=""181.9493""","=""0.0005""","=""181.94895""","=""0.00020""","=""23000""","=""5.7e+07""",D+,"=""88923.29""","=""143883.76""","=""3d5.(2H).4s""","=""3H""","=""6""","=""3d5.(a 2G).4p""","=""3G*""","=""5""",13,11,,"=""u44""","=""L11223""",
Fe,2,"=""181.9643""","=""0.0002""","=""181.964415""","=""0.000013""","=""2900""","=""4.1e+06""",D,"=""31811.814""","=""86767.614""","=""3d7""","=""b 2F""","=""5/2""","=""3d6.(3P1).4p""","=""v 4D*""","=""5/2""",6,6,,"=""T6892c83""","=""L18349c140""",
Fe,3,"=""181.9731""","=""0.0010""","=""181.97326""","=""0.00013""","=""17000*""","=""9.e+06""",D,"=""84672.08""","=""139625.21""","=""3d5.(a 2F).4s""","=""3F""","=""3""","=""3d5.(4F).4p""","=""3G*""","=""4""",7,9,,"=""T6105""","=""L11223""",
Fe,3,"=""181.9844""","=""0.0005""","=""181.98438""","=""0.00017""","=""2100""","=""3.4e+06""",D,"=""83238.19""","=""138187.96""","=""3d5.(4F).4s""","=""5F""","=""3""","=""3d5.(2H).4p""","=""3G*""","=""3""",7,7,,"=""T6105""","=""L11223""",
Fe,3,"=""182.0124""","=""0.0005""","=""182.01224""","=""0.00013""","=""6900""","=""5.e+06""",D,"=""83161.80""","=""138103.16""","=""3d5.(4F).4s""","=""5F""","=""4""","=""3d5.(2H).4p""","=""3G*""","=""4""",9,9,,"=""T6105""","=""L11223""",
Fe,2,"=""182.0480""","=""0.0002""","=""182.047843""","=""0.000017""","=""2600""","=""3.5e+06""",D,"=""31999.049""","=""86929.664""","=""3d7""","=""b 2F""","=""7/2""","=""3d6.(3P1).4p""","=""v 4D*""","=""7/2""",8,8,,"=""T6892c83""","=""L18349c140""",
Fe,3,"=""182.0518""","=""0.0005""","=""182.05167""","=""0.00020""","=""31000""","=""8.e+06""",D,"=""63425.74""","=""118355.20""","=""3d5.(4G).4s""","=""5G""","=""6""","=""3d5.(4G).4p""","=""3H*""","=""6""",13,13,,"=""T6105""","=""L11223""",
Fe,3,"=""""","=""""","=""182.0843""","=""0.0003""","=""""","=""3.5e+00""",D+,"=""24941.12""","=""79860.75""","=""3d6""","=""3G""","=""4""","=""3d5.(2I).4s""","=""3I""","=""5""",9,11,E2,"=""u45""","=""""",
Fe,2,"=""182.09161""","=""0.00008""","=""182.091617""","=""0.000008""","=""1400""","=""1.6e+06""",D,"=""54232.201""","=""109149.611""","=""3d5.4s2""","=""b 4G""","=""11/2""","=""3d5.(2I).4s.4p.(3P*)""","=""2I*""","=""13/2""",12,14,,"=""T6892c83""","=""L18349c139""",
Fe,3,"=""182.0960""","=""0.0005""","=""182.09649""","=""0.00017""","=""17000""","=""5.e+06""",D,"=""83138.66""","=""138054.60""","=""3d5.(4F).4s""","=""5F""","=""5""","=""3d5.(2H).4p""","=""3G*""","=""5""",11,11,,"=""T6105""","=""L11223""",
Fe,3,"=""""","=""""","=""182.1364""","=""0.0003""","=""""","=""2.2e+01""",C,"=""24941.12""","=""79845.04""","=""3d6""","=""3G""","=""4""","=""3d5.(2I).4s""","=""3I""","=""6""",9,13,E2,"=""u45""","=""""",
Fe,3,"=""182.2041""","=""0.0005""","=""182.20389""","=""0.00017""","=""17000""","=""8.e+06""",D,"=""63466.85""","=""118350.42""","=""3d5.(4G).4s""","=""5G""","=""5""","=""3d5.(4G).4p""","=""3F*""","=""4""",11,9,,"=""T6105""","=""L11223""",
Fe,2,"=""182.2135""","=""0.0005""","=""182.212338""","=""0.000008""","=""3300""","=""4.3e+06""",D,"=""8391.9554""","=""63272.981""","=""3d6.(5D).4s""","=""a 4D""","=""5/2""","=""3d6.(3F2).4p""","=""x 4D*""","=""5/2""",6,6,,"=""T6892c83""","=""L18349c144""",
Fe,2,"=""182.2196""","=""0.0002""","=""182.218973""","=""0.000008""","=""3000bl(Fe II)*""","=""6.e+06""",D,"=""8680.4706""","=""63559.498""","=""3d6.(5D).4s""","=""a 4D""","=""3/2""","=""3d6.(3F2).4p""","=""x 4D*""","=""1/2""",4,2,,"=""T6892c83""","=""L18349c140""",
Fe,3,"=""182.2660""","=""0.0005""","=""182.26566""","=""0.00013""","=""2800""","=""7.e+06""",D,"=""83238.19""","=""138103.16""","=""3d5.(4F).4s""","=""5F""","=""3""","=""3d5.(2H).4p""","=""3G*""","=""4""",7,9,,"=""T6105""","=""L11223""",
Fe,2,"=""182.38711""","=""0.00008""","=""182.386983""","=""0.000010""","=""12000""","=""1.8e+07""",D+,"=""18360.6399""","=""73189.114""","=""3d7""","=""a 2P""","=""3/2""","=""3d6.(3D).4p""","=""y 2P*""","=""3/2""",4,4,,"=""T6892c83""","=""L18349c139""",
Fe,3,"=""182.3872""","=""0.0010""","=""182.38603""","=""0.00017""","=""23000p""","=""5.e+06""",D,"=""83359.20""","=""138187.96""","=""3d5.(4F).4s""","=""5F""","=""2""","=""3d5.(2H).4p""","=""3G*""","=""3""",5,7,,"=""T6105""","=""L11223""",
Fe,2,"=""182.3929""","=""0.0005""","=""182.392958""","=""0.000013""","=""2500""","=""2.4e+07""",D+,"=""18360.6399""","=""73187.318""","=""3d7""","=""a 2P""","=""3/2""","=""3d6.(3D).4p""","=""y 2P*""","=""1/2""",4,2,,"=""T6892c83""","=""L18349c143""",
Fe,2,"=""182.4980""","=""0.0002""","=""182.497948""","=""0.000010""","=""2600""","=""1.7e+06""",D,"=""20805.7632""","=""75600.900""","=""3d7""","=""a 2H""","=""9/2""","=""3d6.(3D).4p""","=""w 2F*""","=""7/2""",10,8,,"=""T6892c83""","=""L18349c140""",
Fe,3,"=""182.5261""","=""0.0005""","=""182.52582""","=""0.00013""","=""13000""","=""2.9e+07""",D,"=""89783.78""","=""144570.55""","=""3d5.(a 2G).4s""","=""3G""","=""4""","=""3d5.(b 2F).4p""","=""3F*""","=""3""",9,7,,"=""T6105""","=""L11223""",
Fe,2,"=""182.5329""","=""0.0005""","=""182.532836""","=""0.000008""","=""3300""","=""3.7e+06""",D,"=""8680.4706""","=""63465.134""","=""3d6.(5D).4s""","=""a 4D""","=""3/2""","=""3d6.(3F2).4p""","=""x 4D*""","=""3/2""",4,4,,"=""T6892c83""","=""L18349c144""",
Fe,3,"=""182.6275""","=""0.0005""","=""182.62709""","=""0.00017""","=""24000""","=""5.e+07""",D,"=""73849.35""","=""128605.74""","=""3d5.(4P).4s""","=""3P""","=""1""","=""3d5.(4D).4p""","=""3P*""","=""1""",3,3,,"=""T6105""","=""L11223""",
Fe,3,"=""182.6508""","=""0.0005""","=""182.65067""","=""0.00017""","=""9600""","=""4.6e+06""",D,"=""70694.40""","=""125443.72""","=""3d5.(4G).4s""","=""3G""","=""5""","=""3d5.(4D).4p""","=""3F*""","=""4""",11,9,,"=""T6105""","=""L11223""",
Fe,2,"=""182.6884""","=""0.0005""","=""182.68778""","=""0.00005""","=""600d?""","=""1.5e+06""",D,"=""44915.057""","=""99653.257""","=""3d6.(1F).4s""","=""c 2F""","=""7/2""","=""3d6.(1G1).4p""","=""2G*""","=""9/2""",8,10,,"=""T6892c83""","=""L18349c143""",
Fe,2,"=""182.72188""","=""0.00007""","=""182.721918""","=""0.000008""","=""2200""","=""1.6e+07""",E,"=""54275.649""","=""109003.621""","=""3d5.4s2""","=""b 4G""","=""5/2""","=""3d5.(2F1).4s.4p.(3P*)""","=""4D*""","=""3/2""",6,4,,"=""T6892c83""","=""L18349c139""",
Fe,3,"=""""","=""""","=""182.7531""","=""0.0003""","=""""","=""2.3e+01""",C,"=""25142.12""","=""79860.75""","=""3d6""","=""3G""","=""3""","=""3d5.(2I).4s""","=""3I""","=""5""",7,11,E2,"=""u45""","=""""",
Fe,3,"=""182.8066""","=""0.0005""","=""182.8059""","=""0.0004""","=""870""","=""5.e+07""",D,"=""138852.91""","=""193555.75""","=""3d5.(c 2D).4s""","=""3D""","=""3""","=""3d5.(c 2D).4p""","=""1D*""","=""2""",7,5,,"=""u44""","=""L11223""",
Fe,2,"=""182.8345""","=""0.0002""","=""182.834499""","=""0.000010""","=""3200""","=""2.3e+06""",D,"=""18360.6399""","=""73054.913""","=""3d7""","=""a 2P""","=""3/2""","=""3d6.(1G2).4p""","=""x 2F*""","=""5/2""",4,6,,"=""T6892c83""","=""L18349c140""",
Fe,2,"=""182.8855""","=""0.0005""","=""182.885416""","=""0.000008""","=""7000""","=""3.0e+06""",D,"=""15844.6485""","=""70523.694""","=""3d7""","=""a 2G""","=""9/2""","=""3d6.(3G).4p""","=""x 2G*""","=""7/2""",10,8,,"=""T6892c83""","=""L18349c144""",
Fe,3,"=""182.9184""","=""0.0010""","=""182.91768""","=""0.00023""","=""32000*""","=""7.e+07""",D,"=""73936.34""","=""128605.74""","=""3d5.(4P).4s""","=""3P""","=""0""","=""3d5.(4D).4p""","=""3P*""","=""1""",1,3,,"=""T6105""","=""L11223""",
Fe,3,"=""182.9184""","=""0.0010""","=""182.9200""","=""0.0003""","=""32000*""","=""3.7e+06""",D,"=""63495.00""","=""118163.70""","=""3d5.(4G).4s""","=""5G""","=""2""","=""3d5.(4G).4p""","=""3F*""","=""2""",5,5,,"=""T6105""","=""L11223""",
Fe,2,"=""182.98472""","=""0.00004""","=""182.984693""","=""0.000008""","=""3300""","=""8.e+06""",D,"=""54283.236""","=""108932.616""","=""3d5.4s2""","=""b 4G""","=""7/2""","=""3d6.(3P2).5p""","=""2D*""","=""5/2""",8,6,,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""183.026393""","=""0.000009""","=""183.026396""","=""0.000010""","=""32000""","=""5.2e+08""",B+,"=""52582.850""","=""107219.778""","=""3d5.(6S).4s.4p.(3P*)""","=""z 8P*""","=""7/2""","=""3d5.(6S).4p2""","=""8P""","=""9/2""",8,10,,"=""T6892c83""","=""L18349c139""",
Fe,3,"=""183.0346""","=""0.0005""","=""183.03456""","=""0.00017""","=""2900""","=""9.e+06""",D,"=""89697.74""","=""144332.23""","=""3d5.(a 2G).4s""","=""3G""","=""3""","=""3d5.(b 2F).4p""","=""1G*""","=""4""",7,9,,"=""T6105""","=""L11223""",
Fe,2,"=""183.0401""","=""0.0005""","=""183.039639""","=""0.000010""","=""400d?""","=""2.7e+06""",D,"=""54273.656""","=""108906.631""","=""3d5.4s2""","=""b 4G""","=""9/2""","=""3d5.(4G).4s.4p.(1P*)""","=""4H*""","=""7/2""",10,8,,"=""T6892c83""","=""L18349c143""",
Fe,2,"=""183.046314""","=""0.000012""","=""183.046316""","=""0.000008""","=""12000""","=""5.0e+08""",D,"=""54275.649""","=""108906.631""","=""3d5.4s2""","=""b 4G""","=""5/2""","=""3d5.(4G).4s.4p.(1P*)""","=""4H*""","=""7/2""",6,8,,"=""T6892c83""","=""L18349c139""",
Fe,3,"=""183.0630""","=""0.0005""","=""183.06304""","=""0.00023""","=""32000""","=""6.6e+07""",D+,"=""88694.86""","=""143320.85""","=""3d5.(2H).4s""","=""3H""","=""5""","=""3d5.(a 2G).4p""","=""3H*""","=""6""",11,13,,"=""u45""","=""L11223""",
Fe,2,"=""183.07182""","=""0.00005""","=""183.071741""","=""0.000008""","=""2700""","=""7.e+07""",E,"=""54283.236""","=""108906.631""","=""3d5.4s2""","=""b 4G""","=""7/2""","=""3d5.(4G).4s.4p.(1P*)""","=""4H*""","=""7/2""",8,8,,"=""T6892c83""","=""L18349c139""",
Fe,3,"=""183.0865""","=""0.0015""","=""183.08480""","=""0.00017""","=""18000""","=""3.6e+06""",D,"=""86847.15""","=""141466.65""","=""3d5.(a 2D).4s""","=""1D""","=""2""","=""3d5.(4F).4p""","=""3D*""","=""3""",5,7,,"=""T6105""","=""L11223""",
Fe,2,"=""183.0885""","=""0.0005""","=""183.088650""","=""0.000008""","=""3400""","=""3.4e+06""",D,"=""8846.7837""","=""63465.134""","=""3d6.(5D).4s""","=""a 4D""","=""1/2""","=""3d6.(3F2).4p""","=""x 4D*""","=""3/2""",2,4,,"=""T6892c83""","=""L18349c144""",
Fe,3,"=""183.1006""","=""0.0005""","=""183.10042""","=""0.00013""","=""2900""","=""5.e+06""",D,"=""90423.78""","=""145038.62""","=""3d5.(4F).4s""","=""3F""","=""2""","=""3d5.(a 2G).4p""","=""1F*""","=""3""",5,7,,"=""T6105""","=""L11223""",
Fe,2,"=""183.12652""","=""0.00016""","=""183.126434""","=""0.000010""","=""12000""","=""2.6e+07""",D+,"=""21307.999""","=""75915.080""","=""3d7""","=""a 2D2""","=""3/2""","=""3d6.(3D).4p""","=""w 2F*""","=""5/2""",4,6,,"=""T6892c83""","=""L18349c139""",
Fe,3,"=""183.1440""","=""0.0005""","=""183.14421""","=""0.00017""","=""4000""","=""2.1e+06""",D,"=""83161.80""","=""137763.58""","=""3d5.(4F).4s""","=""5F""","=""4""","=""3d5.(2H).4p""","=""3H*""","=""5""",9,11,,"=""T6105""","=""L11223""",
Fe,2,"=""183.16594""","=""0.00007""","=""183.165950""","=""0.000008""","=""2600""","=""7.e+07""",E,"=""54273.656""","=""108868.956""","=""3d5.4s2""","=""b 4G""","=""9/2""","=""3d6.(3H).5p""","=""4H*""","=""9/2""",10,10,,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""183.17545""","=""0.00003""","=""183.175310""","=""0.000008""","=""5000""","=""3.1e+06""",D,"=""8680.4706""","=""63272.981""","=""3d6.(5D).4s""","=""a 4D""","=""3/2""","=""3d6.(3F2).4p""","=""x 4D*""","=""5/2""",4,6,,"=""T6892c83""","=""L18349c145""",
Fe,2,"=""183.198090""","=""0.000014""","=""183.198096""","=""0.000008""","=""9000""","=""4.6e+08""",D,"=""54283.236""","=""108868.956""","=""3d5.4s2""","=""b 4G""","=""7/2""","=""3d6.(3H).5p""","=""4H*""","=""9/2""",8,10,,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""183.22534""","=""0.00004""","=""183.225322""","=""0.000008""","=""2900""","=""5.e+07""",E,"=""54232.201""","=""108809.810""","=""3d5.4s2""","=""b 4G""","=""11/2""","=""3d5.(4G).4s.(5G).4p""","=""4H*""","=""11/2""",12,12,,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""183.3075""","=""0.0005""","=""183.307675""","=""0.000008""","=""3200""","=""5.e+05""",D,"=""8391.9554""","=""62945.045""","=""3d6.(5D).4s""","=""a 4D""","=""5/2""","=""3d6.(3F2).4p""","=""x 4D*""","=""7/2""",6,8,,"=""T7461""","=""L18349c144""",
Fe,3,"=""""","=""""","=""183.3788""","=""0.0004""","=""""","=""5.5e+01""",D+,"=""19404.42""","=""73936.34""","=""3d6""","=""a 3P""","=""2""","=""3d5.(4P).4s""","=""3P""","=""0""",5,1,E2,"=""u45""","=""""",
Fe,3,"=""183.4105""","=""0.0005""","=""183.41005""","=""0.00020""","=""18000""","=""2.5e+08""",D,"=""73849.35""","=""128371.99""","=""3d5.(4P).4s""","=""3P""","=""1""","=""3d5.(4D).4p""","=""3P*""","=""0""",3,1,,"=""u45""","=""L11223""",
Fe,2,"=""183.4753""","=""0.0005""","=""183.475331""","=""0.000008""","=""500""","=""2.6e+07""",E,"=""54275.649""","=""108778.889""","=""3d5.4s2""","=""b 4G""","=""5/2""","=""3d5.(2F1).4s.4p.(3P*)""","=""4F*""","=""3/2""",6,4,,"=""T6892c83""","=""L18349c143""",
Fe,2,"=""183.496472""","=""0.000009""","=""183.496471""","=""0.000008""","=""27000""","=""4.5e+08""",E,"=""54232.201""","=""108729.162""","=""3d5.4s2""","=""b 4G""","=""11/2""","=""3d6.(3H).5p""","=""4H*""","=""13/2""",12,14,,"=""T6892c83""","=""L18349c139""",
Fe,3,"=""183.4992""","=""0.0005""","=""183.50038""","=""0.00013""","=""60000""","=""3.8e+07""",D,"=""90472.61""","=""144968.41""","=""3d5.(4F).4s""","=""3F""","=""4""","=""3d5.(b 2F).4p""","=""3F*""","=""4""",9,9,,"=""u45""","=""L11223""",
Fe,2,"=""183.54163""","=""0.00007""","=""183.541769""","=""0.000010""","=""9000""","=""4.4e+07""",D+,"=""31999.049""","=""86482.560""","=""3d7""","=""b 2F""","=""7/2""","=""3d6.(1F).4p""","=""u 2F*""","=""7/2""",8,8,,"=""T6892c83""","=""L18349c139""",
Fe,2,"=""183.58740""","=""0.00003""","=""183.587378""","=""0.000008""","=""30000""","=""2.2e+07""",D+,"=""15844.6485""","=""70314.624""","=""3d7""","=""a 2G""","=""9/2""","=""3d6.(3G).4p""","=""x 2G*""","=""9/2""",10,10,,"=""T6892c83""","=""L18349c139""",
