element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
He,1,"=""370.5005""","=""""","=""370.5005768""","=""0.0000021""","=""3*""","=""1.6470e+06""",AAA,"=""[169086.84033581]""","=""[196069.673884275]""","=""1s.2p""","=""3P*""","=""1""","=""1s.7d""","=""3D""","=""1""",3,3,,"=""T8636c73""","=""L14925c72""",
He,1,"=""370.5005""","=""""","=""370.5006240""","=""0.0000021""","=""3*""","=""2.9644e+06""",AAA,"=""[169086.84033581]""","=""[196069.670444809]""","=""1s.2p""","=""3P*""","=""1""","=""1s.7d""","=""3D""","=""2""",3,5,,"=""T8636c73""","=""L14925c72""",
He,1,"=""""","=""""","=""370.5141427""","=""0.0000021""","=""0""","=""2.1961e+06""",AAA,"=""[169087.82825101]""","=""[196069.673884275]""","=""1s.2p""","=""3P*""","=""0""","=""1s.7d""","=""3D""","=""1""",1,3,,"=""T8636c73""","=""L366""",
He,1,"=""""","=""""","=""373.2863477""","=""0.0000021""","=""1*""","=""8.2750e+05""",AAA,"=""[169086.76391031]""","=""[195868.2343699]""","=""1s.2p""","=""3P*""","=""2""","=""1s.7s""","=""3S""","=""1""",5,3,,"=""T8636c73""","=""L366""",
He,1,"=""""","=""""","=""373.2874130""","=""0.0000021""","=""1*""","=""4.9650e+05""",AAA,"=""[169086.84033581]""","=""[195868.2343699]""","=""1s.2p""","=""3P*""","=""1""","=""1s.7s""","=""3S""","=""1""",3,3,,"=""T8636c73""","=""L366""",
He,1,"=""""","=""""","=""373.3011837""","=""0.0000021""","=""""","=""1.6550e+05""",AAA,"=""[169087.82825101]""","=""[195868.2343699]""","=""1s.2p""","=""3P*""","=""0""","=""1s.7s""","=""3S""","=""1""",1,3,,"=""T8636c73""","=""""",
He,1,"=""381.96074""","=""0.00008""","=""381.9601975""","=""0.0000021""","=""10*""","=""1.7876e+05""",AAA,"=""[169086.76391031]""","=""[195260.07459804]""","=""1s.2p""","=""3P*""","=""2""","=""1s.6d""","=""3D""","=""1""",5,3,,"=""T8636c73""","=""L14926""",
He,1,"=""381.96074""","=""0.00008""","=""381.9602773""","=""0.0000021""","=""10*""","=""1.6087e+06""",AAA,"=""[169086.76391031]""","=""[195260.06913189]""","=""1s.2p""","=""3P*""","=""2""","=""1s.6d""","=""3D""","=""2""",5,5,,"=""T8636c73""","=""L14926""",
He,1,"=""381.96074""","=""0.00008""","=""381.9602828""","=""0.0000021""","=""10*""","=""6.4353e+06""",AAA,"=""[169086.76391031]""","=""[195260.06875373]""","=""1s.2p""","=""3P*""","=""2""","=""1s.6d""","=""3D""","=""3""",5,7,,"=""T8636c73""","=""L14926""",
He,1,"=""381.96074""","=""0.00008""","=""381.9613129""","=""0.0000021""","=""10*""","=""2.6814e+06""",AAA,"=""[169086.84033581]""","=""[195260.07459804]""","=""1s.2p""","=""3P*""","=""1""","=""1s.6d""","=""3D""","=""1""",3,3,,"=""T8636c73""","=""L14926""",
He,1,"=""381.96074""","=""0.00008""","=""381.9613927""","=""0.0000021""","=""10*""","=""4.8261e+06""",AAA,"=""[169086.84033581]""","=""[195260.06913189]""","=""1s.2p""","=""3P*""","=""1""","=""1s.6d""","=""3D""","=""2""",3,5,,"=""T8636c73""","=""L14926""",
He,1,"=""""","=""""","=""381.9757310""","=""0.0000021""","=""1""","=""3.5752e+06""",AAA,"=""[169087.82825101]""","=""[195260.07459804]""","=""1s.2p""","=""3P*""","=""0""","=""1s.6d""","=""3D""","=""1""",1,3,,"=""T8636c73""","=""L366""",
He,1,"=""383.3554""","=""""","=""383.3548713""","=""0.0000021""","=""0""","=""9.6470e+05""",AAA,"=""[171134.894441]""","=""[197212.986924548]""","=""1s.2p""","=""1P*""","=""1""","=""1s.10d""","=""1D""","=""2""",3,5,,"=""T8636c73""","=""L551,L366""",
He,1,"=""""","=""""","=""383.8100125""","=""0.0000021""","=""""","=""3.7425e+05""",AAA,"=""[171134.894441]""","=""[197182.0629406]""","=""1s.2p""","=""1P*""","=""1""","=""1s.10s""","=""1S""","=""0""",3,1,,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""386.7472343""","=""0.0000021""","=""3*""","=""1.3592e+06""",AAA,"=""[169086.76391031]""","=""[194936.1170910]""","=""1s.2p""","=""3P*""","=""2""","=""1s.6s""","=""3S""","=""1""",5,3,,"=""T8636c73""","=""L366""",
He,1,"=""""","=""""","=""386.7483778""","=""0.0000021""","=""3*""","=""8.1551e+05""",AAA,"=""[169086.84033581]""","=""[194936.1170910]""","=""1s.2p""","=""3P*""","=""1""","=""1s.6s""","=""3S""","=""1""",3,3,,"=""T8636c73""","=""L366""",
He,1,"=""""","=""""","=""386.7631595""","=""0.0000021""","=""1""","=""2.7184e+05""",AAA,"=""[169087.82825101]""","=""[194936.1170910]""","=""1s.2p""","=""3P*""","=""0""","=""1s.6s""","=""3S""","=""1""",1,3,,"=""T8636c73""","=""L366""",
He,1,"=""387.1791""","=""""","=""387.1786406""","=""0.0000021""","=""1""","=""1.3386e+06""",AAA,"=""[171134.894441]""","=""[196955.446144507]""","=""1s.2p""","=""1P*""","=""1""","=""1s.9d""","=""1D""","=""2""",3,5,,"=""T8636c73""","=""L551""",
He,1,"=""""","=""""","=""387.8176858""","=""0.0000021""","=""""","=""5.1753e+05""",AAA,"=""[171134.894441]""","=""[196912.9000793]""","=""1s.2p""","=""1P*""","=""1""","=""1s.9s""","=""1S""","=""0""",3,1,,"=""T8636c73""","=""""",
He,1,"=""""","=""""","=""388.8604644""","=""0.0000021""","=""""","=""9.4746e+06""",AAA,"=""[159855.971776]""","=""[185564.8520073]""","=""1s.2s""","=""3S""","=""1""","=""1s.3p""","=""3P*""","=""0""",3,1,,"=""T8636c73""","=""""",
He,1,"=""388.8648""","=""""","=""388.8645590""","=""0.0000021""","=""500*""","=""9.4746e+06""",AAA,"=""[159855.971776]""","=""[185564.5813147]""","=""1s.2s""","=""3S""","=""1""","=""1s.3p""","=""3P*""","=""1""",3,3,,"=""T8636c73""","=""L14925c72""",
He,1,"=""388.8648""","=""""","=""388.8648915""","=""0.0000021""","=""500*""","=""9.4746e+06""",AAA,"=""[159855.971776]""","=""[185564.55932651]""","=""1s.2s""","=""3S""","=""1""","=""1s.3p""","=""3P*""","=""2""",3,5,,"=""T8636c73""","=""L14925c72""",
He,1,"=""""","=""""","=""392.6544387""","=""0.0000021""","=""1""","=""1.9371e+06""",AAA,"=""[171134.894441]""","=""[196595.371446820]""","=""1s.2p""","=""1P*""","=""1""","=""1s.8d""","=""1D""","=""2""",3,5,,"=""T8636c73""","=""L366""",
He,1,"=""393.5912""","=""""","=""393.5945223""","=""0.0000022""","=""0""","=""7.4475e+05""",AAA,"=""[171134.894441]""","=""[196534.5615465]""","=""1s.2p""","=""1P*""","=""1""","=""1s.8s""","=""1S""","=""0""",3,1,,"=""T8636c73""","=""L366""",
He,1,"=""396.47291""","=""""","=""396.4728829""","=""0.0000022""","=""20""","=""6.9507e+06""",AAA,"=""[166277.437635]""","=""[191492.7093035]""","=""1s.2s""","=""1S""","=""0""","=""1s.4p""","=""1P*""","=""1""",1,3,,"=""T8636c73""","=""L14926""",
He,1,"=""""","=""""","=""397.2015454""","=""0.0000022""","=""""","=""2.2842e+01""",AAA,"=""[166277.437635]""","=""[191446.45313936]""","=""1s.2s""","=""1S""","=""0""","=""1s.4d""","=""1D""","=""2""",1,5,E2,"=""T7378""","=""""",
He,1,"=""""","=""""","=""400.9256516""","=""0.0000020""","=""1""","=""2.9612e+06""",AAA,"=""[171134.894441]""","=""[196070.125778175]""","=""1s.2p""","=""1P*""","=""1""","=""1s.7d""","=""1D""","=""2""",3,5,,"=""T8636c73""","=""L366""",
He,1,"=""402.3973""","=""""","=""402.3979795""","=""0.0000020""","=""1""","=""1.1281e+06""",AAA,"=""[171134.894441]""","=""[195978.8925750]""","=""1s.2p""","=""1P*""","=""1""","=""1s.7s""","=""1S""","=""0""",3,1,,"=""T8636c73""","=""L14924""",
He,1,"=""402.61914""","=""""","=""402.6184368""","=""0.0000020""","=""50*""","=""3.2224e+05""",AAA,"=""[169086.76391031]""","=""[193917.15878310]""","=""1s.2p""","=""3P*""","=""2""","=""1s.5d""","=""3D""","=""1""",5,3,,"=""T8636c73""","=""L14926""",
He,1,"=""402.61914""","=""""","=""402.6185901""","=""0.0000020""","=""50*""","=""2.8999e+06""",AAA,"=""[169086.76391031]""","=""[193917.14932512]""","=""1s.2p""","=""3P*""","=""2""","=""1s.5d""","=""3D""","=""2""",5,5,,"=""T8636c73""","=""L14926""",
He,1,"=""402.61914""","=""""","=""402.6186005""","=""0.0000020""","=""50*""","=""1.1601e+07""",AAA,"=""[169086.76391031]""","=""[193917.14868441]""","=""1s.2p""","=""3P*""","=""2""","=""1s.5d""","=""3D""","=""3""",5,7,,"=""T8636c73""","=""L14926""",
