element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
He,1,"=""402.61914""","=""""","=""402.6196760""","=""0.0000020""","=""50*""","=""4.8336e+06""",AAA,"=""[169086.84033581]""","=""[193917.15878310]""","=""1s.2p""","=""3P*""","=""1""","=""1s.5d""","=""3D""","=""1""",3,3,,"=""T8636c73""","=""L14926""",
He,1,"=""402.61914""","=""""","=""402.6198294""","=""0.0000020""","=""50*""","=""8.6997e+06""",AAA,"=""[169086.84033581]""","=""[193917.14932512]""","=""1s.2p""","=""3P*""","=""1""","=""1s.5d""","=""3D""","=""2""",3,5,,"=""T8636c73""","=""L14926""",
He,1,"=""""","=""""","=""402.6356959""","=""0.0000020""","=""5""","=""6.4448e+06""",AAA,"=""[169087.82825101]""","=""[193917.15878310]""","=""1s.2p""","=""3P*""","=""0""","=""1s.5d""","=""3D""","=""1""",1,3,,"=""T8636c73""","=""L366""",
He,1,"=""412.08154""","=""0.00012""","=""412.0810765""","=""0.0000021""","=""12*""","=""2.4738e+06""",AAA,"=""[169086.76391031]""","=""[193346.988738]""","=""1s.2p""","=""3P*""","=""2""","=""1s.5s""","=""3S""","=""1""",5,3,,"=""T8636c73""","=""L14926""",
He,1,"=""412.08154""","=""0.00012""","=""412.0823747""","=""0.0000021""","=""12*""","=""1.4843e+06""",AAA,"=""[169086.84033581]""","=""[193346.988738]""","=""1s.2p""","=""3P*""","=""1""","=""1s.5s""","=""3S""","=""1""",3,3,,"=""T8636c73""","=""L14926""",
He,1,"=""""","=""""","=""412.0991564""","=""0.0000021""","=""2""","=""4.9476e+05""",AAA,"=""[169087.82825101]""","=""[193346.988738]""","=""1s.2p""","=""3P*""","=""0""","=""1s.5s""","=""3S""","=""1""",1,3,,"=""T8636c73""","=""L366""",
He,1,"=""""","=""""","=""414.1332157""","=""0.0000021""","=""""","=""3.069e+00""",AA,"=""[171134.894441]""","=""[195274.90585994]""","=""1s.2p""","=""1P*""","=""1""","=""1s.6p""","=""1P*""","=""1""",3,3,E2,"=""T7378""","=""""",
He,1,"=""414.3761""","=""""","=""414.3759059""","=""0.0000021""","=""3""","=""4.8812e+06""",AAA,"=""[171134.894441]""","=""[195260.76790341]""","=""1s.2p""","=""1P*""","=""1""","=""1s.6d""","=""1D""","=""2""",3,5,,"=""T8636c73""","=""L14925c72""",
He,1,"=""416.8967""","=""""","=""416.8971512""","=""0.0000021""","=""1""","=""1.8298e+06""",AAA,"=""[171134.894441]""","=""[195114.8660951]""","=""1s.2p""","=""1P*""","=""1""","=""1s.6s""","=""1S""","=""0""",3,1,,"=""T8636c73""","=""L366""",
He,1,"=""""","=""""","=""438.3278555""","=""0.0000022""","=""""","=""5.317e+00""",AA,"=""[171134.894441]""","=""[193942.45968763]""","=""1s.2p""","=""1P*""","=""1""","=""1s.5p""","=""1P*""","=""1""",3,3,E2,"=""T7378""","=""""",
He,1,"=""438.79296""","=""0.00006""","=""438.7929143""","=""0.0000022""","=""10""","=""8.9889e+06""",AAA,"=""[171134.894441]""","=""[193918.28729754]""","=""1s.2p""","=""1P*""","=""1""","=""1s.5d""","=""1D""","=""2""",3,5,,"=""T8636c73""","=""L14926""",
He,1,"=""443.7551""","=""""","=""443.7553428""","=""0.0000022""","=""3""","=""3.2689e+06""",AAA,"=""[171134.894441]""","=""[193663.509489]""","=""1s.2p""","=""1P*""","=""1""","=""1s.5s""","=""1S""","=""0""",3,1,,"=""T8636c73""","=""L14925c72""",
He,1,"=""447.14802""","=""0.00015""","=""447.1470373""","=""0.0000022""","=""200*""","=""6.8275e+05""",AAA,"=""[169086.76391031]""","=""[191444.49804915]""","=""1s.2p""","=""3P*""","=""2""","=""1s.4d""","=""3D""","=""1""",5,3,,"=""T8636c73""","=""L14926""",
He,1,"=""447.14802""","=""0.00015""","=""447.1474077""","=""0.0000022""","=""200*""","=""6.1440e+06""",AAA,"=""[169086.76391031]""","=""[191444.47952984]""","=""1s.2p""","=""3P*""","=""2""","=""1s.4d""","=""3D""","=""2""",5,5,,"=""T8636c73""","=""L14926""",
He,1,"=""447.14802""","=""0.00015""","=""447.1474317""","=""0.0000022""","=""200*""","=""2.4579e+07""",AAA,"=""[169086.76391031]""","=""[191444.47832914]""","=""1s.2p""","=""3P*""","=""2""","=""1s.4d""","=""3D""","=""3""",5,7,,"=""T8636c73""","=""L14926""",
He,1,"=""447.14802""","=""0.00015""","=""447.1485658""","=""0.0000022""","=""200*""","=""1.0241e+07""",AAA,"=""[169086.84033581]""","=""[191444.49804915]""","=""1s.2p""","=""3P*""","=""1""","=""1s.4d""","=""3D""","=""1""",3,3,,"=""T8636c73""","=""L14926""",
He,1,"=""447.14802""","=""0.00015""","=""447.1489362""","=""0.0000022""","=""200*""","=""1.8432e+07""",AAA,"=""[169086.84033581]""","=""[191444.47952984]""","=""1s.2p""","=""3P*""","=""1""","=""1s.4d""","=""3D""","=""2""",3,5,,"=""T8636c73""","=""L14926""",
He,1,"=""""","=""""","=""447.1683251""","=""0.0000022""","=""25""","=""1.3655e+07""",AAA,"=""[169087.82825101]""","=""[191444.49804915]""","=""1s.2p""","=""3P*""","=""0""","=""1s.4d""","=""3D""","=""1""",1,3,,"=""T8636c73""","=""L366""",
He,2,"=""""","=""""","=""468.5376850""","=""0.0000024""","=""""","=""9.3899e+07""",AA,"=""(390140.8249696)""","=""(411477.853680)""","=""3p""","=""2P*""","=""1/2""","=""4d""","=""2D""","=""3/2""",2,4,,"=""T7771""","=""""",
He,2,"=""""","=""""","=""468.5407226""","=""0.0000023""","=""""","=""4.9070e+07""",AA,"=""(390140.964517)""","=""(411477.8548989)""","=""3s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""3/2""",2,4,,"=""T7771""","=""""",
He,2,"=""""","=""""","=""468.5524404""","=""0.0000023""","=""""","=""9.7968e+06""",AA,"=""(390140.8249696)""","=""(411477.1817529)""","=""3p""","=""2P*""","=""1/2""","=""4s""","=""2S""","=""1/2""",2,2,,"=""T7771""","=""""",
He,2,"=""""","=""""","=""468.5568006""","=""0.0000023""","=""""","=""4.9080e+07""",AA,"=""(390140.964517)""","=""(411477.1227550)""","=""3s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""1/2""",2,2,,"=""T7771""","=""""",
He,2,"=""""","=""""","=""468.5703850""","=""0.0000023""","=""""","=""2.0605e+08""",AA,"=""(390142.55757536)""","=""(411478.097267)""","=""3d""","=""2D""","=""3/2""","=""4f""","=""2F*""","=""5/2""",4,6,,"=""T7771""","=""""",
He,2,"=""""","=""""","=""468.5704380""","=""0.0000024""","=""""","=""1.1268e+08""",AA,"=""(390142.5604306)""","=""(411478.097707)""","=""3p""","=""2P*""","=""3/2""","=""4d""","=""2D""","=""5/2""",4,6,,"=""T7771""","=""""",
He,2,"=""""","=""""","=""468.5757080""","=""0.0000023""","=""""","=""5.5646e+05""",AA,"=""(390142.55757536)""","=""(411477.8548989)""","=""3d""","=""2D""","=""3/2""","=""4p""","=""2P*""","=""3/2""",4,4,,"=""T7771""","=""""",
He,2,"=""""","=""""","=""468.5757975""","=""0.0000024""","=""""","=""1.8780e+07""",AA,"=""(390142.5604306)""","=""(411477.853680)""","=""3p""","=""2P*""","=""3/2""","=""4d""","=""2D""","=""3/2""",4,4,,"=""T7771""","=""""",
He,2,"=""""","=""""","=""468.5804092""","=""0.0000023""","=""""","=""2.2076e+08""",AA,"=""(390143.13600712)""","=""(411478.219277)""","=""3d""","=""2D""","=""5/2""","=""4f""","=""2F*""","=""7/2""",6,8,,"=""T7771""","=""""",
He,2,"=""""","=""""","=""468.5830890""","=""0.0000023""","=""""","=""1.4717e+07""",AA,"=""(390143.13600712)""","=""(411478.097267)""","=""3d""","=""2D""","=""5/2""","=""4f""","=""2F*""","=""5/2""",6,6,,"=""T7771""","=""""",
He,2,"=""""","=""""","=""468.5884123""","=""0.0000023""","=""""","=""5.0091e+06""",AA,"=""(390143.13600712)""","=""(411477.8548989)""","=""3d""","=""2D""","=""5/2""","=""4p""","=""2P*""","=""3/2""",6,4,,"=""T7771""","=""""",
He,2,"=""""","=""""","=""468.5905553""","=""0.0000023""","=""""","=""1.9602e+07""",AA,"=""(390142.5604306)""","=""(411477.1817529)""","=""3p""","=""2P*""","=""3/2""","=""4s""","=""2S""","=""1/2""",4,2,,"=""T7771""","=""""",
