element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Eu,1,"=""549.5200""","=""549.520+""","=""45""","=""6.7e+06""",C+,"=""12923.72""","=""31116.38""","=""4f7.(8S*).5d (9D*).6s""","=""a 10D*""","=""5/2""","=""4f6.(7F).5d.6s2""","=""8P""","=""7/2""",6,8,,"=""T7356""","=""L7586,L3475""",
Eu,1,"=""552.6627""","=""552.662+""","=""30""","=""3.77e+06""",B+,"=""13048.90""","=""31138.11""","=""4f7.(8S*).5d (9D*).6s""","=""a 10D*""","=""7/2""","=""4f7.(8S*).5d (9D*).6p""","=""z 10D""","=""7/2""",8,8,,"=""T7356""","=""L7586,L3475""",
Eu,1,"=""553.325""","=""553.327+""","=""30""","=""2.7e+06""",C+,"=""13048.90""","=""31116.38""","=""4f7.(8S*).5d (9D*).6s""","=""a 10D*""","=""7/2""","=""4f6.(7F).5d.6s2""","=""8P""","=""7/2""",8,8,,"=""T7356""","=""L7586,L3475""",
Eu,1,"=""554.744""","=""554.743+""","=""200""","=""3.32e+07""",B+,"=""12923.72""","=""30945.07""","=""4f7.(8S*).5d (9D*).6s""","=""a 10D*""","=""5/2""","=""4f7.(8S*).5d (9D*).6p""","=""z 10D""","=""5/2""",6,6,,"=""T7356""","=""L7586,L3475""",
Eu,1,"=""557.033""","=""557.034+""","=""150""","=""1.95e+07""",B+,"=""13778.68""","=""31725.93""","=""4f7.(8S*).5d (9D*).6s""","=""a 10D*""","=""13/2""","=""4f7.(8S*).5d (9D*).6p""","=""z 10D""","=""11/2""",14,12,,"=""T7356""","=""L7586,L3475""",
Eu,1,"=""557.714""","=""557.713+""","=""200""","=""2.80e+07""",B+,"=""13457.21""","=""31382.61""","=""4f7.(8S*).5d (9D*).6s""","=""a 10D*""","=""11/2""","=""4f7.(8S*).5d (9D*).6p""","=""z 10D""","=""9/2""",12,10,,"=""T7356""","=""L7586,L3475""",
Eu,1,"=""558.003""","=""558.003+""","=""120""","=""2.00e+07""",B+,"=""13222.04""","=""31138.11""","=""4f7.(8S*).5d (9D*).6s""","=""a 10D*""","=""9/2""","=""4f7.(8S*).5d (9D*).6p""","=""z 10D""","=""7/2""",10,8,,"=""T7356""","=""L7586,L3475""",
Eu,1,"=""558.624""","=""558.624+""","=""90""","=""1.71e+07""",B+,"=""13048.90""","=""30945.07""","=""4f7.(8S*).5d (9D*).6s""","=""a 10D*""","=""7/2""","=""4f7.(8S*).5d (9D*).6p""","=""z 10D""","=""5/2""",8,6,,"=""T7356""","=""L7586,L3475""",
Eu,1,"=""558.683""","=""558.681+""","=""75""","=""8.5e+06""",C+,"=""13222.04""","=""31116.38""","=""4f7.(8S*).5d (9D*).6s""","=""a 10D*""","=""9/2""","=""4f6.(7F).5d.6s2""","=""8P""","=""7/2""",10,8,,"=""T7356""","=""L7586,L3475""",
Eu,1,"=""559.980""","=""559.976+""","=""18*""","=""1.95e+06""",B,"=""13048.90""","=""30901.84""","=""4f7.(8S*).5d (9D*).6s""","=""a 10D*""","=""7/2""","=""4f7.(8S*).5d (9D*).6p""","=""z 8D""","=""9/2""",8,10,,"=""T7356""","=""L7586,L3475""",
Eu,1,"=""561.881""","=""561.880+""","=""40*""","=""2.60e+06""",B,"=""13222.04""","=""31014.48""","=""4f7.(8S*).5d (9D*).6s""","=""a 10D*""","=""9/2""","=""4f7.(8S*).5d (9D*).6p""","=""z 8D""","=""11/2""",10,12,,"=""T7356""","=""L7586,L3475""",
Eu,1,"=""563.254""","=""563.251+""","=""75""","=""1.19e+07""",B+,"=""13048.90""","=""30798.06""","=""4f7.(8S*).5d (9D*).6s""","=""a 10D*""","=""7/2""","=""4f7.(8S*).5d (9D*).6p""","=""z 8D""","=""5/2""",8,6,,"=""T7356""","=""L7586,L3475""",
Eu,1,"=""564.5795""","=""564.578+""","=""210""","=""7.2e+05""",B+,"=""0.00""","=""17707.42""","=""4f7.6s2""","=""a 8S*""","=""7/2""","=""4f7.(8S*).6s.6p.(3P*)""","=""z 6P""","=""5/2""",8,6,,"=""T7356""","=""L7586,L3475""",
Eu,1,"=""567.385""","=""567.381+""","=""60""","=""8.0e+06""",B+,"=""13222.04""","=""30841.99""","=""4f7.(8S*).5d (9D*).6s""","=""a 10D*""","=""9/2""","=""4f7.(8S*).5d (9D*).6p""","=""z 8D""","=""7/2""",10,8,,"=""T7356""","=""L7586,L3475""",
Eu,1,"=""573.087""","=""573.083+""","=""60""","=""5.5e+06""",C+,"=""13457.21""","=""30901.84""","=""4f7.(8S*).5d (9D*).6s""","=""a 10D*""","=""11/2""","=""4f7.(8S*).5d (9D*).6p""","=""z 8D""","=""9/2""",12,10,,"=""T7356""","=""L7586,L3475""",
Eu,1,"=""573.9000""","=""573.899+""","=""60""","=""2.8e+07""",B,"=""19447.19""","=""36867.04""","=""4f7.(8S*).5d (7D*).6s""","=""b 8D*""","=""11/2""","=""4f7.(8S*).5d (7D*).6p""","=""y 8D""","=""11/2""",12,12,,"=""T7356""","=""L7586,L3475""",
Eu,1,"=""576.520""","=""576.520+""","=""330""","=""1.14e+06""",B+,"=""0.00""","=""17340.65""","=""4f7.6s2""","=""a 8S*""","=""7/2""","=""4f7.(8S*).6s.6p.(3P*)""","=""z 6P""","=""7/2""",8,8,,"=""T7356""","=""L7586,L3475""",
Eu,1,"=""580.027""","=""580.027+""","=""60*""","=""5.1e+06""",B,"=""13778.68""","=""31014.48""","=""4f7.(8S*).5d (9D*).6s""","=""a 10D*""","=""13/2""","=""4f7.(8S*).5d (9D*).6p""","=""z 8D""","=""11/2""",14,12,,"=""T7356""","=""L7586,L3475""",
Eu,1,"=""583.098""","=""583.098+""","=""600cw""","=""5.1e+07""",B+,"=""13778.68""","=""30923.71""","=""4f7.(8S*).5d (9D*).6s""","=""a 10D*""","=""13/2""","=""4f7.(8S*).5d (9D*).6p""","=""z 10F""","=""15/2""",14,16,,"=""T7356""","=""L7586,L3475""",
Eu,1,"=""590.994""","=""590.991+""","=""12""","=""1.9e+06""",C,"=""15680.28""","=""32596.31""","=""4f7.(8S*).5d (9D*).6s""","=""a 8D*""","=""9/2""","=""4f7.(8S*).5d (9D*).6p""","=""y 10P""","=""9/2""",10,10,,"=""T7356""","=""L7586,L3475""",
Eu,1,"=""592.652""","=""592.651+""","=""27""","=""6.6e+06""",B,"=""16079.76""","=""32948.41""","=""4f7.(8S*).5d (9D*).6s""","=""a 8D*""","=""11/2""","=""4f7.(8S*).5d (9D*).6p""","=""y 10P""","=""11/2""",12,12,,"=""T7356""","=""L7586,L3475""",
Eu,1,"=""596.376""","=""596.372+""","=""90""","=""1.09e+07""",B+,"=""15421.25""","=""32184.65""","=""4f7.(8S*).5d (9D*).6s""","=""a 8D*""","=""7/2""","=""4f7.(8S*).5d (9D*).6p""","=""z 8F""","=""9/2""",8,10,,"=""T7356""","=""L7586,L3475""",
Eu,1,"=""596.710""","=""596.711+""","=""480cw""","=""3.08e+07""",B+,"=""13457.21""","=""30211.09""","=""4f7.(8S*).5d (9D*).6s""","=""a 10D*""","=""11/2""","=""4f7.(8S*).5d (9D*).6p""","=""z 10F""","=""13/2""",12,14,,"=""T7356""","=""L7586,L3475""",
Eu,1,"=""597.275""","=""597.274+""","=""170""","=""1.85e+07""",B+,"=""15680.28""","=""32418.38""","=""4f7.(8S*).5d (9D*).6s""","=""a 8D*""","=""9/2""","=""4f7.(8S*).5d (9D*).6p""","=""z 8F""","=""11/2""",10,12,,"=""T7356""","=""L7586,L3475""",
Eu,1,"=""598.314""","=""598.314+""","=""27""","=""2.5e+06""",C,"=""15421.25""","=""32130.25""","=""4f7.(8S*).5d (9D*).6s""","=""a 8D*""","=""7/2""","=""4f6.(7F).5d.6s2""","=""8P""","=""9/2""",8,10,,"=""T7356""","=""L7586,L3475""",
Eu,1,"=""599.283""","=""599.283+""","=""240""","=""3.34e+07""",B+,"=""16079.76""","=""32761.74""","=""4f7.(8S*).5d (9D*).6s""","=""a 8D*""","=""11/2""","=""4f7.(8S*).5d (9D*).6p""","=""z 8F""","=""13/2""",12,14,,"=""T7356""","=""L7586,L3475""",
Eu,1,"=""601.256""","=""601.253+""","=""110""","=""2.29e+07""",B,"=""15248.76""","=""31876.09""","=""4f7.(8S*).5d (9D*).6s""","=""a 8D*""","=""5/2""","=""4f7.(8S*).5d (9D*).6p""","=""z 8F""","=""5/2""",6,6,,"=""T7356""","=""L7586,L3475""",
Eu,1,"=""601.815""","=""601.815+""","=""420""","=""9.6e+05""",B+,"=""0.00""","=""16611.79""","=""4f7.6s2""","=""a 8S*""","=""7/2""","=""4f7.(8S*).6s.6p.(3P*)""","=""z 8P""","=""9/2""",8,10,,"=""T7356""","=""L7586,L3475""",
Eu,1,"=""602.900""","=""602.897+""","=""170""","=""2.51e+07""",B,"=""15421.25""","=""32003.24""","=""4f7.(8S*).5d (9D*).6s""","=""a 8D*""","=""7/2""","=""4f7.(8S*).5d (9D*).6p""","=""z 8F""","=""7/2""",8,8,,"=""T7356""","=""L7586,L3475""",
Eu,1,"=""605.736""","=""605.732+""","=""140""","=""2.11e+07""",B+,"=""15680.28""","=""32184.65""","=""4f7.(8S*).5d (9D*).6s""","=""a 8D*""","=""9/2""","=""4f7.(8S*).5d (9D*).6p""","=""z 8F""","=""9/2""",10,10,,"=""T7356""","=""L7586,L3475""",
