element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Y,1,"=""483.9866""","=""483.98610""","=""0.00010""","=""770""","=""8.6e+07""",B,"=""11532.096""","=""32188.075""","=""4d2.(3F).5s""","=""a 4F""","=""9/2""","=""4d2.(3F).5p""","=""y 4F*""","=""9/2""",10,10,,"=""T4373""","=""L7610,L3475""",
Y,1,"=""484.5668""","=""484.56655""","=""0.00012""","=""550""","=""6.8e+07""",B+,"=""11277.928""","=""31909.164""","=""4d2.(3F).5s""","=""a 4F""","=""7/2""","=""4d2.(3F).5p""","=""y 4F*""","=""7/2""",8,8,,"=""T9421""","=""L7610,L3475""",
Y,1,"=""485.2682""","=""485.26766""","=""0.00010""","=""410""","=""6.3e+07""",B,"=""11078.614""","=""31680.043""","=""4d2.(3F).5s""","=""a 4F""","=""5/2""","=""4d2.(3F).5p""","=""y 4F*""","=""5/2""",6,6,,"=""T4373""","=""L7610,L3475""",
Y,2,"=""485.4861""","=""485.4861+""","=""""","=""890""","=""3.9e+07""",B,"=""8003.126""","=""28595.285""","=""4d2""","=""a 3F""","=""2""","=""4d.5p""","=""z 3D*""","=""1""",5,3,,"=""T4373""","=""L10987,L3475""",
Y,1,"=""485.6714""","=""485.67126""","=""0.00007""","=""50""","=""2.01e+07""",B+,"=""15476.533""","=""36060.842""","=""4d2.(3P).5s""","=""a 4P""","=""5/2""","=""4d2.(3P).5p""","=""x 4D*""","=""5/2""",6,6,,"=""T4373""","=""L7610,L3475""",
Y,1,"=""485.98413""","=""485.98428""","=""0.00012""","=""330""","=""7.3e+07""",B,"=""10937.390""","=""31508.441""","=""4d2.(3F).5s""","=""a 4F""","=""3/2""","=""4d2.(3F).5p""","=""y 4F*""","=""3/2""",4,4,,"=""T4373""","=""L7610,L3475""",
Y,1,"=""""","=""487.74805""","=""0.00008""","=""""","=""1.94e+05""",B,"=""15864.481""","=""36361.145""","=""4d2.(3F).5s""","=""a 2F""","=""7/2""","=""4d2.(3P).5p""","=""x 4D*""","=""7/2""",8,8,,"=""T9421""","=""""",
Y,2,"=""488.1433""","=""488.1434+""","=""""","=""20""","=""1.50e+05""",B,"=""3296.180""","=""23776.245""","=""4d.5s""","=""a 1D""","=""2""","=""5s.5p""","=""z 3P*""","=""1""",5,3,,"=""T4373""","=""L10987,L3475""",
Y,2,"=""488.3682""","=""488.3682+""","=""""","=""1900""","=""4.7e+07""",B,"=""8743.322""","=""29213.958""","=""4d2""","=""a 3F""","=""4""","=""4d.5p""","=""z 3D*""","=""3""",9,7,,"=""T4373""","=""L10987,L3475""",
Y,1,"=""488.6640""","=""488.66389""","=""0.00005""","=""40""","=""2.43e+07""",B+,"=""15994.045""","=""36452.295""","=""4d2.(1D).5s""","=""b 2D""","=""3/2""","=""4d2.(1D).5p""","=""w 2D*""","=""3/2""",4,4,,"=""T9421""","=""L7610,L3475""",
Y,1,"=""489.3436""","=""489.34376""","=""0.00012""","=""95""","=""2.22e+07""",C+,"=""11078.614""","=""31508.441""","=""4d2.(3F).5s""","=""a 4F""","=""5/2""","=""4d2.(3F).5p""","=""y 4F*""","=""3/2""",6,4,,"=""T4373""","=""L7610,L3475""",
Y,1,"=""""","=""490.00844""","=""0.00010""","=""m(Y II)""","=""1.98e+07""",B,"=""11277.928""","=""31680.043""","=""4d2.(3F).5s""","=""a 4F""","=""7/2""","=""4d2.(3F).5p""","=""y 4F*""","=""5/2""",8,6,,"=""T4373""","=""L3475""",
Y,2,"=""490.0118""","=""490.0119+""","=""""","=""1100""","=""4.5e+07""",B,"=""8328.039""","=""28730.010""","=""4d2""","=""a 3F""","=""3""","=""4d.5p""","=""z 3D*""","=""2""",7,5,,"=""T4373""","=""L10987,L3475""",
Y,1,"=""490.6108""","=""490.61075""","=""0.00013""","=""100""","=""1.20e+07""",B,"=""11532.096""","=""31909.164""","=""4d2.(3F).5s""","=""a 4F""","=""9/2""","=""4d2.(3F).5p""","=""y 4F*""","=""7/2""",10,8,,"=""T9421""","=""L7610,L3475""",
Y,1,"=""492.63280""","=""492.63280""","=""0.00005""","=""10""","=""8.4e+06""",B+,"=""16158.865""","=""36452.295""","=""4d2.(1D).5s""","=""b 2D""","=""5/2""","=""4d2.(1D).5p""","=""w 2D*""","=""3/2""",6,4,,"=""T9421""","=""L7610""",
Y,1,"=""494.85553""","=""494.85552""","=""0.00008""","=""6""","=""3.8e+06""",B+,"=""16158.865""","=""36361.145""","=""4d2.(1D).5s""","=""b 2D""","=""5/2""","=""4d2.(3P).5p""","=""x 4D*""","=""7/2""",6,8,,"=""T9421""","=""L7610""",
Y,1,"=""495.0005""","=""495.00055""","=""0.00008""","=""3""","=""1.98e+06""",B+,"=""15864.481""","=""36060.842""","=""4d2.(3F).5s""","=""a 2F""","=""7/2""","=""4d2.(3P).5p""","=""x 4D*""","=""5/2""",8,6,,"=""T4373""","=""L7610""",
Y,1,"=""496.3489""","=""496.34830""","=""0.00006""","=""1""","=""1.43e+06""",B,"=""15994.045""","=""36135.567""","=""4d2.(1D).5s""","=""b 2D""","=""3/2""","=""4d2.(3P).5p""","=""z 4S*""","=""3/2""",4,4,,"=""T9421""","=""L7610""",
Y,1,"=""498.19646""","=""498.19664""","=""0.00008""","=""1""","=""4.6e+05""",C+,"=""15994.045""","=""36060.842""","=""4d2.(1D).5s""","=""b 2D""","=""3/2""","=""4d2.(3P).5p""","=""x 4D*""","=""5/2""",4,6,,"=""T4373""","=""L7610""",
Y,2,"=""498.2128""","=""498.2130+""","=""""","=""120""","=""1.53e+06""",B,"=""8328.039""","=""28394.177""","=""4d2""","=""a 3F""","=""3""","=""4d.5p""","=""z 3F*""","=""4""",7,9,,"=""T4373""","=""L10987,L3475""",
Y,1,"=""500.44350""","=""500.44353""","=""0.00006""","=""1""","=""8.6e+05""",B,"=""16158.865""","=""36135.567""","=""4d2.(1D).5s""","=""b 2D""","=""5/2""","=""4d2.(3P).5p""","=""z 4S*""","=""3/2""",6,4,,"=""T9421""","=""L7610""",
Y,1,"=""507.0187""","=""507.01887""","=""0.00004""","=""75""","=""1.3e+07""",D+,"=""19147.983""","=""38865.618""","=""4d.5s.(3D).5p""","=""z 4P*""","=""5/2""","=""4d.5s.(3D).5d""","=""f 4D""","=""7/2""",6,8,,"=""T4373""","=""L7610,L3475""",
Y,2,"=""508.7418""","=""508.7419+""","=""""","=""1100""","=""1.95e+07""",B,"=""8743.322""","=""28394.177""","=""4d2""","=""a 3F""","=""4""","=""4d.5p""","=""z 3F*""","=""4""",9,9,,"=""T4373""","=""L10987,L3475""",
