element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Mn,2,"=""185.161""","=""0.002""","=""185.1619""","=""0.0005""","=""10*""","=""1.2e+08""",D,"=""55116.333""","=""109123.13""","=""3d4.4s2""","=""c 5D""","=""2""","=""3d4.(b 3F).4s.4p.(1P*)""","=""u 5F*""","=""3""",5,7,,"=""c88""","=""L562""",
Mn,2,"=""185.278""","=""0.002""","=""185.2805""","=""0.0007""","=""60*""","=""1.7e+08""",D,"=""55371.693""","=""109343.9""","=""3d4.4s2""","=""c 5D""","=""3""","=""3d4.(b 3F).4s.4p.(3P*)""","=""v 5D*""","=""2""",7,5,,"=""c88""","=""L562""",
Mn,2,"=""185.3272""","=""0.0006""","=""185.32659""","=""0.00003""","=""300""","=""1.8e+08""",D,"=""14325.866""","=""68284.664""","=""3d6""","=""a 5D""","=""4""","=""3d5.(4P).4p""","=""y 5P*""","=""3""",9,7,,"=""c88""","=""L562""",
Mn,2,"=""185.489""","=""0.0015""","=""185.4896""","=""0.0007""","=""40""","=""2.3e+08""",D,"=""55697.014""","=""109608.4""","=""3d4.4s2""","=""c 5D""","=""4""","=""3d4.(b 3F).4s.4p.(3P*)""","=""v 5D*""","=""4""",9,9,,"=""c88""","=""L562""",
Mn,2,"=""185.670""","=""0.0015""","=""185.6701""","=""0.0007""","=""12""","=""1.7e+08""",D,"=""55116.333""","=""108975.3""","=""3d4.4s2""","=""c 5D""","=""2""","=""3d4.(5D).4s.4p.(1P*)""","=""t 5P*""","=""2""",5,5,,"=""c88""","=""L562""",
Mn,2,"=""185.701""","=""0.002""","=""185.7007""","=""0.0006""","=""30h""","=""2.1e+08""",D,"=""55371.693""","=""109221.8""","=""3d4.4s2""","=""c 5D""","=""3""","=""3d4.(b 3F).4s.4p.(1P*)""","=""u 5F*""","=""4""",7,9,,"=""c88""","=""L562""",
Mn,2,"=""186.051""","=""0.0015""","=""186.05108""","=""0.00017""","=""100""","=""7.e+07""",D,"=""30679.51""","=""84428.19""","=""3d6""","=""a 3H""","=""5""","=""3d5.(a 2G).4p""","=""x 3H*""","=""5""",11,11,,"=""c88""","=""L562""",
Mn,2,"=""186.280""","=""0.002""","=""186.2808""","=""0.0006""","=""20h""","=""2.5e+08""",D,"=""55697.014""","=""109379.4""","=""3d4.4s2""","=""c 5D""","=""4""","=""3d4.(5D).4s.4p.(1P*)""","=""t 5P*""","=""3""",9,7,,"=""c88""","=""L562""",
Mn,2,"=""186.4615""","=""0.0006""","=""186.4613""","=""0.0005""","=""40""","=""2.6e+08""",D,"=""55697.014""","=""109327.45""","=""3d4.4s2""","=""c 5D""","=""4""","=""3d4.(b 3F).4s.4p.(1P*)""","=""u 5F*""","=""5""",9,11,,"=""c88""","=""L562""",
Mn,2,"=""186.552""","=""0.002""","=""186.5546""","=""0.0007""","=""10h""","=""2.3e+08""",D,"=""55371.693""","=""108975.3""","=""3d4.4s2""","=""c 5D""","=""3""","=""3d4.(5D).4s.4p.(1P*)""","=""t 5P*""","=""2""",7,5,,"=""c88""","=""L562""",
