element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Dy,1,"=""408.534""","=""408.5333+""","=""370""","=""1.71e+07""",B+,"=""7565.610""","=""32036.51""","=""4f9.(6H*).5d.6s2""","=""7H*""","=""8""","=""""","=""""","=""7""",17,15,,"=""T7148""","=""L3475""",
Dy,2,"=""410.330""","=""410.33047+""","=""3900""","=""1.04e+07""",,"=""828.314""","=""25192.039""","=""4f10.(5I<8>).6s<1/2>""","=""(8,1/2)""","=""15/2""","=""4f10.(5I).6p""","=""*""","=""15/2""",16,16,,"=""T7148""","=""L3475""",
Dy,1,"=""410.387""","=""410.3874+""","=""860""","=""6.2e+07""",B+,"=""7050.603""","=""31410.95""","=""4f10.6s2""","=""5I""","=""6""","=""""","=""*""","=""5""",13,11,,"=""T7148""","=""L3475""",
Dy,1,"=""412.912""","=""412.9122+""","=""350""","=""9.8e+07""",B+,"=""10925.277""","=""35136.67""","=""4f10.6s2""","=""5I""","=""4""","=""""","=""*""","=""3""",9,7,,"=""T7148""","=""L3475""",
Dy,1,"=""413.035""","=""413.0351+""","=""350""","=""1.76e+06""",B+,"=""0.000""","=""24204.19""","=""4f10.6s2""","=""5I""","=""8""","=""4f9.(6H*).5d2.(3F) (8I*).6s""","=""*""","=""8""",17,17,,"=""T7148""","=""L3475""",
Dy,1,"=""414.606""","=""414.6063+""","=""990""","=""1.95e+08""",B+,"=""9211.591""","=""33324.06""","=""4f10.6s2""","=""5I""","=""5""","=""4f10.(5I<5>).6s.6p.(1P*<1>)""","=""(5,1)*""","=""4""",11,9,,"=""T7148""","=""L3475""",
Dy,1,"=""416.797""","=""416.79743+""","=""5700""","=""1.92e+08""",B+,"=""4134.222""","=""28119.931""","=""4f10.6s2""","=""5I""","=""7""","=""4f10.(5I<7>).6s.6p.(1P*<1>)""","=""(7,1)*""","=""6""",15,13,,"=""T7148""","=""L3475""",
Dy,1,"=""418.372""","=""418.3717+""","=""930""","=""8.8e+07""",B+,"=""4134.222""","=""28029.68""","=""4f10.6s2""","=""5I""","=""7""","=""""","=""*""","=""8""",15,17,,"=""T7148""","=""L3475""",
Dy,1,"=""418.682""","=""418.68213+""","=""12000""","=""1.26e+08""",B+,"=""0.000""","=""23877.739""","=""4f10.6s2""","=""5I""","=""8""","=""4f10.(5I<8>).6s.6p.(1P*<1>)""","=""(8,1)*""","=""8""",17,17,,"=""T7148""","=""L3475""",
Dy,1,"=""419.094""","=""419.0938+""","=""320""","=""2.03e+07""",B+,"=""7050.603""","=""30904.89""","=""4f10.6s2""","=""5I""","=""6""","=""""","=""*""","=""5""",13,11,,"=""T7148""","=""L3475""",
Dy,1,"=""419.164""","=""419.16398+""","=""2200""","=""7.1e+07""",B+,"=""4134.222""","=""27984.513""","=""4f10.6s2""","=""5I""","=""7""","=""4f9.(6H*).5d2.(3F) (8L*).6s""","=""*""","=""7""",15,15,,"=""T7148""","=""L3475""",
Dy,1,"=""419.484""","=""419.48464+""","=""6800""","=""8.8e+07""",B+,"=""0.000""","=""23832.060""","=""4f10.6s2""","=""5I""","=""8""","=""4f9.(6H*).5d2.(3F) (8K*).6s""","=""*""","=""8""",17,17,,"=""T7148""","=""L3475""",
Dy,1,"=""419.802""","=""419.8019+""","=""800""","=""1.08e+08""",B+,"=""9211.591""","=""33025.64""","=""4f10.6s2""","=""5I""","=""5""","=""4f10.(5I<5>).6s.6p.(1P*<1>)""","=""(5,1)*""","=""5""",11,11,,"=""T7148""","=""L3475""",
Dy,1,"=""420.130""","=""420.1309+""","=""680""","=""1.70e+08""",B+,"=""10925.277""","=""34720.68""","=""4f10.6s2""","=""5I""","=""4""","=""""","=""*""","=""4""",9,9,,"=""T7148""","=""L3475""",
Dy,1,"=""420.224""","=""420.2240+""","=""680""","=""4.82e+07""",B+,"=""7050.603""","=""30840.73""","=""4f10.6s2""","=""5I""","=""6""","=""4f9.(6F*).5d2.(3F) (8H*).6s""","=""*""","=""6""",13,13,,"=""T7148""","=""L3475""",
Dy,1,"=""421.172""","=""421.17151+""","=""16000""","=""2.08e+08""",B+,"=""0.000""","=""23736.610""","=""4f10.6s2""","=""5I""","=""8""","=""4f10.(5I<8>).6s.6p.(1P*<1>)""","=""(8,1)*""","=""9""",17,19,,"=""T7148""","=""L3475""",
Dy,1,"=""421.318""","=""421.3180+""","=""1800""","=""1.27e+08""",B+,"=""7050.603""","=""30778.958""","=""4f10.6s2""","=""5I""","=""6""","=""4f10.(5I<6>).6s.6p.(1P*<1>)""","=""(6,1)*""","=""6""",13,13,,"=""T7148""","=""L3475""",
Dy,1,"=""421.516""","=""421.5160+""","=""3700""","=""8.1e+07""",B+,"=""4134.222""","=""27851.435""","=""4f10.6s2""","=""5I""","=""7""","=""4f9.(6H*).5d2.(3P) (8I*).6s""","=""*""","=""8""",15,17,,"=""T7148""","=""L3475""",
Dy,1,"=""421.809""","=""421.8094+""","=""4400""","=""1.20e+08""",B+,"=""4134.222""","=""27834.934""","=""4f10.6s2""","=""5I""","=""7""","=""4f10.(5I<7>).6s.6p.(1P*<1>)""","=""(7,1)*""","=""7""",15,15,,"=""T7148""","=""L3475""",
Dy,1,"=""422.111""","=""422.1110+""","=""4400""","=""1.28e+08""",B+,"=""4134.222""","=""27818.000""","=""4f10.6s2""","=""5I""","=""7""","=""4f10.(5I<7>).6s.6p.(1P*<1>)""","=""(7,1)*""","=""8""",15,17,,"=""T7148""","=""L3475""",
Dy,1,"=""422.221""","=""422.2212+""","=""540""","=""7.1e+07""",B+,"=""9211.591""","=""32889.19""","=""4f10.6s2""","=""5I""","=""5""","=""""","=""*""","=""5""",11,11,,"=""T7148""","=""L3475""",
Dy,1,"=""422.516""","=""422.5154+""","=""2700""","=""1.95e+08""",B+,"=""7050.603""","=""30711.717""","=""4f10.6s2""","=""5I""","=""6""","=""4f10.(5I<6>).6s.6p.(1P*<1>)""","=""(6,1)*""","=""7""",13,15,,"=""T7148""","=""L3475""",
