element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
La,2,"=""458.006""","=""458.004+""","=""200""","=""3.13e+07""",B+,"=""5718.12""","=""27545.85""","=""5d2""","=""a 3P""","=""1""","=""6s.6p""","=""y 3P*""","=""0""",3,1,,"=""T7455""","=""L3475""",
La,1,"=""""","=""458.1197+""","=""""","=""1.46e+07""",B,"=""7679.939""","=""29502.18&dagger;""","=""5d2.(3P).6s""","=""4P""","=""5/2""","=""4f.5d.(3D*).6s""","=""*""","=""5/2""",6,6,,"=""T9460""","=""""",
La,1,"=""""","=""459.6184+""","=""""","=""1.73e+06""",B,"=""1053.164""","=""22804.25""","=""5d.6s2""","=""2D""","=""5/2""","=""5d2.(3F).6p""","=""4D*""","=""5/2""",6,6,,"=""T9460""","=""""",
La,1,"=""460.205""","=""460.2038+""","=""35""","=""2.33e+07""",B+,"=""8052.162""","=""29775.58&dagger;""","=""5d2.(3F).6s""","=""2F""","=""7/2""","=""4f.5d.(3D*).6s""","=""*""","=""5/2""",8,6,,"=""T9460""","=""L3475""",
La,1,"=""""","=""460.4237+""","=""""","=""1.8e+07""",B+,"=""9183.797""","=""30896.84""","=""5d2.(1D).6s""","=""2D""","=""5/2""","=""4f.5d.(3P*).6s""","=""4P*""","=""5/2""",6,6,,"=""T9460""","=""""",
La,2,"=""460.578""","=""460.578+""","=""160""","=""6.9e+06""",B,"=""5718.12""","=""27423.91""","=""5d2""","=""a 3P""","=""1""","=""5d.6p""","=""*""","=""1""",3,3,,"=""T7455""","=""L3475""",
La,2,"=""461.339""","=""461.338+""","=""410""","=""1.10e+07""",B,"=""5718.12""","=""27388.11""","=""5d2""","=""a 3P""","=""1""","=""5d.6p""","=""y 3D*""","=""2""",3,5,,"=""T7455""","=""L3475""",
La,1,"=""""","=""464.3129+""","=""""","=""3.81e+06""",B+,"=""7011.909""","=""28543.08""","=""5d2.(3F).6s""","=""2F""","=""5/2""","=""4f.5d.(3F*).6s""","=""2F*""","=""7/2""",6,8,,"=""T9460""","=""""",
La,2,"=""464.528""","=""464.528+""","=""110""","=""7.2e+05""",B+,"=""1016.10""","=""22537.30""","=""5d2""","=""a 3F""","=""3""","=""4f.5d""","=""z 3D*""","=""3""",7,7,,"=""T7455""","=""L3475""",
La,1,"=""464.865""","=""464.8641+""","=""80""","=""2.02e+07""",B+,"=""2668.188""","=""24173.83""","=""5d2.(3F).6s""","=""4F""","=""3/2""","=""4f.5d.(3F*).6s""","=""4F*""","=""3/2""",4,4,,"=""T9460""","=""L3475""",
La,1,"=""465.033""","=""465.0322+""","=""35""","=""5.4e+06""",B+,"=""3010.002""","=""24507.87&dagger;""","=""5d2.(3F).6s""","=""4F""","=""5/2""","=""4f.5d.(3F*).6s""","=""4F*""","=""5/2""",6,6,,"=""T9460""","=""L3475""",
La,1,"=""""","=""465.1050+""","=""""","=""2.1e+06""",C+,"=""7011.909""","=""28506.41""","=""5d2.(3F).6s""","=""2F""","=""5/2""","=""5d.6s.(3D).6p""","=""*""","=""5/2""",6,6,,"=""T9460""","=""""",
La,1,"=""""","=""465.1874+""","=""""","=""5.4e+06""",C,"=""8446.044""","=""29936.74&dagger;""","=""5d2.(1D).6s""","=""2D""","=""3/2""","=""4f.5d.(3P*).6s""","=""*""","=""3/2""",4,4,,"=""T9460""","=""""",
La,1,"=""465.208""","=""465.2076+""","=""45""","=""6.9e+06""",B+,"=""3494.526""","=""24984.29""","=""5d2.(3F).6s""","=""4F""","=""7/2""","=""5d2.(3P).6p?""","=""*""","=""5/2""",8,6,,"=""T9460""","=""L3475""",
La,1,"=""466.070""","=""466.0696+""","=""35""","=""1.87e+07""",B,"=""8052.162""","=""29502.18&dagger;""","=""5d2.(3F).6s""","=""2F""","=""7/2""","=""4f.5d.(3D*).6s""","=""*""","=""5/2""",8,6,,"=""T9460""","=""L3475""",
La,2,"=""466.251""","=""466.2498+""","=""360""","=""5.8e+06""",B+,"=""0.00""","=""21441.73""","=""5d2""","=""a 3F""","=""2""","=""4f.5d""","=""z 3D*""","=""1""",5,3,,"=""T7455""","=""L3475""",
La,1,"=""""","=""467.1660+""","=""""","=""1.44e+06""",B+,"=""3010.002""","=""24409.68""","=""5d2.(3F).6s""","=""4F""","=""5/2""","=""4f.5d.(1G*).6s""","=""*""","=""7/2""",6,8,,"=""T9460""","=""""",
La,2,"=""469.118""","=""469.117+""","=""90""","=""1.56e+06""",B,"=""1394.46""","=""22705.15""","=""5d2""","=""""","=""2""","=""4f.5d""","=""z 3P*""","=""1""",5,3,,"=""T7455""","=""L3475""",
La,2,"=""469.963""","=""469.962+""","=""90""","=""7.1e+05""",C,"=""3250.35""","=""24522.70""","=""5d.6s""","=""a 3D""","=""3""","=""4f.5d""","=""y 1F*""","=""3""",7,7,,"=""T7455""","=""L3475""",
La,1,"=""470.264""","=""470.2641+""","=""35""","=""4.9e+06""",B,"=""4121.572""","=""25380.27""","=""5d2.(3F).6s""","=""4F""","=""9/2""","=""4f.5d.(3F*).6s""","=""4F*""","=""7/2""",10,8,,"=""T9460""","=""L3475""",
La,1,"=""470.819""","=""470.8186+""","=""35""","=""2.03e+07""",B+,"=""9183.797""","=""30417.46&dagger;""","=""5d2.(1D).6s""","=""2D""","=""5/2""","=""4f.5d.(3P*).6s""","=""4P*""","=""3/2""",6,4,,"=""T9460""","=""L3475""",
La,1,"=""""","=""471.4158+""","=""""","=""1.85e+06""",C+,"=""2668.188""","=""23874.95""","=""5d2.(3F).6s""","=""4F""","=""3/2""","=""5d.6s.(3D).6p""","=""*""","=""5/2""",4,6,,"=""T9460""","=""""",
La,2,"=""471.644""","=""471.644+""","=""170""","=""6.2e+06""",B,"=""6227.42""","=""27423.91""","=""5d2""","=""a 3P""","=""2""","=""5d.6p""","=""*""","=""1""",5,3,,"=""T7455""","=""L3475""",
La,1,"=""""","=""472.3722+""","=""""","=""2.09e+06""",B,"=""3010.002""","=""24173.83""","=""5d2.(3F).6s""","=""4F""","=""5/2""","=""4f.5d.(3F*).6s""","=""4F*""","=""3/2""",6,4,,"=""T9460""","=""""",
La,2,"=""472.842""","=""472.841+""","=""230""","=""1.77e+06""",B+,"=""1394.46""","=""22537.30""","=""5d2""","=""""","=""2""","=""4f.5d""","=""z 3D*""","=""3""",5,7,,"=""T7455""","=""L3475""",
La,2,"=""474.028""","=""474.028+""","=""500""","=""5.3e+06""",B+,"=""1016.10""","=""22106.02""","=""5d2""","=""a 3F""","=""3""","=""4f.5d""","=""z 3D*""","=""2""",7,5,,"=""T7455""","=""L3475""",
La,2,"=""474.873""","=""474.873+""","=""320""","=""7.7e+06""",B+,"=""7473.32""","=""28525.71""","=""5d2""","=""a 1G""","=""4""","=""4f.5d""","=""z 1H*""","=""5""",9,11,,"=""T7455""","=""L3475""",
La,1,"=""475.041""","=""475.0419+""","=""45""","=""3.6e+07""",B,"=""9919.821""","=""30964.71""","=""5d2.(1G).6s""","=""2G""","=""9/2""","=""""","=""*""","=""7/2""",10,8,,"=""T9460""","=""L3475""",
La,1,"=""""","=""475.2404+""","=""""","=""1.16e+06""",C+,"=""3010.002""","=""24046.10""","=""5d2.(3F).6s""","=""4F""","=""5/2""","=""5d2.(3P).6p""","=""4D*""","=""5/2""",6,6,,"=""T9460""","=""""",
La,1,"=""""","=""475.9711+""","=""""","=""5.6e+06""",C+,"=""9960.904""","=""30964.71""","=""5d2.(1G).6s""","=""2G""","=""7/2""","=""""","=""*""","=""7/2""",8,8,,"=""T9460""","=""""",
La,1,"=""476.689""","=""476.6891+""","=""160""","=""1.18e+07""",B+,"=""0.000""","=""20972.17""","=""5d.6s2""","=""2D""","=""3/2""","=""5d2.(3F).6p""","=""*""","=""5/2""",4,6,,"=""T9460""","=""L3475""",
La,1,"=""477.043""","=""477.0426+""","=""35""","=""2.54e+07""",B,"=""7011.909""","=""27968.54""","=""5d2.(3F).6s""","=""2F""","=""5/2""","=""4f.5d.(3D*).6s""","=""*""","=""3/2""",6,4,,"=""T9460""","=""L3475""",
La,1,"=""""","=""477.5141+""","=""""","=""1.19e+07""",B,"=""9960.904""","=""30896.84""","=""5d2.(1G).6s""","=""2G""","=""7/2""","=""4f.5d.(3P*).6s""","=""4P*""","=""5/2""",8,6,,"=""T9460""","=""""",
La,1,"=""""","=""477.9886+""","=""""","=""1.41e+06""",B+,"=""3494.526""","=""24409.68""","=""5d2.(3F).6s""","=""4F""","=""7/2""","=""4f.5d.(1G*).6s""","=""*""","=""7/2""",8,8,,"=""T9460""","=""""",
La,1,"=""""","=""479.1388+""","=""""","=""1.6e+06""",C,"=""3010.002""","=""23874.95""","=""5d2.(3F).6s""","=""4F""","=""5/2""","=""5d.6s.(3D).6p""","=""*""","=""5/2""",6,6,,"=""T9460""","=""""",
