element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Kr,1,"=""785.48233""","=""785.48229+""","=""200""","=""2.041e+07""",A,"=""85191.6166""","=""97919.1468""","=""4s2.4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""0""","=""4s2.4p5.(2P*<1/2>).5p""","=""2[1/2]""","=""1""",1,3,,"=""T7199""","=""L11281""",
Kr,1,"=""786.391""","=""786.3897+""","=""20""","=""2.68e+05""",C,"=""92294.4012""","=""105007.245""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[5/2]""","=""3""","=""4s2.4p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""2""",7,5,,"=""T3774n,T3408,T7199""","=""L6099""",
Kr,1,"=""788.236""","=""788.23645+""","=""10""","=""1.73e+05""",D+,"=""92964.3943""","=""105647.4536""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[3/2]""","=""1""","=""4s2.4p5.(2P*<3/2>).7s""","=""2[3/2]*""","=""2""",3,5,,"=""T3600n,T3408,T7199""","=""L6099""",
Kr,1,"=""790.462""","=""790.46136+""","=""30""","=""1.05e+06""",D+,"=""93123.3409""","=""105770.7014""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[3/2]""","=""2""","=""4s2.4p5.(2P*<3/2>).7s""","=""2[3/2]*""","=""1""",5,3,,"=""T3600n,T7227,u41""","=""L6099""",
Kr,1,"=""791.34251""","=""791.34251+""","=""50""","=""4.9e+06""",D+,"=""91168.5150""","=""103801.7929""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[1/2]""","=""1""","=""4s2.4p5.(2P*<3/2>).5d""","=""2[1/2]*""","=""1""",3,3,,"=""T3774n,u41""","=""L11281""",
Kr,1,"=""792.047""","=""792.04470+""","=""40""","=""6.1e+05""",D+,"=""92294.4012""","=""104916.4792""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[5/2]""","=""3""","=""4s2.4p5.(2P*<3/2>).5d""","=""2[7/2]*""","=""3""",7,7,,"=""T3774n,u41""","=""L6099""",
Kr,1,"=""792.85988""","=""792.85988+""","=""40""","=""7.7e+06""",D+,"=""92307.3786""","=""104916.4792""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[5/2]""","=""2""","=""4s2.4p5.(2P*<3/2>).5d""","=""2[7/2]*""","=""3""",5,7,,"=""T3774n,u41""","=""L11281""",
Kr,1,"=""794.699""","=""794.6980+""","=""20""","=""4.2e+05""",D+,"=""92307.3786""","=""104887.315""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[5/2]""","=""2""","=""4s2.4p5.(2P*<1/2>).4d""","=""2[3/2]*""","=""1""",5,3,,"=""T3774n,u41""","=""L6099""",
Kr,1,"=""798.2406""","=""798.24021+""","=""10""","=""1.42e+06""",C,"=""93123.3409""","=""105647.4536""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[3/2]""","=""2""","=""4s2.4p5.(2P*<3/2>).7s""","=""2[3/2]*""","=""2""",5,5,,"=""T3600n,T3408,T7199""","=""L7292""",
Kr,1,"=""805.95048""","=""805.95050+""","=""100""","=""1.583e+07""",B+,"=""85191.6166""","=""97595.9153""","=""4s2.4p5.(2P*<1/2>).5s""","=""2[1/2]*""","=""0""","=""4s2.4p5.(2P*<1/2>).5p""","=""2[3/2]""","=""1""",1,3,,"=""T7199""","=""L11281""",
Kr,1,"=""810.402""","=""810.402+""","=""500""","=""6.52e+06""",B+,"=""92294.4012""","=""104630.57""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[5/2]""","=""3""","=""4s2.4p5.(2P*<3/2>).5d""","=""2[7/2]*""","=""4""",7,9,,"=""T6031,u41""","=""L6099""",
Kr,1,"=""810.43660""","=""810.43655+""","=""4000""","=""8.96e+06""",B+,"=""79971.7417""","=""92307.3786""","=""4s2.4p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""2""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[5/2]""","=""2""",5,5,,"=""T7199""","=""L6099""",
