element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Kr,1,"=""601.21555""","=""601.21557+""","=""50*""","=""2.39e+06""",D+,"=""91168.5150""","=""107796.8790""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[1/2]""","=""1""","=""4s2.4p5.(2P*<3/2>).6d""","=""2[3/2]*""","=""2""",3,5,,"=""T3774n,T3599,u41""","=""L11281""",
Kr,1,"=""605.612628""","=""605.61265+""","=""60""","=""6.5e+06""",D+,"=""91168.5150""","=""107676.1489""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[1/2]""","=""1""","=""4s2.4p5.(2P*<3/2>).6d""","=""2[1/2]*""","=""1""",3,3,,"=""T3774n,T3384,T7227,u41""","=""L11281""",
Kr,1,"=""607.525510""","=""607.52552+""","=""20""","=""1.73e+06""",D+,"=""93123.3409""","=""109578.9990""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[3/2]""","=""2""","=""4s2.4p5.(2P*<3/2>).7d""","=""2[5/2]*""","=""3""",5,7,,"=""T3774n,T3599,u41""","=""L11281""",
Kr,1,"=""608.286117""","=""608.28613+""","=""40""","=""7.1e+06""",D+,"=""91168.5150""","=""107603.5969""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[1/2]""","=""1""","=""4s2.4p5.(2P*<3/2>).6d""","=""2[1/2]*""","=""0""",3,1,,"=""T3774n,T3599,u41""","=""L11281""",
Kr,1,"=""622.273337""","=""622.27334+""","=""20""","=""1.59e+06""",D+,"=""92307.3786""","=""108373.0423""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[5/2]""","=""2""","=""4s2.4p5.(2P*<3/2>).8s""","=""2[3/2]*""","=""1""",5,3,,"=""T3600n,u41""","=""L11281""",
Kr,1,"=""623.635161""","=""623.63519+""","=""30""","=""1.49e+06""",C,"=""92294.4012""","=""108324.9822""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[5/2]""","=""3""","=""4s2.4p5.(2P*<3/2>).8s""","=""2[3/2]*""","=""2""",7,5,,"=""T3600n,u41""","=""L11281""",
Kr,1,"=""624.140471""","=""624.14046+""","=""10""","=""2.99e+05""",D+,"=""92307.3786""","=""108324.9822""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[5/2]""","=""2""","=""4s2.4p5.(2P*<3/2>).8s""","=""2[3/2]*""","=""2""",5,5,,"=""T3600n,u41""","=""L11281""",
Kr,1,"=""634.668195""","=""634.66821+""","=""20""","=""6.2e+05""",D+,"=""92294.4012""","=""108046.3102""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[5/2]""","=""3""","=""4s2.4p5.(2P*<3/2>).6d""","=""2[5/2]*""","=""3""",7,7,,"=""T3774n,T3599,u41""","=""L11281""",
Kr,1,"=""635.191539""","=""635.19152+""","=""8""","=""2.02e+05""",D+,"=""92307.3786""","=""108046.3102""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[5/2]""","=""2""","=""4s2.4p5.(2P*<3/2>).6d""","=""2[5/2]*""","=""3""",5,7,,"=""T3774n,T3599,u41""","=""L11281""",
Kr,1,"=""636.83212""","=""636.83212+""","=""4""","=""8.7e+04""",D+,"=""92294.4012""","=""107992.7867""","=""4s2.4p5.(2P*<3/2>).5p""","=""2[5/2]""","=""3""","=""4s2.4p5.(2P*<3/2>).6d""","=""2[5/2]*""","=""2""",7,5,,"=""T3774n,T3599,u41""","=""L11281""",
