element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Cr,1,"=""454.07044""","=""0.00005""","=""454.070408""","=""0.000021""","=""460""","=""3.14e+07""",B,"=""25038.4981""","=""47055.3416""","=""3d5.(4G).4s""","=""a 3G""","=""5""","=""3d5.(4G).4p""","=""y 3G*""","=""5""",11,11,,"=""u10""","=""L14866""",
Cr,1,"=""454.10606""","=""0.00005""","=""454.10609""","=""0.00004""","=""120""","=""3.4e+06""",B,"=""20523.6290""","=""42538.7424""","=""3d5.(4G).4s""","=""a 5G""","=""4""","=""3d5.(4G).4p""","=""z 5G*""","=""3""",9,7,,"=""u10,T4913""","=""L14866""",
Cr,1,"=""454.15066""","=""0.00006""","=""454.150675""","=""0.000021""","=""57""","=""3.8e+06""",D,"=""24833.7957""","=""46846.7480""","=""3d5.(4G).4s""","=""a 3G""","=""3""","=""3d4.(3H).4s.4p.(3P*)""","=""z 3G*""","=""3""",7,7,,"=""T3963""","=""L14866""",
Cr,1,"=""454.37349""","=""0.00007""","=""454.37349""","=""0.00003""","=""18""","=""1.0e+06""",D,"=""24056.0404""","=""46058.1980""","=""3d4.4s2""","=""a 3H""","=""5""","=""3d5.(4G).4p""","=""y 3F*""","=""4""",11,9,,"=""T3963""","=""L14866""",
Cr,1,"=""454.46119""","=""0.00005""","=""454.46119""","=""0.00003""","=""440""","=""1.69e+07""",B,"=""20517.4222""","=""42515.3342""","=""3d5.(4G).4s""","=""a 5G""","=""2""","=""3d5.(4G).4p""","=""z 5G*""","=""2""",5,5,,"=""T4913""","=""L14866""",
Cr,1,"=""454.53310""","=""0.00005""","=""454.53311""","=""0.00003""","=""90""","=""3.4e+06""",B,"=""20520.9029""","=""42515.3342""","=""3d5.(4G).4s""","=""a 5G""","=""3""","=""3d5.(4G).4p""","=""z 5G*""","=""2""",7,5,,"=""T4913""","=""L14866""",
Cr,1,"=""454.59527""","=""0.00005""","=""454.595302""","=""0.000019""","=""930""","=""2.7e+06""",B,"=""7593.1484""","=""29584.5708""","=""3d5.(6S).4s""","=""a 5S""","=""2""","=""3d4.(5D).4s.4p.(3P*)""","=""y 5P*""","=""2""",5,5,,"=""T4624,T4913""","=""L14866""",
Cr,1,"=""454.8652""","=""0.002""","=""454.86508""","=""0.00006""","=""3""","=""2.8e+06""",E,"=""33762.6622""","=""55741.042""","=""3d5.(2I).4s""","=""b 1I""","=""6""","=""3d5.(2I).4p""","=""x 3I*""","=""6""",13,13,,"=""T4913""","=""L808""",
Cr,1,"=""455.395""","=""0.003""","=""455.3947""","=""0.0006""","=""18""","=""1.2e+07""",D,"=""33039.969""","=""54992.79""","=""3d5.(2F1).4s""","=""b 3F""","=""2""","=""3d5.(2D1).4p""","=""v 3F*""","=""2""",5,5,,"=""T3963""","=""L808""",
Cr,1,"=""455.48204""","=""0.00006""","=""455.481999""","=""0.000023""","=""33""","=""2.0e+06""",D,"=""25106.2953""","=""47054.9072""","=""3d4.4s2""","=""a 3F""","=""3""","=""3d5.(4G).4p""","=""y 3G*""","=""4""",7,9,,"=""T4288""","=""L14866""",
Cr,2,"=""455.498902""","=""0.000015""","=""455.498911""","=""0.000019""","=""86""","=""1.7e+06""",D,"=""32836.6527""","=""54784.4497""","=""3d5""","=""b 4F""","=""7/2""","=""3d4.(5D).4p""","=""z 4D*""","=""7/2""",8,8,,"=""T4502""","=""L18847""",
Cr,1,"=""455.52886""","=""0.00007""","=""455.52878""","=""0.00003""","=""16""","=""2.9e+06""",D,"=""27703.7743""","=""49650.1320""","=""3d4.4s2""","=""b 3G""","=""4""","=""3d5.(4D).4p""","=""x 3F*""","=""3""",9,7,,"=""T4288""","=""L14866""",
Cr,1,"=""455.61676""","=""0.00005""","=""455.616745""","=""0.000025""","=""99""","=""7.7e+06""",D,"=""25106.2953""","=""47048.4161""","=""3d4.4s2""","=""a 3F""","=""3""","=""3d5.(4G).4p""","=""y 3G*""","=""3""",7,7,,"=""T3963""","=""L14866""",
Cr,2,"=""455.864422""","=""0.000015""","=""455.864413""","=""0.000021""","=""590""","=""8.8e+06""",D,"=""32854.2497""","=""54784.4497""","=""3d5""","=""b 4F""","=""9/2""","=""3d4.(5D).4p""","=""z 4D*""","=""7/2""",10,8,,"=""T3963n""","=""L18847""",
Cr,1,"=""456.32440""","=""0.00007""","=""456.32442""","=""0.00004""","=""20""","=""1.0e+07""",D,"=""31055.2777""","=""52963.371""","=""3d5.(2I).4s""","=""a 3I""","=""5""","=""3d4.(1G1).4s.4p.(3P*)""","=""x 3H*""","=""4""",11,9,,"=""T4288""","=""L14866""",
Cr,1,"=""456.34094""","=""0.00015""","=""456.34088""","=""0.00004""","=""7""","=""5.5e+05""",D,"=""24093.1182""","=""46000.4213""","=""3d4.4s2""","=""a 3P""","=""2""","=""3d5.(4G).4p""","=""y 3F*""","=""3""",5,7,,"=""T3963""","=""L14866""",
Cr,1,"=""456.36484""","=""0.00006""","=""456.36482""","=""0.00006""","=""30""","=""2.3e+06""",D,"=""24940.594""","=""46846.7480""","=""3d4.4s2""","=""a 3F""","=""2""","=""3d4.(3H).4s.4p.(3P*)""","=""z 3G*""","=""3""",5,7,,"=""T3963""","=""L14866""",
Cr,1,"=""456.41551""","=""0.00006""","=""456.41555""","=""0.00006""","=""41""","=""5.1e+07""",D,"=""38537.591""","=""60441.310""","=""3d5.(2H).4s""","=""a 1H""","=""5""","=""3d5.(2H).4p""","=""x 1I*""","=""6""",11,13,,"=""T4288""","=""L14866""",
Cr,1,"=""456.55041""","=""0.00005""","=""456.550391""","=""0.000013""","=""250""","=""4.1e+05""",B,"=""7927.4410""","=""29824.6909""","=""3d4.4s2""","=""a 5D""","=""2""","=""3d4.(5D).4s.4p.(3P*)""","=""y 5P*""","=""3""",5,7,,"=""T4624,T4913""","=""L14866""",
Cr,2,"=""456.57348""","=""0.00003""","=""456.57350""","=""0.00003""","=""28""","=""6.2e+05""",D,"=""32603.3491""","=""54499.4907""","=""3d5""","=""a 2F""","=""5/2""","=""3d4.(5D).4p""","=""z 4D*""","=""3/2""",6,4,,"=""T3963n""","=""L18847""",
Cr,1,"=""456.96146""","=""0.00005""","=""456.96143""","=""0.00003""","=""130""","=""8.2e+06""",D,"=""25177.3539""","=""47054.9072""","=""3d4.4s2""","=""a 3F""","=""4""","=""3d5.(4G).4p""","=""y 3G*""","=""4""",9,9,,"=""T3963""","=""L14866""",
