element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Re,3,"=""181.89418""","=""0.0006""","=""181.8940""","=""0.0004""","=""43""","=""2.75e+07""",,"=""51007.47""","=""105984.55""","=""5d4.6s""","=""51007""","=""5/2""","=""""","=""105984*""","=""7/2""",6,8,,"=""T9867""","=""L20378""",
Re,3,"=""182.21420""","=""0.0006""","=""182.2143""","=""0.0003""","=""524""","=""2.63e+07""",,"=""27421.03""","=""82301.45""","=""5d5""","=""27421""","=""9/2""","=""5d4.6p""","=""82301*""","=""7/2""",10,8,,"=""T9867""","=""L20378""",
Re,3,"=""182.21943""","=""0.0006""","=""182.2189""","=""0.0004""","=""97bl(Re IV)""","=""8.00e+06""",,"=""46718.20""","=""101597.24""","=""5d4.(3D).6s""","=""4D""","=""7/2""","=""""","=""101597*""","=""9/2""",8,10,,"=""T9867""","=""L20378""",
Re,3,"=""182.35883""","=""0.0012""","=""182.3601""","=""0.0005""","=""40""","=""3.70e+07""",,"=""55975.68""","=""110812.23""","=""""","=""55975""","=""9/2""","=""""","=""110812*""","=""9/2""",10,10,,"=""T9867""","=""L20378""",
Re,3,"=""182.69082""","=""0.0012""","=""182.6921""","=""0.0003""","=""830bl""","=""7.50e+07""",,"=""45256.54""","=""99993.43""","=""5d4.(3G).6s""","=""4G""","=""11/2""","=""""","=""99993*""","=""9/2""",12,10,,"=""T9867""","=""L20378""",
Re,3,"=""182.73034""","=""0.0006""","=""182.7296""","=""0.0004""","=""87""","=""1.50e+07""",,"=""13614.31""","=""68339.99""","=""5d5""","=""13614""","=""5/2""","=""5d4.(5D).6p""","=""6F*""","=""3/2""",6,4,,"=""T9867""","=""L20378""",
Re,3,"=""182.73626""","=""0.0006""","=""182.7357""","=""0.0003""","=""58""","=""3.50e+07""",,"=""39595.72""","=""94319.57""","=""5d4.(5D).6s""","=""4D""","=""5/2""","=""5d4.6p""","=""94319*""","=""7/2""",6,8,,"=""T9867""","=""L20378""",
Re,3,"=""182.80640""","=""0.0006""","=""182.8071""","=""0.0003""","=""830""","=""6.75e+07""",,"=""17139.88""","=""71842.35""","=""5d5""","=""17139""","=""5/2""","=""5d4.6p""","=""71842*""","=""3/2""",6,4,,"=""T9867""","=""L20378""",
Re,3,"=""182.91994""","=""0.0006""","=""182.9195""","=""0.0005""","=""45""","=""3.33e+07""",,"=""43191.67""","=""97860.52""","=""""","=""43191""","=""5/2""","=""5d4.6p""","=""97860*""","=""5/2""",6,6,,"=""T9867""","=""L20378""",
Re,3,"=""183.08892""","=""0.0006""","=""183.0898""","=""0.0003""","=""1354""","=""1.67e+08""",,"=""45256.54""","=""99874.56""","=""5d4.(3G).6s""","=""4G""","=""11/2""","=""5d4.6p""","=""99874*""","=""11/2""",12,12,,"=""T9867""","=""L20378""",
Re,3,"=""183.19832""","=""0.0006""","=""183.1990""","=""0.0003""","=""224""","=""2.90e+07""",,"=""47011.78""","=""101597.24""","=""5d4.6s""","=""47011""","=""9/2""","=""""","=""101597*""","=""9/2""",10,10,,"=""T9867""","=""L20378""",
Re,3,"=""183.25169""","=""0.0006""","=""183.2519""","=""0.0004""","=""502""","=""1.18e+08""",,"=""36165.95""","=""90735.64""","=""5d4.6s""","=""36165""","=""1/2""","=""""","=""90735*""","=""3/2""",2,4,,"=""T9867""","=""L20378""",
Re,3,"=""183.29647""","=""0.0006""","=""183.2962""","=""0.0004""","=""36""","=""6.58e+07""",,"=""53402.71""","=""107959.22""","=""5d4.(3H).6s""","=""2H""","=""11/2""","=""5d4.6p""","=""107959*""","=""11/2""",12,12,,"=""T9867""","=""L20378""",
Re,3,"=""183.68363""","=""0.0006""","=""183.6844""","=""0.0003""","=""408""","=""7.25e+07""",,"=""47011.78""","=""101452.99""","=""5d4.6s""","=""47011""","=""9/2""","=""5d4.6p""","=""101452*""","=""11/2""",10,12,,"=""T9867""","=""L20378""",
Re,3,"=""183.81566""","=""0.0006""","=""183.8153""","=""0.0003""","=""247""","=""6.30e+07""",,"=""36927.52""","=""91329.97""","=""5d5""","=""2H""","=""11/2""","=""5d4.6p""","=""91329*""","=""9/2""",12,10,,"=""T9867""","=""L20378""",
Re,3,"=""183.87228""","=""0.0006""","=""183.8729""","=""0.0003""","=""918""","=""1.49e+08""",,"=""45608.03""","=""99993.43""","=""""","=""45608""","=""7/2""","=""""","=""99993*""","=""9/2""",8,10,,"=""T9867""","=""L20378""",
Re,3,"=""184.02597""","=""0.0006""","=""184.0263""","=""0.0003""","=""143""","=""1.83e+07""",,"=""16890.46""","=""71230.53""","=""5d5""","=""4G""","=""7/2""","=""5d4.(5D).6p""","=""6F*""","=""5/2""",8,6,,"=""T9867""","=""L20378""",
Re,3,"=""184.09719""","=""0.0006""","=""184.0977""","=""0.0003""","=""228""","=""4.75e+07""",,"=""40000.60""","=""94319.57""","=""""","=""40000""","=""5/2""","=""5d4.6p""","=""94319*""","=""7/2""",6,8,,"=""T9867""","=""L20378""",
Re,3,"=""184.10960""","=""0.0006""","=""184.1092""","=""0.0004""","=""662""","=""8.50e+07""",,"=""51668.96""","=""105984.55""","=""5d4.6s""","=""51668""","=""7/2""","=""""","=""105984*""","=""7/2""",8,8,,"=""T9867""","=""L20378""",
Re,3,"=""184.20139""","=""0.0006""","=""184.2009""","=""0.0003""","=""945""","=""4.98e+08""",,"=""23471.28""","=""77759.84""","=""5d4.(5D).6s""","=""6D""","=""9/2""","=""5d4.(5D).6p""","=""6P*""","=""7/2""",10,8,,"=""T9867""","=""L20378""",
Re,3,"=""184.50708""","=""0.0006""","=""184.5076""","=""0.0003""","=""34""","=""1.00e+07""",,"=""30255.47""","=""84453.78""","=""5d5""","=""30255""","=""7/2""","=""5d4.6p""","=""84453*""","=""5/2""",8,6,,"=""T9867""","=""L20378""",
Re,3,"=""184.58974""","=""0.0006""","=""184.5898""","=""0.0003""","=""54""","=""2.63e+07""",,"=""40654.99""","=""94829.16""","=""5d5""","=""40654""","=""5/2""","=""5d4.6p""","=""94829*""","=""7/2""",6,8,,"=""T9867""","=""L20378""",
Re,3,"=""184.64061""","=""0.0006""","=""184.6406""","=""0.0004""","=""75""","=""3.90e+07""",,"=""55975.68""","=""110134.96""","=""""","=""55975""","=""9/2""","=""5d4.6p""","=""110134*""","=""9/2""",10,10,,"=""T9867""","=""L20378""",
Re,3,"=""184.72910""","=""0.0006""","=""184.7290""","=""0.0003""","=""187""","=""3.80e+07""",,"=""34641.11""","=""88774.45""","=""5d4.(3H).6s""","=""4H""","=""7/2""","=""5d4.6p""","=""88774*""","=""9/2""",8,10,,"=""T9867""","=""L20378""",
Re,3,"=""184.80853""","=""0.0006""","=""184.8082""","=""0.0004""","=""73""","=""4.17e+07""",,"=""43750.37""","=""97860.52""","=""""","=""43750""","=""7/2""","=""5d4.6p""","=""97860*""","=""5/2""",8,6,,"=""T9867""","=""L20378""",
Re,3,"=""""","=""""","=""184.8633""","=""0.0003""","=""m(Re III)""","=""2.70e+07""",,"=""47881.45""","=""101975.48""","=""5d4.(1I).6s""","=""2I""","=""11/2""","=""""","=""101975*""","=""9/2""",12,10,,"=""T9867""","=""L20378""",
Re,3,"=""184.86413""","=""0.0006""","=""184.8647""","=""0.0005""","=""786""","=""2.99e+08""",,"=""61243.18""","=""115336.80""","=""5d4.(3F1).6s""","=""4F""","=""9/2""","=""5d4.6p""","=""115336*""","=""9/2""",10,10,,"=""T9867""","=""L20378""",
Re,3,"=""184.96522""","=""0.0006""","=""184.9657""","=""0.0003""","=""65""","=""2.88e+07""",,"=""47011.78""","=""101075.86""","=""5d4.6s""","=""47011""","=""9/2""","=""""","=""101075*""","=""7/2""",10,8,,"=""T9867""","=""L20378""",
Re,3,"=""184.98173""","=""0.0006""","=""184.9812""","=""0.0004""","=""416""","=""7.00e+07""",,"=""39790.02""","=""93849.58""","=""5d4.6s""","=""39790""","=""3/2""","=""5d4.6p""","=""93849*""","=""5/2""",4,6,,"=""T9867""","=""L20378""",
Re,3,"=""185.08714""","=""0.0006""","=""185.0871""","=""0.0005""","=""534""","=""1.03e+08""",,"=""57206.89""","=""111235.52""","=""5d4.6s""","=""57206""","=""9/2""","=""5d3.6s.6p""","=""111235*""","=""9/2""",10,10,,"=""T9867""","=""L20378""",
Re,3,"=""185.09522""","=""0.0006""","=""185.0961""","=""0.0003""","=""1087bl(Re IV)""","=""1.06e+08""",,"=""40934.98""","=""94960.97""","=""5d4.6s""","=""40934""","=""9/2""","=""5d4.6p""","=""94960*""","=""11/2""",10,12,,"=""T9867""","=""L20378""",
Re,3,"=""185.24114""","=""0.0006""","=""185.2414""","=""0.0003""","=""584""","=""2.88e+07""",,"=""27421.03""","=""81404.63""","=""5d5""","=""27421""","=""9/2""","=""5d4.6p""","=""81404*""","=""7/2""",10,8,,"=""T9867""","=""L20378""",
Re,3,"=""185.24394""","=""0.0006""","=""185.2435""","=""0.0005""","=""300""","=""1.88e+08""",,"=""53402.71""","=""107385.70""","=""5d4.(3H).6s""","=""2H""","=""11/2""","=""5d4.(1I).6p""","=""2I*""","=""13/2""",12,14,,"=""T9867""","=""L20378""",
Re,3,"=""185.32101""","=""0.0006""","=""185.3219""","=""0.0003""","=""539""","=""7.67e+07""",,"=""21568.90""","=""75529.07""","=""5d5""","=""21568""","=""5/2""","=""5d4.6p""","=""75529*""","=""5/2""",6,6,,"=""T9867""","=""L20378""",
Re,3,"=""185.37871""","=""0.0006""","=""185.3790""","=""0.0004""","=""521""","=""1.33e+08""",,"=""14396.44""","=""68339.99""","=""5d4.(5D).6s""","=""6D""","=""1/2""","=""5d4.(5D).6p""","=""6F*""","=""3/2""",2,4,,"=""T9867""","=""L20378""",
Re,3,"=""""","=""""","=""185.4551""","=""0.0004""","=""m""","=""1.94e+08""",,"=""19718.84""","=""73640.25""","=""5d4.(5D).6s""","=""6D""","=""5/2""","=""5d4.(5D).6p""","=""6F*""","=""7/2""",6,8,,"=""T9867""","=""L20378""",
Re,3,"=""185.54812""","=""0.0006""","=""185.5488""","=""0.0003""","=""174""","=""2.38e+07""",,"=""40934.98""","=""94829.16""","=""5d4.6s""","=""40934""","=""9/2""","=""5d4.6p""","=""94829*""","=""7/2""",10,8,,"=""T9867""","=""L20378""",
Re,3,"=""185.71578""","=""0.0006""","=""185.7159""","=""0.0003""","=""270""","=""3.00e+07""",,"=""32832.90""","=""86678.58""","=""5d5""","=""32832""","=""7/2""","=""5d4.6p""","=""86678*""","=""9/2""",8,10,,"=""T9867""","=""L20378""",
Re,3,"=""185.74894""","=""0.0006""","=""185.7490""","=""0.0004""","=""252""","=""1.68e+08""",,"=""51007.47""","=""104843.57""","=""5d4.6s""","=""51007""","=""5/2""","=""""","=""104843*""","=""7/2""",6,8,,"=""T9867""","=""L20378""",
Re,3,"=""185.81992""","=""0.0006""","=""185.8210""","=""0.0003""","=""141""","=""3.38e+07""",,"=""38752.31""","=""92567.53""","=""5d4.6s""","=""38752""","=""7/2""","=""5d4.6p""","=""92567*""","=""7/2""",8,8,,"=""T9867""","=""L20378""",
Re,3,"=""185.89378""","=""0.0006""","=""185.8942""","=""0.0003""","=""569""","=""8.17e+07""",,"=""34349.37""","=""88143.40""","=""""","=""34349""","=""7/2""","=""5d4.6p""","=""88143*""","=""5/2""",8,6,,"=""T9867""","=""L20378""",
