element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Pr,2,"=""420.832""","=""420.831+""","=""500""","=""1.0e+07""",B,"=""1743.72""","=""25499.52""","=""4f3.(4I*<11/2>).6s<1/2>""","=""(11/2,1/2)*""","=""5""","=""4f3.(4I*).6p?""","=""""","=""5""",11,11,,"=""T8137""","=""L3475""",
Pr,2,"=""421.186""","=""421.186+""","=""320""","=""5.7e+06""",B+,"=""4437.15""","=""28172.96""","=""4f3.(4I*<15/2>).6s<1/2>""","=""(15/2,1/2)*""","=""8""","=""""","=""""","=""7""",17,15,,"=""T8137""","=""L3475""",
Pr,2,"=""422.293""","=""422.293+""","=""3800""","=""4.7e+07""",B+,"=""441.95""","=""24115.50""","=""4f3.(4I*<9/2>).6s<1/2>""","=""(9/2,1/2)*""","=""5""","=""4f3.(4I*).6p""","=""5K""","=""6""",11,13,,"=""T8137n""","=""L3475""",
Pr,2,"=""422.535""","=""422.5317+""","=""3800""","=""8.7e+07""",B+,"=""0.00""","=""23660.20""","=""4f3.(4I*<9/2>).6s<1/2>""","=""(9/2,1/2)*""","=""4""","=""4f3.(4I*).6p""","=""5I""","=""4""",9,9,,"=""T8137""","=""L3475""",
Pr,2,"=""423.615""","=""423.615+""","=""320c""","=""3.62e+06""",B+,"=""1649.01""","=""25248.69""","=""4f3.(4I*<11/2>).6s<1/2>""","=""(11/2,1/2)*""","=""6""","=""""","=""""","=""7""",13,15,,"=""T8137""","=""L3475""",
Pr,2,"=""424.101""","=""424.101+""","=""960""","=""2.72e+07""",B,"=""4437.15""","=""28009.80""","=""4f3.(4I*<15/2>).6s<1/2>""","=""(15/2,1/2)*""","=""8""","=""4f3.(4I*).6p?""","=""""","=""7""",17,15,,"=""T8137""","=""L3475""",
Pr,2,"=""424.351""","=""424.351+""","=""340""","=""8.0e+06""",B,"=""3403.21""","=""26961.96""","=""4f3.(4I*<13/2>).6s<1/2>""","=""(13/2,1/2)*""","=""6""","=""4f3.(4I*).6p?""","=""""","=""6""",13,13,,"=""T8137""","=""L3475""",
Pr,2,"=""424.763""","=""424.764+""","=""840c""","=""7.9e+06""",B,"=""441.95""","=""23977.83""","=""4f3.(4I*<9/2>).6s<1/2>""","=""(9/2,1/2)*""","=""5""","=""""","=""""","=""6""",11,13,,"=""T8137""","=""L3475""",
Pr,2,"=""425.440""","=""425.440+""","=""500""","=""1.01e+07""",C+,"=""5079.35""","=""28577.79""","=""4f3.(4I*<15/2>).6s<1/2>""","=""(15/2,1/2)*""","=""7""","=""4f3.(4I*).6p?""","=""3I?""","=""7""",15,15,,"=""T8137""","=""L3475""",
Pr,2,"=""426.378""","=""426.378+""","=""270c""","=""5.0e+06""",B,"=""2998.36""","=""26445.11""","=""4f3.(4I*<13/2>).6s<1/2>""","=""(13/2,1/2)*""","=""7""","=""""","=""""","=""7""",15,15,,"=""T8137""","=""L3475""",
Pr,2,"=""427.227""","=""427.227+""","=""790c*""","=""1.88e+07""",C+,"=""2998.36""","=""26398.52""","=""4f3.(4I*<13/2>).6s<1/2>""","=""(13/2,1/2)*""","=""7""","=""4f3.(4I*).6p?""","=""""","=""6""",15,13,,"=""T8137""","=""L3475""",
Pr,2,"=""428.242""","=""428.245+""","=""790c""","=""1.64e+07""",B+,"=""4437.15""","=""27781.69""","=""4f3.(4I*<15/2>).6s<1/2>""","=""(15/2,1/2)*""","=""8""","=""""","=""""","=""8""",17,17,,"=""T8137""","=""L3475""",
Pr,2,"=""430.576""","=""430.575+""","=""1500""","=""2.99e+07""",B,"=""441.95""","=""23660.20""","=""4f3.(4I*<9/2>).6s<1/2>""","=""(9/2,1/2)*""","=""5""","=""4f3.(4I*).6p""","=""5I""","=""4""",11,9,,"=""T8137""","=""L3475""",
Pr,2,"=""432.355""","=""432.356+""","=""210""","=""5.1e+06""",C+,"=""5079.35""","=""28201.95""","=""4f3.(4I*<15/2>).6s<1/2>""","=""(15/2,1/2)*""","=""7""","=""4f3.(4I*).6p""","=""5I""","=""8""",15,17,,"=""T8137""","=""L3475""",
Pr,2,"=""432.941""","=""432.942+""","=""270""","=""3.77e+06""",B+,"=""1743.72""","=""24835.03""","=""4f3.(4I*<11/2>).6s<1/2>""","=""(11/2,1/2)*""","=""5""","=""""","=""""","=""6""",11,13,,"=""T8137""","=""L3475""",
Pr,2,"=""433.397""","=""433.397+""","=""1300""","=""2.3e+07""",D+,"=""1649.01""","=""24716.04""","=""4f3.(4I*<11/2>).6s<1/2>""","=""(11/2,1/2)*""","=""6""","=""4f3.(4I*).6p""","=""5I""","=""5""",13,11,,"=""T8137""","=""L3475""",
Pr,2,"=""433.870""","=""433.870+""","=""360""","=""6.9e+06""",B,"=""3403.21""","=""26445.11""","=""4f3.(4I*<13/2>).6s<1/2>""","=""(13/2,1/2)*""","=""6""","=""""","=""""","=""7""",13,15,,"=""T8137""","=""L3475""",
Pr,2,"=""434.749""","=""434.749+""","=""470c""","=""1.28e+07""",C+,"=""3403.21""","=""26398.52""","=""4f3.(4I*<13/2>).6s<1/2>""","=""(13/2,1/2)*""","=""6""","=""4f3.(4I*).6p?""","=""""","=""6""",13,13,,"=""T8137""","=""L3475""",
Pr,2,"=""435.979""","=""435.979+""","=""410c""","=""1.05e+07""",C+,"=""5079.35""","=""28009.80""","=""4f3.(4I*<15/2>).6s<1/2>""","=""(15/2,1/2)*""","=""7""","=""4f3.(4I*).6p?""","=""""","=""7""",15,15,,"=""T8137""","=""L3475""",
Pr,2,"=""436.833""","=""436.8334+""","=""1200""","=""1.43e+07""",B+,"=""0.00""","=""22885.59""","=""4f3.(4I*<9/2>).6s<1/2>""","=""(9/2,1/2)*""","=""4""","=""""","=""""","=""5""",9,11,,"=""T8137""","=""L3475""",
Pr,2,"=""440.360""","=""440.360+""","=""170""","=""7.2e+06""",B,"=""5079.35""","=""27781.69""","=""4f3.(4I*<15/2>).6s<1/2>""","=""(15/2,1/2)*""","=""7""","=""""","=""""","=""8""",15,17,,"=""T8137""","=""L3475""",
Pr,2,"=""440.583""","=""440.583+""","=""430""","=""1.70e+07""",B,"=""4437.15""","=""27128.00""","=""4f3.(4I*<15/2>).6s<1/2>""","=""(15/2,1/2)*""","=""8""","=""4f3.(4I*).6p""","=""5K""","=""8""",17,17,,"=""T8137n""","=""L3475""",
Pr,2,"=""440.882""","=""440.8819+""","=""1700""","=""3.58e+07""",B+,"=""0.00""","=""22675.44""","=""4f3.(4I*<9/2>).6s<1/2>""","=""(9/2,1/2)*""","=""4""","=""4f3.(4I*).6p""","=""5K""","=""5""",9,11,,"=""T8137""","=""L3475""",
Pr,2,"=""441.377""","=""441.377+""","=""410""","=""7.2e+06""",B+,"=""1743.72""","=""24393.73""","=""4f3.(4I*<11/2>).6s<1/2>""","=""(11/2,1/2)*""","=""5""","=""""","=""""","=""6""",11,13,,"=""T8137""","=""L3475""",
Pr,2,"=""442.122""","=""442.122+""","=""160c""","=""4.5e+06""",B,"=""2998.36""","=""25610.20""","=""4f3.(4I*<13/2>).6s<1/2>""","=""(13/2,1/2)*""","=""7""","=""""","=""""","=""6""",15,13,,"=""T8137""","=""L3475""",
Pr,2,"=""442.913""","=""442.9126+""","=""1200c*""","=""9.9e+06""",B+,"=""0.00""","=""22571.48""","=""4f3.(4I*<9/2>).6s<1/2>""","=""(9/2,1/2)*""","=""4""","=""""","=""""","=""5""",9,11,,"=""T8137""","=""L3475""",
Pr,2,"=""442.925""","=""442.925+""","=""1200c*""","=""1.88e+07""",B,"=""2998.36""","=""25569.19""","=""4f3.(4I*<13/2>).6s<1/2>""","=""(13/2,1/2)*""","=""7""","=""4f3.(4I*).6p""","=""5K""","=""7""",15,15,,"=""T8137n""","=""L3475""",
Pr,2,"=""444.983""","=""444.982+""","=""730""","=""1.35e+07""",C+,"=""1649.01""","=""24115.50""","=""4f3.(4I*<11/2>).6s<1/2>""","=""(11/2,1/2)*""","=""6""","=""4f3.(4I*).6p""","=""5K""","=""6""",13,13,,"=""T8137n""","=""L3475""",
Pr,2,"=""445.436""","=""445.435+""","=""65""","=""1.94e+06""",B,"=""441.95""","=""22885.59""","=""4f3.(4I*<9/2>).6s<1/2>""","=""(9/2,1/2)*""","=""5""","=""""","=""""","=""5""",11,11,,"=""T8137""","=""L3475""",
Pr,2,"=""446.866""","=""446.866+""","=""960""","=""2.3e+07""",C+,"=""1743.72""","=""24115.50""","=""4f3.(4I*<11/2>).6s<1/2>""","=""(11/2,1/2)*""","=""5""","=""4f3.(4I*).6p""","=""5K""","=""6""",11,13,,"=""T8137n""","=""L3475""",
Pr,2,"=""447.726""","=""447.726+""","=""140c""","=""3.8e+06""",B,"=""1649.01""","=""23977.83""","=""4f3.(4I*<11/2>).6s<1/2>""","=""(11/2,1/2)*""","=""6""","=""""","=""""","=""6""",13,13,,"=""T8137""","=""L3475""",
Pr,2,"=""449.646""","=""449.646+""","=""1100""","=""1.30e+07""",B,"=""441.95""","=""22675.44""","=""4f3.(4I*<9/2>).6s<1/2>""","=""(9/2,1/2)*""","=""5""","=""4f3.(4I*).6p""","=""5K""","=""5""",11,11,,"=""T8137""","=""L3475""",
Pr,2,"=""451.015""","=""451.015+""","=""790""","=""1.99e+07""",B,"=""3403.21""","=""25569.19""","=""4f3.(4I*<13/2>).6s<1/2>""","=""(13/2,1/2)*""","=""6""","=""4f3.(4I*).6p""","=""5K""","=""7""",13,15,,"=""T8137n""","=""L3475""",
Pr,2,"=""451.758""","=""451.758+""","=""200c""","=""2.75e+06""",B+,"=""441.95""","=""22571.48""","=""4f3.(4I*<9/2>).6s<1/2>""","=""(9/2,1/2)*""","=""5""","=""""","=""""","=""5""",11,11,,"=""T8137""","=""L3475""",
Pr,2,"=""453.415""","=""453.415+""","=""340c*""","=""1.00e+07""",B,"=""5079.35""","=""27128.00""","=""4f3.(4I*<15/2>).6s<1/2>""","=""(15/2,1/2)*""","=""7""","=""4f3.(4I*).6p""","=""5K""","=""8""",15,17,,"=""T8137n""","=""L3475""",
Pr,2,"=""453.592""","=""453.5923+""","=""340""","=""5.7e+06""",B+,"=""0.00""","=""22040.05""","=""4f3.(4I*<9/2>).6s<1/2>""","=""(9/2,1/2)*""","=""4""","=""""","=""""","=""5""",9,11,,"=""T8137""","=""L3475""",
Pr,2,"=""462.874""","=""462.874+""","=""270c*""","=""4.0e+06""",B,"=""441.95""","=""22040.05""","=""4f3.(4I*<9/2>).6s<1/2>""","=""(9/2,1/2)*""","=""5""","=""""","=""""","=""5""",11,11,,"=""T8137""","=""L3475""",
Pr,2,"=""464.605""","=""464.605+""","=""140""","=""2.03e+06""",B,"=""1743.72""","=""23261.36""","=""4f3.(4I*<11/2>).6s<1/2>""","=""(11/2,1/2)*""","=""5""","=""""","=""""","=""5""",11,11,,"=""T8137""","=""L3475""",
Pr,2,"=""466.465""","=""466.465+""","=""140""","=""3.08e+06""",B+,"=""3403.21""","=""24835.03""","=""4f3.(4I*<13/2>).6s<1/2>""","=""(13/2,1/2)*""","=""6""","=""""","=""""","=""6""",13,13,,"=""T8137""","=""L3475""",
Pr,2,"=""473.4117""","=""473.417+""","=""100""","=""5.8e+06""",C+,"=""2998.36""","=""24115.50""","=""4f3.(4I*<13/2>).6s<1/2>""","=""(13/2,1/2)*""","=""7""","=""4f3.(4I*).6p""","=""5K""","=""6""",15,13,,"=""T8137n""","=""L3396""",
Pr,2,"=""476.272""","=""476.272+""","=""100""","=""2.09e+06""",B,"=""3403.21""","=""24393.73""","=""4f3.(4I*<13/2>).6s<1/2>""","=""(13/2,1/2)*""","=""6""","=""""","=""""","=""6""",13,13,,"=""T8137""","=""L3475""",
Pr,2,"=""487.9121""","=""487.910+""","=""30""","=""1.6e+06""",D+,"=""5079.35""","=""25569.19""","=""4f3.(4I*<15/2>).6s<1/2>""","=""(15/2,1/2)*""","=""7""","=""4f3.(4I*).6p""","=""5K""","=""7""",15,15,,"=""T8137n""","=""L3396""",
Pr,2,"=""488.6045""","=""488.603+""","=""20""","=""1.1e+06""",C,"=""5108.40""","=""25569.19""","=""4f3.(4I*).5d""","=""5L*""","=""7""","=""4f3.(4I*).6p""","=""5K""","=""7""",15,15,,"=""T5674n""","=""L3396""",
Pr,2,"=""491.2629""","=""491.262+""","=""10""","=""4.3e+06""",C+,"=""7659.76""","=""28009.80""","=""4f3.(4I*).5d""","=""5K*""","=""8""","=""4f3.(4I*).6p?""","=""""","=""7""",17,15,,"=""T8137""","=""L3396""",
Pr,2,"=""503.441""","=""503.441+""","=""270""","=""1.1e+07""",D+,"=""8958.49""","=""28816.25""","=""4f3.(4I*).5d""","=""5K*""","=""9""","=""4f3.(4I*).6p""","=""5K""","=""9""",19,19,,"=""T2994""","=""L3475""",
Pr,2,"=""511.038""","=""511.037+""","=""360""","=""1.49e+07""",B,"=""4097.60""","=""23660.20""","=""4f3.(4I*).5d""","=""5K*""","=""5""","=""4f3.(4I*).6p""","=""5I""","=""4""",11,9,,"=""T8137""","=""L3475""",
Pr,2,"=""511.076""","=""511.076+""","=""560""","=""2.8e+07""",C+,"=""9255.14""","=""28816.25""","=""4f3.(4I*).5d""","=""5L*""","=""10""","=""4f3.(4I*).6p""","=""5K""","=""9""",21,19,,"=""T2994""","=""L3475""",
Pr,2,"=""512.952""","=""512.953+""","=""410""","=""1.69e+07""",C+,"=""5226.52""","=""24716.04""","=""4f3.(4I*).5d""","=""5K*""","=""6""","=""4f3.(4I*).6p""","=""5I""","=""5""",13,11,,"=""T8137""","=""L3475""",
Pr,2,"=""513.514""","=""513.514+""","=""270""","=""1.27e+07""",B,"=""7659.76""","=""27128.00""","=""4f3.(4I*).5d""","=""5K*""","=""8""","=""4f3.(4I*).6p""","=""5K""","=""8""",17,17,,"=""T8137n""","=""L3475""",
Pr,2,"=""516.174""","=""516.174+""","=""200""","=""4.3e+06""",B,"=""3893.46""","=""23261.36""","=""4f3.(4I*).5d""","=""5L*""","=""6""","=""""","=""""","=""5""",13,11,,"=""T8137""","=""L3475""",
Pr,2,"=""517.390""","=""517.390+""","=""620""","=""3.3e+07""",B,"=""7805.61""","=""27128.00""","=""4f3.(4I*).5d""","=""5L*""","=""9""","=""4f3.(4I*).6p""","=""5K""","=""8""",19,17,,"=""T8137n""","=""L3475""",
Pr,2,"=""519.511""","=""519.512+""","=""150""","=""9.6e+06""",C+,"=""8958.49""","=""28201.95""","=""4f3.(4I*).5d""","=""5K*""","=""9""","=""4f3.(4I*).6p""","=""5I""","=""8""",19,17,,"=""T8137""","=""L3475""",
Pr,2,"=""519.531""","=""519.531+""","=""200""","=""1.02e+07""",B,"=""6413.93""","=""25656.69&dagger;""","=""4f3.(4I*).5d""","=""5K*""","=""7""","=""4f3.(4I*).6p""","=""5I""","=""6""",15,13,,"=""T8137""","=""L3475""",
Pr,2,"=""520.655""","=""520.656+""","=""360""","=""1.47e+07""",C+,"=""7659.76""","=""26860.95""","=""4f3.(4I*).5d""","=""5K*""","=""8""","=""4f3.(4I*).6p""","=""5I""","=""7""",17,15,,"=""T8137""","=""L3475""",
Pr,2,"=""520.790""","=""520.790+""","=""150""","=""4.2e+06""",B,"=""6413.93""","=""25610.20""","=""4f3.(4I*).5d""","=""5K*""","=""7""","=""""","=""""","=""6""",15,13,,"=""T8137""","=""L3475""",
Pr,2,"=""521.905""","=""521.905+""","=""360""","=""1.38e+07""",B,"=""6413.93""","=""25569.19""","=""4f3.(4I*).5d""","=""5K*""","=""7""","=""4f3.(4I*).6p""","=""5K""","=""7""",15,15,,"=""T7420n""","=""L3475""",
Pr,2,"=""522.011""","=""522.011+""","=""560""","=""3.07e+07""",B,"=""6417.83""","=""25569.19""","=""4f3.(4I*).5d""","=""5L*""","=""8""","=""4f3.(4I*).6p""","=""5K""","=""7""",17,15,,"=""T7420n""","=""L3475""",
Pr,2,"=""525.1738""","=""525.170+""","=""10""","=""2.0e+06""",C,"=""5079.35""","=""24115.50""","=""4f3.(4I*<15/2>).6s<1/2>""","=""(15/2,1/2)*""","=""7""","=""4f3.(4I*).6p""","=""5K""","=""6""",15,13,,"=""T5674n""","=""L3396""",
Pr,2,"=""525.973""","=""525.973+""","=""680""","=""2.09e+07""",B,"=""5108.40""","=""24115.50""","=""4f3.(4I*).5d""","=""5L*""","=""7""","=""4f3.(4I*).6p""","=""5K""","=""6""",15,13,,"=""T8137n""","=""L3475""",
Pr,2,"=""526.388""","=""526.387+""","=""180""","=""5.6e+06""",B,"=""3893.46""","=""22885.59""","=""4f3.(4I*).5d""","=""5L*""","=""6""","=""""","=""""","=""5""",13,11,,"=""T8137""","=""L3475""",
Pr,2,"=""529.262""","=""529.262+""","=""340""","=""9.3e+06""",C+,"=""5226.52""","=""24115.50""","=""4f3.(4I*).5d""","=""5K*""","=""6""","=""4f3.(4I*).6p""","=""5K""","=""6""",13,13,,"=""T8137n""","=""L3475""",
Pr,2,"=""529.809""","=""529.810+""","=""230""","=""6.5e+06""",B,"=""5108.40""","=""23977.83""","=""4f3.(4I*).5d""","=""5L*""","=""7""","=""""","=""""","=""6""",15,13,,"=""T8137""","=""L3475""",
Pr,2,"=""532.276""","=""532.277+""","=""430""","=""1.57e+07""",B+,"=""3893.46""","=""22675.44""","=""4f3.(4I*).5d""","=""5L*""","=""6""","=""4f3.(4I*).6p""","=""5K""","=""5""",13,11,,"=""T8137""","=""L3475""",
Pr,2,"=""535.240""","=""535.240+""","=""200""","=""3.9e+06""",B+,"=""3893.46""","=""22571.48""","=""4f3.(4I*).5d""","=""5L*""","=""6""","=""""","=""""","=""5""",13,11,,"=""T8137""","=""L3475""",
Pr,2,"=""550.915""","=""550.915+""","=""65""","=""2.50e+06""",B,"=""3893.46""","=""22040.05""","=""4f3.(4I*).5d""","=""5L*""","=""6""","=""""","=""""","=""5""",13,11,,"=""T8137""","=""L3475""",
Pr,2,"=""553.517""","=""553.517+""","=""150""","=""3.5e+06""",B,"=""7438.23""","=""25499.52""","=""4f3.(4I*).5d""","=""3I*""","=""5""","=""4f3.(4I*).6p?""","=""""","=""5""",11,11,,"=""T8137""","=""L3475""",
Pr,2,"=""554.501""","=""554.501+""","=""55""","=""4.5e+06""",C+,"=""7438.23""","=""25467.47""","=""4f3.(4I*).5d""","=""3I*""","=""5""","=""""","=""""","=""4""",11,9,,"=""T8137""","=""L3475""",
Pr,2,"=""557.183""","=""557.183+""","=""45""","=""1.08e+06""",C+,"=""4097.60""","=""22040.05""","=""4f3.(4I*).5d""","=""5K*""","=""5""","=""""","=""""","=""5""",11,11,,"=""T8137""","=""L3475""",
Pr,2,"=""557.461""","=""557.461+""","=""11""","=""3.3e+05""",D,"=""8465.04""","=""26398.52""","=""4f3.(4I*).5d""","=""3I*""","=""6""","=""4f3.(4I*).6p?""","=""""","=""6""",13,13,,"=""T8137""","=""L3475""",
Pr,2,"=""560.130""","=""560.130+""","=""13""","=""3.4e+06""",D,"=""10729.75""","=""28577.79""","=""4f3.(4I*).5d""","=""5H*""","=""6""","=""4f3.(4I*).6p?""","=""3I?""","=""7""",13,15,,"=""T8137""","=""L3475""",
Pr,2,"=""565.423""","=""565.423+""","=""35*""","=""1.9e+06""",C,"=""8465.04""","=""26146.01""","=""4f3.(4I*).5d""","=""3I*""","=""6""","=""4f3.(4I*).6p?""","=""""","=""5""",13,11,,"=""T8137""","=""L3475""",
Pr,2,"=""566.219""","=""566.218+""","=""16""","=""7.e+05""",D+,"=""8489.87""","=""26146.01""","=""4f3.(4I*).5d""","=""5I*""","=""5""","=""4f3.(4I*).6p?""","=""""","=""5""",11,11,,"=""T8137""","=""L3475""",
Pr,2,"=""568.560""","=""568.563+""","=""13""","=""7.6e+05""",D+,"=""9378.63""","=""26961.96""","=""4f3.(4I*).5d""","=""5H*""","=""5""","=""4f3.(4I*).6p?""","=""""","=""6""",11,13,,"=""T8137""","=""L3475""",
Pr,2,"=""568.717""","=""568.714+""","=""22h*""","=""3.3e+05""",C,"=""9128.67""","=""26707.31""","=""4f3.(4I*).5d""","=""*""","=""4""","=""""","=""""","=""5""",9,11,,"=""T8137""","=""L3475""",
Pr,2,"=""575.617""","=""575.620+""","=""90""","=""6.7e+06""",C+,"=""8099.72""","=""25467.47""","=""4f3.(4I*).5d""","=""5H*""","=""4""","=""""","=""""","=""4""",9,9,,"=""T8137""","=""L3475""",
Pr,2,"=""576.916""","=""576.918+""","=""22""","=""1.55e+06""",C+,"=""9378.63""","=""26707.31""","=""4f3.(4I*).5d""","=""5H*""","=""5""","=""""","=""""","=""5""",11,11,,"=""T8137""","=""L3475""",
Pr,2,"=""577.729""","=""577.730+""","=""16""","=""1.9e+06""",C,"=""10729.75""","=""28034.08""","=""4f3.(4I*).5d""","=""5H*""","=""6""","=""""","=""""","=""6""",13,13,,"=""T8137""","=""L3475""",
Pr,2,"=""579.136""","=""579.139+""","=""45""","=""3.1e+06""",C+,"=""9378.63""","=""26640.86""","=""4f3.(4I*).5d""","=""5H*""","=""5""","=""""","=""""","=""5""",11,11,,"=""T8137""","=""L3475""",
Pr,2,"=""581.058""","=""581.059+""","=""40""","=""2.3e+06""",D+,"=""11611.05""","=""28816.25""","=""4f3.(4I*).5d""","=""5I*""","=""8""","=""4f3.(4I*).6p""","=""5K""","=""9""",17,19,,"=""T2994""","=""L3475""",
