element,sp_num,obs_wl_vac(nm),ritz_wl_vac(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Zr,3,"=""192.6566""","=""192.65677""","=""75""","=""1.70e+07""",,"=""53648.88""","=""105554.66""","=""4d.5p""","=""1D*""","=""2""","=""4d.5d""","=""1P""","=""1""",5,3,,"=""T6869""","=""L9267""",
Zr,3,"=""193.2492""","=""193.24911""","=""150000""","=""4.87e+08""",,"=""56077.32""","=""107824.00""","=""4d.5p""","=""3F*""","=""3""","=""4d.5d""","=""3F""","=""3""",7,7,,"=""T6869""","=""L9267""",
Zr,3,"=""193.4251""","=""193.42509""","=""12000""","=""2.91e+08""",,"=""55557.60""","=""107257.20""","=""4d.5p""","=""3F*""","=""2""","=""4d.5d""","=""3F""","=""2""",5,5,,"=""T6869""","=""L9267""",
Zr,3,"=""193.5097""","=""193.5099""","=""8000""","=""1.80e+08""",,"=""53648.88""","=""105325.82""","=""4d.5p""","=""1D*""","=""2""","=""4d.(2D<3/2>).6s""","=""2[3/2]""","=""2""",5,5,,"=""T6869""","=""L9267""",
Zr,3,"=""193.6433""","=""193.64335""","=""150000""","=""1.10e+09""",,"=""55615.87""","=""107257.20""","=""4d.5p""","=""3D*""","=""1""","=""4d.5d""","=""3F""","=""2""",3,5,,"=""T6869""","=""L9267""",
Zr,3,"=""193.6638""","=""193.6639""","=""200000""","=""9.77e+07""",,"=""8063.63""","=""59699.47""","=""4d2""","=""3P""","=""0""","=""4d.5p""","=""3P*""","=""1""",1,3,,"=""T6869""","=""L9267""",
Zr,3,"=""193.7215""","=""193.72145""","=""200000""","=""4.11e+08""",,"=""8327.12""","=""59947.63""","=""4d2""","=""3P""","=""1""","=""4d.5p""","=""3P*""","=""0""",3,1,,"=""T6869""","=""L9267""",
Zr,3,"=""193.7784""","=""193.77791""","=""50""","=""2.24e+05""",,"=""5743.39""","=""57348.86""","=""4d2""","=""1D""","=""2""","=""4d.5p""","=""3D*""","=""3""",5,7,,"=""T6869""","=""L9267""",
Zr,3,"=""194.0234""","=""194.02357""","=""8000000""","=""2.33e+08""",,"=""11050.57""","=""62590.70""","=""4d2""","=""1G""","=""4""","=""4d.5p""","=""1F*""","=""3""",9,7,,"=""T6869""","=""L9267""",
Zr,3,"=""194.1055""","=""194.10529""","=""2500000""","=""3.26e+08""",,"=""8839.97""","=""60358.40""","=""4d2""","=""3P""","=""2""","=""4d.5p""","=""3P*""","=""2""",5,5,,"=""T6869""","=""L9267""",
Zr,3,"=""194.4266""","=""194.4266""","=""1500""","=""2.48e+08""",,"=""62117.41""","=""113550.71""","=""4d.5p""","=""1P*""","=""1""","=""4d.5d""","=""1S""","=""0""",3,1,,"=""T6869""","=""L9267""",
Zr,3,"=""194.6048""","=""194.60466""","=""200000""","=""9.95e+08""",,"=""56437.77""","=""107824.00""","=""4d.5p""","=""3D*""","=""2""","=""4d.5d""","=""3F""","=""3""",5,7,,"=""T6869""","=""L9267""",
Zr,3,"=""194.6573""","=""194.65724""","=""250000""","=""1.00e+08""",,"=""8327.12""","=""59699.47""","=""4d2""","=""3P""","=""1""","=""4d.5p""","=""3P*""","=""1""",3,3,,"=""T6869""","=""L9267""",
