element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Lu,1,"=""449.885""","=""449.8848+""","=""60h""","=""1.28e+05""",B+,"=""0.00""","=""22221.68""","=""5d.6s2""","=""2D""","=""3/2""","=""5d.6s.(3D).6p""","=""4D*""","=""5/2""",4,6,,"=""T7218""","=""L3475""",
Lu,1,"=""451.857""","=""451.8556+""","=""3300""","=""2.26e+07""",B+,"=""0.00""","=""22124.76""","=""5d.6s2""","=""2D""","=""3/2""","=""5d.6s.(3D).6p""","=""2D*""","=""3/2""",4,4,,"=""T7218""","=""L3475""",
Lu,1,"=""465.802""","=""465.8011+""","=""1000""","=""3.15e+06""",B+,"=""0.00""","=""21462.38""","=""5d.6s2""","=""2D""","=""3/2""","=""5d.6s.(3D).6p""","=""2D*""","=""5/2""",4,6,,"=""T7218""","=""L3475""",
Lu,1,"=""468.977""","=""468.977+""","=""44""","=""1.32e+06""",C+,"=""7476.39""","=""28793.42""","=""6s2.6p""","=""2P*""","=""3/2""","=""5d2.(3P).6s""","=""2P""","=""1/2""",4,2,,"=""T7218""","=""L16197""",
Lu,1,"=""471.670""","=""471.6692+""","=""30""","=""1.13e+05""",C+,"=""0.00""","=""21195.37""","=""5d.6s2""","=""2D""","=""3/2""","=""5d.6s.(3D).6p""","=""4D*""","=""3/2""",4,4,,"=""T7218""","=""L3475""",
Lu,1,"=""481.505""","=""481.5037+""","=""85""","=""9.0e+05""",B+,"=""0.00""","=""20762.47""","=""5d.6s2""","=""2D""","=""3/2""","=""5d.6s.(3D).6p""","=""4D*""","=""1/2""",4,2,,"=""T7218""","=""L3475""",
Lu,1,"=""494.234""","=""494.232+""","=""180""","=""9.7e+05""",B+,"=""1993.92""","=""22221.68""","=""5d.6s2""","=""2D""","=""5/2""","=""5d.6s.(3D).6p""","=""4D*""","=""5/2""",6,6,,"=""T7218""","=""L3475""",
Lu,1,"=""496.613""","=""496.612+""","=""5""","=""3.3e+04""",C+,"=""1993.92""","=""22124.76""","=""5d.6s2""","=""2D""","=""5/2""","=""5d.6s.(3D).6p""","=""2D*""","=""3/2""",6,4,,"=""T7218""","=""L18169""",
Lu,1,"=""500.114""","=""500.114+""","=""800""","=""3.20e+07""",B+,"=""4136.13""","=""24125.99""","=""6s2.6p""","=""2P*""","=""1/2""","=""6s2.7s""","=""2S""","=""1/2""",2,2,,"=""T7218""","=""L3475""",
Lu,1,"=""513.509""","=""513.508+""","=""2700""","=""9.1e+06""",B+,"=""1993.92""","=""21462.38""","=""5d.6s2""","=""2D""","=""5/2""","=""5d.6s.(3D).6p""","=""2D*""","=""5/2""",6,6,,"=""T7218""","=""L3475""",
Lu,1,"=""520.647""","=""520.649+""","=""90""","=""2.5e+05""",C+,"=""1993.92""","=""21195.37""","=""5d.6s2""","=""2D""","=""5/2""","=""5d.6s.(3D).6p""","=""4D*""","=""3/2""",6,4,,"=""T7218""","=""L3475""",
Lu,1,"=""540.257""","=""540.257+""","=""500""","=""1.20e+06""",B+,"=""0.00""","=""18504.58""","=""5d.6s2""","=""2D""","=""3/2""","=""5d.6s.(3D).6p""","=""4F*""","=""5/2""",4,6,,"=""T7218""","=""L3475""",
Lu,1,"=""573.655""","=""573.654+""","=""550""","=""1.73e+06""",B+,"=""0.00""","=""17427.28""","=""5d.6s2""","=""2D""","=""3/2""","=""5d.6s.(3D).6p""","=""4F*""","=""3/2""",4,4,,"=""T7218""","=""L3475""",
Lu,1,"=""600.452""","=""600.449+""","=""1400""","=""4.9e+07""",B+,"=""7476.39""","=""24125.99""","=""6s2.6p""","=""2P*""","=""3/2""","=""6s2.7s""","=""2S""","=""1/2""",4,2,,"=""T7218""","=""L3475""",
Lu,1,"=""605.503""","=""605.502+""","=""440""","=""9.2e+05""",B+,"=""1993.92""","=""18504.58""","=""5d.6s2""","=""2D""","=""5/2""","=""5d.6s.(3D).6p""","=""4F*""","=""5/2""",6,6,,"=""T7218""","=""L3475""",
Lu,2,"=""622.187""","=""622.189+""","=""2100""","=""9.9e+06""",,"=""12435.32""","=""28503.16""","=""5d.6s""","=""3D""","=""2""","=""6s.6p""","=""3P*""","=""1""",5,3,,"=""T7101""","=""L3475""",
Lu,1,"=""647.767""","=""647.768+""","=""29""","=""7.2e+04""",B,"=""1993.92""","=""17427.28""","=""5d.6s2""","=""2D""","=""5/2""","=""5d.6s.(3D).6p""","=""4F*""","=""3/2""",6,4,,"=""T7218""","=""L3475""",
