element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Co,2,"=""185.96298""","=""0.00002""","=""185.963038""","=""0.000010""","=""1700""","=""4.6e+06""",D,"=""9812.860""","=""63586.987""","=""3d7.(4F).4s""","=""b 3F""","=""4""","=""3d7.(4P).4p""","=""y 3D*""","=""3""",9,7,,"=""T6999""","=""L9429c118""",
Co,2,"=""186.021990""","=""0.000015""","=""186.021981""","=""0.000014""","=""6600""","=""1.7e+07""",D,"=""11651.277""","=""65408.365""","=""3d8""","=""a 1D""","=""2""","=""3d7.(2P).4p""","=""z 3P*""","=""2""",5,5,,"=""T6999""","=""L9429c118""",
Co,3,"=""186.08498""","=""0.00019""","=""186.08489""","=""0.00017""","=""660""","=""9.0e+07""",C,"=""106558.982""","=""160297.896""","=""3d6.(3F1).4s""","=""c 4F""","=""5/2""","=""3d6.(3F1).4p""","=""w 4G*""","=""5/2""",6,6,,"=""u37""","=""L19543c139""",
Co,3,"=""""","=""""","=""186.1100""","=""0.0004""","=""""","=""6.0e+01""",C,"=""23060.95""","=""76792.604""","=""3d7""","=""a 2D2""","=""5/2""","=""3d6.(3P2).4s""","=""b 2P""","=""3/2""",6,4,E2,"=""u37""","=""""",
Co,2,"=""186.14352""","=""0.00002""","=""186.14346""","=""0.00004""","=""2300""","=""8.e+07""",D,"=""41314.150""","=""95036.155""","=""3d6.4s2""","=""a 5D""","=""3""","=""3d7.(4F).5p""","=""5D*""","=""4""",7,9,,"=""T6999""","=""L9429c118""",
Co,3,"=""186.17698""","=""0.00003""","=""186.17698""","=""0.00003""","=""19000""","=""4.5e+08""",C+,"=""73287.242""","=""126999.576""","=""3d6.(3F2).4s""","=""b 4F""","=""9/2""","=""3d6.(3F2).4p""","=""y 4F*""","=""9/2""",10,10,,"=""u37""","=""L19543c139""",
Co,2,"=""186.22906""","=""0.00003""","=""186.229033""","=""0.000007""","=""4000""","=""1.2e+07""",D,"=""9812.860""","=""63510.180""","=""3d7.(4F).4s""","=""b 3F""","=""4""","=""3d7.(2G).4p""","=""y 3F*""","=""4""",9,9,,"=""T6999""","=""L9429c118""",
Co,2,"=""186.23687""","=""0.00002""","=""186.236889""","=""0.000014""","=""2900""","=""1.4e+07""",D,"=""11321.860""","=""65016.915""","=""3d7.(4F).4s""","=""b 3F""","=""2""","=""3d7.(2G).4p""","=""y 3F*""","=""2""",5,5,,"=""T6999""","=""L9429c118""",
Co,2,"=""186.24386""","=""0.00005""","=""186.243920""","=""0.000010""","=""910""","=""7.e+05""",E,"=""10708.331""","=""64401.359""","=""3d7.(4F).4s""","=""b 3F""","=""3""","=""3d7.(2G).4p""","=""z 1G*""","=""4""",7,9,,"=""T6999""","=""L9429c118""",
Co,3,"=""186.26560""","=""0.00004""","=""186.26561""","=""0.00003""","=""3300""","=""1.51e+08""",C+,"=""77412.954""","=""131099.731""","=""3d6.(3H).4s""","=""b 2H""","=""11/2""","=""3d6.(3G).4p""","=""x 4F*""","=""9/2""",12,10,,"=""u37""","=""L19543c139""",
Co,3,"=""""","=""""","=""186.2663""","=""0.0004""","=""""","=""1.10e+01""",C,"=""23435.93""","=""77122.520""","=""3d7""","=""a 2H""","=""9/2""","=""3d6.(3G).4s""","=""a 4G""","=""9/2""",10,10,E2,"=""u37""","=""""",
Co,3,"=""186.3121""","=""0.0003""","=""186.31206""","=""0.00003""","=""840""","=""2.6e+07""",D+,"=""71624.293""","=""125297.685""","=""3d6.(3H).4s""","=""a 4H""","=""13/2""","=""3d6.(3H).4p""","=""z 4I*""","=""11/2""",14,12,,"=""u37""","=""L19543c139""",
Co,3,"=""186.34640""","=""0.00010""","=""186.34645""","=""0.00008""","=""5300""","=""3.0e+08""",C+,"=""85475.591""","=""139139.075""","=""3d6.(1I).4s""","=""a 2I""","=""13/2""","=""3d6.(1I).4p""","=""x 2H*""","=""11/2""",14,12,,"=""u37""","=""L19543c139""",
Co,3,"=""186.36032""","=""0.00009""","=""186.36048""","=""0.00004""","=""1400""","=""4.5e+07""",D+,"=""78928.889""","=""132588.334""","=""3d6.(3F2).4s""","=""b 2F""","=""7/2""","=""3d6.(3G).4p""","=""y 4H*""","=""9/2""",8,10,,"=""u37""","=""L19543c139""",
Co,3,"=""186.3705""","=""0.0003""","=""186.37033""","=""0.00004""","=""310""","=""1.2e+07""",E,"=""77624.280""","=""131280.888""","=""3d6.(3H).4s""","=""b 2H""","=""9/2""","=""3d6.(3F2).4p""","=""y 2G*""","=""7/2""",10,8,,"=""u37""","=""L19543c139""",
Co,3,"=""186.382008""","=""0.000021""","=""186.382010""","=""0.000021""","=""33000""","=""3.1e+08""",C+,"=""71624.293""","=""125277.540""","=""3d6.(3H).4s""","=""a 4H""","=""13/2""","=""3d6.(3H).4p""","=""z 4I*""","=""13/2""",14,14,,"=""u37""","=""L19543c139""",
Co,2,"=""186.387300""","=""0.000017""","=""186.387318""","=""0.000017""","=""4600""","=""1.4e+07""",D,"=""10708.331""","=""64360.050""","=""3d7.(4F).4s""","=""b 3F""","=""3""","=""3d7.(2G).4p""","=""y 3F*""","=""3""",7,7,,"=""T6999""","=""L9429c118""",
Co,3,"=""186.38994""","=""0.00003""","=""186.38992""","=""0.00003""","=""4600""","=""2.1e+08""",C+,"=""72343.066""","=""125994.037""","=""3d6.(3P2).4s""","=""b 4P""","=""3/2""","=""3d6.(3P2).4p""","=""z 2D*""","=""5/2""",4,6,,"=""u37""","=""L19543c139""",
Co,2,"=""186.4162""","=""0.0012""","=""186.414923""","=""0.000017""","=""350""","=""7.e+06""",D,"=""45378.754""","=""99022.528""","=""3d7.(4F).4p""","=""z 5F*""","=""4""","=""3d7.(4P).5s""","=""5P""","=""3""",9,7,,"=""T6999""","=""L4687c119""",
Co,3,"=""186.418577""","=""0.000020""","=""186.418572""","=""0.000017""","=""10000""","=""2.8e+08""",C+,"=""77412.954""","=""131055.678""","=""3d6.(3H).4s""","=""b 2H""","=""11/2""","=""3d6.(3H).4p""","=""z 2H*""","=""11/2""",12,12,,"=""u37""","=""L19543c139""",
Co,3,"=""186.45171""","=""0.00013""","=""186.45171""","=""0.00014""","=""3200""","=""5.3e+08""",C+,"=""116440.00""","=""170073.19""","=""3d6.(1G1).4s""","=""d 2G""","=""7/2""","=""3d6.(1G1).4p""","=""v 2H*""","=""9/2""",8,10,,"=""u37""","=""L19543c139""",
Co,3,"=""186.4956""","=""0.0005""","=""186.49645""","=""0.00010""","=""24bl(Co I)""","=""1.5e+06""",D+,"=""85518.751""","=""139139.075""","=""3d6.(1I).4s""","=""a 2I""","=""11/2""","=""3d6.(1I).4p""","=""x 2H*""","=""11/2""",12,12,,"=""u37""","=""L19543c140,c153""",
Co,3,"=""186.54076""","=""0.00004""","=""186.540798""","=""0.000024""","=""4100""","=""1.02e+08""",C,"=""72084.644""","=""125692.220""","=""3d6.(3H).4s""","=""a 4H""","=""9/2""","=""3d6.(3H).4p""","=""z 4H*""","=""7/2""",10,8,,"=""u37""","=""L19543c139""",
Co,3,"=""186.54552""","=""0.00012""","=""186.54561""","=""0.00005""","=""3300""","=""1.52e+08""",C+,"=""73287.242""","=""126893.436""","=""3d6.(3F2).4s""","=""b 4F""","=""9/2""","=""3d6.(3F2).4p""","=""y 4F*""","=""7/2""",10,8,,"=""u37""","=""L19543c139""",
Co,3,"=""186.5971""","=""0.0003""","=""186.59701""","=""0.00004""","=""200""","=""6.7e+06""",D+,"=""73727.954""","=""127319.380""","=""3d6.(3F2).4s""","=""b 4F""","=""5/2""","=""3d6.(3H).4p""","=""z 2G*""","=""7/2""",6,8,,"=""u37""","=""L19543c139""",
Co,3,"=""186.64858""","=""0.00014""","=""186.64855""","=""0.00003""","=""580""","=""1.5e+07""",D+,"=""56794.941""","=""110371.568""","=""3d6.(5D).4s""","=""a 4D""","=""3/2""","=""3d6.(5D).4p""","=""z 4P*""","=""5/2""",4,6,,"=""u37""","=""L19543c139""",
Co,3,"=""186.66127""","=""0.00004""","=""186.66126""","=""0.00004""","=""5800""","=""5.6e+08""",C,"=""72343.066""","=""125916.046""","=""3d6.(3P2).4s""","=""b 4P""","=""3/2""","=""3d6.(3P2).4p""","=""y 4P*""","=""1/2""",4,2,,"=""u37""","=""L19543c139""",
Co,2,"=""186.701690""","=""0.000019""","=""186.701683""","=""0.000010""","=""2400""","=""4.4e+07""",D,"=""18973.727""","=""72535.108""","=""3d8""","=""a 1G""","=""4""","=""3d7.(2D2).4p""","=""y 1F*""","=""3""",9,7,,"=""T6999""","=""L9429c118""",
Co,3,"=""186.74833""","=""0.00004""","=""186.748324""","=""0.000021""","=""3600""","=""1.01e+08""",C,"=""71875.0920""","=""125423.096""","=""3d6.(3H).4s""","=""a 4H""","=""11/2""","=""3d6.(3H).4p""","=""z 4I*""","=""9/2""",12,10,,"=""u37""","=""L19543c139""",
Co,3,"=""186.7924""","=""0.0003""","=""186.79245""","=""0.00010""","=""1100""","=""4.5e+07""",D+,"=""86285.104""","=""139820.457""","=""3d6.(1G2).4s""","=""c 2G""","=""9/2""","=""3d6.(3D).4p""","=""w 4F*""","=""7/2""",10,8,,"=""u37""","=""L19543c139""",
Co,2,"=""186.83427""","=""0.00005""","=""186.834226""","=""0.000008""","=""1700""","=""1.5e+06""",E,"=""11651.277""","=""65174.661""","=""3d8""","=""a 1D""","=""2""","=""3d7.(2G).4p""","=""y 3G*""","=""3""",5,7,,"=""T6999""","=""L9429c118""",
Co,3,"=""186.8783""","=""0.0003""","=""186.87837""","=""0.00024""","=""690""","=""2.8e+08""",C,"=""90913.89""","=""144424.63""","=""3d6.(1S2).4s""","=""a 2S""","=""1/2""","=""3d6.(1S2).4p""","=""w 2P*""","=""1/2""",2,2,,"=""u37""","=""L19543c139""",
Co,3,"=""186.9352""","=""0.0003""","=""186.9347""","=""0.0003""","=""350""","=""4.4e+07""",D+,"=""112111.42""","=""165606.05""","=""3d6.(3F1).4s""","=""d 2F""","=""7/2""","=""3d6.(3F1).4p""","=""v 4F*""","=""9/2""",8,10,,"=""u37""","=""L19543c139""",
Co,3,"=""186.94357""","=""0.00015""","=""186.94357""","=""0.00008""","=""100""","=""2.9e+07""",D+,"=""86328.378""","=""139820.457""","=""3d6.(1G2).4s""","=""c 2G""","=""7/2""","=""3d6.(3D).4p""","=""w 4F*""","=""7/2""",8,8,,"=""u37""","=""L19543c139""",
Co,3,"=""187.00148""","=""0.00024""","=""187.00170""","=""0.00004""","=""390""","=""1.8e+07""",E,"=""77624.280""","=""131099.731""","=""3d6.(3H).4s""","=""b 2H""","=""9/2""","=""3d6.(3G).4p""","=""x 4F*""","=""9/2""",10,10,,"=""u37""","=""L19543c139""",
Co,3,"=""187.06283""","=""0.00007""","=""187.06275""","=""0.00004""","=""2200""","=""5.6e+07""",C,"=""73541.580""","=""126999.576""","=""3d6.(3F2).4s""","=""b 4F""","=""7/2""","=""3d6.(3F2).4p""","=""y 4F*""","=""9/2""",8,10,,"=""u37""","=""L19543c139""",
Co,3,"=""187.186719""","=""0.000019""","=""187.186721""","=""0.000018""","=""26000""","=""3.1e+08""",C+,"=""71875.0920""","=""125297.685""","=""3d6.(3H).4s""","=""a 4H""","=""11/2""","=""3d6.(3H).4p""","=""z 4I*""","=""11/2""",12,12,,"=""u37""","=""L19543c139""",
Co,3,"=""187.194606""","=""0.000023""","=""187.194587""","=""0.000021""","=""15000""","=""3.1e+08""",C+,"=""72271.872""","=""125692.220""","=""3d6.(3H).4s""","=""a 4H""","=""7/2""","=""3d6.(3H).4p""","=""z 4H*""","=""7/2""",8,8,,"=""u37""","=""L19543c139""",
Co,3,"=""187.19977""","=""0.00009""","=""187.19970""","=""0.00004""","=""950""","=""5.2e+07""",C,"=""77384.2947""","=""130803.183""","=""3d6.(3G).4s""","=""a 4G""","=""7/2""","=""3d6.(3F2).4p""","=""y 2G*""","=""9/2""",8,10,,"=""u37""","=""L19543c139""",
Co,3,"=""187.2505""","=""0.0007""","=""187.2503""","=""0.0021""","=""1100bl(Co III)""","=""4.6e+08""",C+,"=""99636.25""","=""153040.7""","=""3d6.(1F).4s""","=""c 2F""","=""7/2""","=""3d6.(1F).4p""","=""v 2D*""","=""5/2""",8,6,,"=""u37""","=""L19543c139""",
Co,3,"=""187.25314""","=""0.00006""","=""187.25313""","=""0.00005""","=""2700""","=""1.18e+08""",C,"=""85518.751""","=""138922.399""","=""3d6.(1I).4s""","=""a 2I""","=""11/2""","=""3d6.(1G2).4p""","=""w 2H*""","=""9/2""",12,10,,"=""u37""","=""L19543c139""",
Co,3,"=""187.257338""","=""0.000020""","=""187.257333""","=""0.000018""","=""14000""","=""2.4e+08""",C+,"=""71875.0920""","=""125277.540""","=""3d6.(3H).4s""","=""a 4H""","=""11/2""","=""3d6.(3H).4p""","=""z 4I*""","=""13/2""",12,14,,"=""u37""","=""L19543c139""",
Co,3,"=""187.3005""","=""0.0005""","=""187.30037""","=""0.00011""","=""130*""","=""1.2e+07""",D+,"=""89288.021""","=""142678.198""","=""3d6.(3D).4s""","=""c 2D""","=""3/2""","=""3d6.(3D).4p""","=""x 2D*""","=""5/2""",4,6,,"=""u37""","=""L19543c140,c153""",
Co,3,"=""187.43496""","=""0.00005""","=""187.43490""","=""0.00004""","=""4000""","=""1.6e+08""",C+,"=""73541.580""","=""126893.436""","=""3d6.(3F2).4s""","=""b 4F""","=""7/2""","=""3d6.(3F2).4p""","=""y 4F*""","=""7/2""",8,8,,"=""u37""","=""L19543c139""",
Co,3,"=""187.44250""","=""0.00013""","=""187.44245""","=""0.00004""","=""540""","=""3.5e+07""",D+,"=""78928.889""","=""132278.596""","=""3d6.(3F2).4s""","=""b 2F""","=""7/2""","=""3d6.(3G).4p""","=""x 4F*""","=""7/2""",8,8,,"=""u37""","=""L19543c139""",
Co,3,"=""187.482008""","=""0.000019""","=""187.482006""","=""0.000018""","=""19000""","=""2.3e+08""",C+,"=""72084.644""","=""125423.096""","=""3d6.(3H).4s""","=""a 4H""","=""9/2""","=""3d6.(3H).4p""","=""z 4I*""","=""9/2""",10,10,,"=""u37""","=""L19543c139""",
Co,3,"=""187.50888""","=""0.00003""","=""187.5091""","=""0.0008""","=""11000*""","=""5.7e+08""",C+,"=""99636.25""","=""152967.0""","=""3d6.(1F).4s""","=""c 2F""","=""7/2""","=""3d6.(1F).4p""","=""v 2G*""","=""9/2""",8,10,,"=""u37""","=""L19543c139""",
Co,3,"=""187.50888""","=""0.00003""","=""187.50912""","=""0.00025""","=""11000*""","=""2.0e+08""",C+,"=""73541.580""","=""126872.32""","=""3d6.(3F2).4s""","=""b 4F""","=""7/2""","=""3d6.(3F2).4p""","=""y 4F*""","=""5/2""",8,6,,"=""u37""","=""L19543c139""",
Co,3,"=""187.7470""","=""0.0010""","=""187.74584""","=""0.00011""","=""4100""","=""5.e+07""",E,"=""73287.242""","=""126550.738""","=""3d6.(3F2).4s""","=""b 4F""","=""9/2""","=""3d6.(3P2).4p""","=""y 4D*""","=""7/2""",10,8,,"=""u37""","=""L6156c164""",
Co,3,"=""187.75441""","=""0.00003""","=""187.75442""","=""0.00003""","=""3300""","=""1.8e+08""",C,"=""73727.954""","=""126989.016""","=""3d6.(3F2).4s""","=""b 4F""","=""5/2""","=""3d6.(3F2).4p""","=""y 4F*""","=""3/2""",6,4,,"=""u37""","=""L19543c139""",
Co,3,"=""187.91549""","=""0.00011""","=""187.91561""","=""0.00004""","=""1600""","=""2.5e+07""",D+,"=""73287.242""","=""126502.620""","=""3d6.(3F2).4s""","=""b 4F""","=""9/2""","=""3d6.(3H).4p""","=""z 4H*""","=""11/2""",10,12,,"=""u37""","=""L19543c139""",
Co,3,"=""187.923867""","=""0.000020""","=""187.923859""","=""0.000018""","=""12000""","=""2.3e+08""",C+,"=""72084.644""","=""125297.685""","=""3d6.(3H).4s""","=""a 4H""","=""9/2""","=""3d6.(3H).4p""","=""z 4I*""","=""11/2""",10,12,,"=""u37""","=""L19543c139""",
Co,3,"=""187.93783""","=""0.00004""","=""187.93783""","=""0.00004""","=""3700""","=""3.4e+08""",C+,"=""82921.847""","=""136130.933""","=""3d6.(3G).4s""","=""b 2G""","=""7/2""","=""3d6.(3G).4p""","=""y 2F*""","=""5/2""",8,6,,"=""u37""","=""L19543c139""",
Co,3,"=""187.97477""","=""0.00005""","=""187.97478""","=""0.00005""","=""2300""","=""8.6e+07""",C,"=""79426.563""","=""132625.190""","=""3d6.(3F2).4s""","=""b 2F""","=""5/2""","=""3d6.(3G).4p""","=""y 4H*""","=""7/2""",6,8,,"=""u37""","=""L19543c139""",
Co,3,"=""188.03142""","=""0.00005""","=""188.03142""","=""0.00005""","=""2300""","=""4.3e+08""",C+,"=""89288.021""","=""142470.623""","=""3d6.(3D).4s""","=""c 2D""","=""3/2""","=""3d6.(3D).4p""","=""x 2D*""","=""3/2""",4,4,,"=""u37""","=""L19543c139""",
Co,3,"=""188.04429""","=""0.00009""","=""188.04450""","=""0.00003""","=""1200""","=""2.3e+07""",E,"=""77624.280""","=""130803.183""","=""3d6.(3H).4s""","=""b 2H""","=""9/2""","=""3d6.(3F2).4p""","=""y 2G*""","=""9/2""",10,10,,"=""u37""","=""L19543c139""",
Co,3,"=""188.0883""","=""0.0003""","=""188.08825""","=""0.00008""","=""880""","=""4.6e+07""",D+,"=""73216.056""","=""126382.587""","=""3d6.(3P2).4s""","=""b 4P""","=""1/2""","=""3d6.(3P2).4p""","=""y 4P*""","=""3/2""",2,4,,"=""u37""","=""L19543c139""",
Co,3,"=""188.09212""","=""0.00008""","=""188.09197""","=""0.00004""","=""1000""","=""5.5e+07""",C,"=""73727.954""","=""126893.436""","=""3d6.(3F2).4s""","=""b 4F""","=""5/2""","=""3d6.(3F2).4p""","=""y 4F*""","=""7/2""",6,8,,"=""u37""","=""L19543c139""",
Co,3,"=""188.10760""","=""0.00003""","=""188.10760""","=""0.00003""","=""4300""","=""5.3e+08""",C+,"=""89517.135""","=""142678.198""","=""3d6.(3D).4s""","=""c 2D""","=""5/2""","=""3d6.(3D).4p""","=""x 2D*""","=""5/2""",6,6,,"=""u37""","=""L19543c139""",
Co,3,"=""188.14244""","=""0.00004""","=""188.142422""","=""0.000021""","=""8600""","=""2.1e+08""",C+,"=""72271.872""","=""125423.096""","=""3d6.(3H).4s""","=""a 4H""","=""7/2""","=""3d6.(3H).4p""","=""z 4I*""","=""9/2""",8,10,,"=""u37""","=""L19543c139""",
Co,3,"=""188.166419""","=""0.000022""","=""188.16670""","=""0.00021""","=""10000bl(Co III)""","=""2.2e+08""",C+,"=""73727.954""","=""126872.32""","=""3d6.(3F2).4s""","=""b 4F""","=""5/2""","=""3d6.(3F2).4p""","=""y 4F*""","=""5/2""",6,6,,"=""u37""","=""L19543c139,c153""",
Co,3,"=""188.169290""","=""0.000021""","=""188.16908""","=""0.00005""","=""22000bl(Co III)""","=""2.2e+08""",C+,"=""72084.644""","=""125228.339""","=""3d6.(3H).4s""","=""a 4H""","=""9/2""","=""3d6.(3H).4p""","=""z 4G*""","=""7/2""",10,8,,"=""u37""","=""L19543c139,c153""",
Co,3,"=""188.17249""","=""0.00004""","=""188.17117""","=""0.00006""","=""6100bl(Co III)""","=""3.8e+08""",C+,"=""71624.293""","=""124767.396""","=""3d6.(3H).4s""","=""a 4H""","=""13/2""","=""3d6.(3H).4p""","=""z 4G*""","=""11/2""",14,12,,"=""u37""","=""L19543c139,c153""",
Co,3,"=""188.186872""","=""0.000024""","=""188.186849""","=""0.000021""","=""11000""","=""2.4e+08""",C+,"=""71875.0920""","=""125013.768""","=""3d6.(3H).4s""","=""a 4H""","=""11/2""","=""3d6.(3H).4p""","=""z 4G*""","=""9/2""",12,10,,"=""u37""","=""L19543c139""",
Co,3,"=""188.23182""","=""0.00004""","=""188.23179""","=""0.00003""","=""6200""","=""3.5e+08""",C+,"=""73863.028""","=""126989.016""","=""3d6.(3F2).4s""","=""b 4F""","=""3/2""","=""3d6.(3F2).4p""","=""y 4F*""","=""3/2""",4,4,,"=""u37""","=""L19543c139""",
Co,2,"=""188.3246""","=""0.0012""","=""188.324414""","=""0.000014""","=""340""","=""1.0e+06""",E,"=""46452.700""","=""99552.560""","=""3d7.(4F).4p""","=""z 5F*""","=""2""","=""3d7.(4P).5s""","=""5P""","=""1""",5,3,,"=""T6999""","=""L4687c119""",
Co,3,"=""188.32828""","=""0.00004""","=""188.32830""","=""0.00003""","=""6200""","=""2.6e+08""",C+,"=""72271.872""","=""125370.637""","=""3d6.(3H).4s""","=""a 4H""","=""7/2""","=""3d6.(3H).4p""","=""z 4G*""","=""5/2""",8,6,,"=""u37""","=""L19543c139""",
Co,3,"=""188.3550""","=""0.0005""","=""188.3552""","=""0.0004""","=""200""","=""3.3e+07""",D+,"=""112108.471""","=""165199.66""","=""3d6.(3F1).4s""","=""d 2F""","=""5/2""","=""3d6.(3F1).4p""","=""v 4F*""","=""7/2""",6,8,,"=""u37""","=""L19543c140""",
Co,3,"=""188.4187""","=""0.0005""","=""188.41869""","=""0.00004""","=""76""","=""5.2e+06""",D+,"=""76520.408""","=""129593.700""","=""3d6.(3G).4s""","=""a 4G""","=""11/2""","=""3d6.(3F2).4p""","=""y 4G*""","=""9/2""",12,10,,"=""u37""","=""L19543c140""",
Co,3,"=""188.45182""","=""0.00015""","=""188.45184""","=""0.00005""","=""280""","=""3.4e+07""",D+,"=""79426.563""","=""132490.517""","=""3d6.(3F2).4s""","=""b 2F""","=""5/2""","=""3d6.(3G).4p""","=""x 4F*""","=""5/2""",6,6,,"=""u37""","=""L19543c139""",
Co,2,"=""188.54330""","=""0.00006""","=""188.543387""","=""0.000025""","=""600""","=""1.3e+06""",E,"=""11321.860""","=""64360.050""","=""3d7.(4F).4s""","=""b 3F""","=""2""","=""3d7.(2G).4p""","=""y 3F*""","=""3""",5,7,,"=""T6999""","=""L9429c118""",
Co,2,"=""188.55405""","=""0.00012""","=""188.554070""","=""0.000011""","=""490""","=""3.0e+06""",D,"=""18973.727""","=""72008.912""","=""3d8""","=""a 1G""","=""4""","=""3d7.(2H).4p""","=""y 3H*""","=""4""",9,9,,"=""T6999""","=""L9429c118""",
Co,3,"=""188.64616""","=""0.00006""","=""188.64617""","=""0.00025""","=""2600*""","=""6.7e+07""",C,"=""73863.028""","=""126872.32""","=""3d6.(3F2).4s""","=""b 4F""","=""3/2""","=""3d6.(3F2).4p""","=""y 4F*""","=""5/2""",4,6,,"=""u37""","=""L19543c139,c153""",
Co,3,"=""188.67419""","=""0.00005""","=""188.67419""","=""0.00005""","=""13000""","=""5.6e+08""",C+,"=""70935.243""","=""123936.664""","=""3d6.(3P2).4s""","=""b 4P""","=""5/2""","=""3d6.(3P2).4p""","=""z 4S*""","=""3/2""",6,4,,"=""u37""","=""L19543c139""",
Co,3,"=""188.83428""","=""0.00018""","=""188.83435""","=""0.00005""","=""1300*""","=""6.7e+07""",C,"=""72271.872""","=""125228.339""","=""3d6.(3H).4s""","=""a 4H""","=""7/2""","=""3d6.(3H).4p""","=""z 4G*""","=""7/2""",8,8,,"=""u37""","=""L19543c139,c153""",
Co,3,"=""188.83428""","=""0.00018""","=""188.83473""","=""0.00004""","=""1300*""","=""3.9e+06""",D+,"=""78928.889""","=""131885.250""","=""3d6.(3F2).4s""","=""b 2F""","=""7/2""","=""3d6.(3G).4p""","=""x 4G*""","=""5/2""",8,6,,"=""u37""","=""L19543c139,c153""",
Co,3,"=""188.84460""","=""0.00011""","=""188.84432""","=""0.00004""","=""1200""","=""1.2e+07""",D+,"=""73287.242""","=""126240.912""","=""3d6.(3F2).4s""","=""b 4F""","=""9/2""","=""3d6.(3H).4p""","=""z 4H*""","=""9/2""",10,10,,"=""u37""","=""L19543c139""",
Co,3,"=""188.90814""","=""0.00016""","=""188.90811""","=""0.00005""","=""1100""","=""6.3e+07""",C,"=""77473.535""","=""130409.325""","=""3d6.(3G).4s""","=""a 4G""","=""5/2""","=""3d6.(3F2).4p""","=""z 2F*""","=""5/2""",6,6,,"=""u37""","=""L19543c139""",
Co,3,"=""188.93180""","=""0.00006""","=""188.931901""","=""0.000021""","=""1900""","=""9.3e+07""",C,"=""72084.644""","=""125013.768""","=""3d6.(3H).4s""","=""a 4H""","=""9/2""","=""3d6.(3H).4p""","=""z 4G*""","=""9/2""",10,10,,"=""u37""","=""L19543c139""",
Co,2,"=""189.00855""","=""0.00004""","=""189.008552""","=""0.000008""","=""1600""","=""4.9e+06""",D,"=""10708.331""","=""63615.990""","=""3d7.(4F).4s""","=""b 3F""","=""3""","=""3d7.(4P).4p""","=""y 3D*""","=""2""",7,5,,"=""T6999""","=""L9429c118""",
Co,3,"=""189.0630""","=""0.0005""","=""189.06342""","=""0.00006""","=""190""","=""2.0e+07""",D+,"=""71875.0920""","=""124767.396""","=""3d6.(3H).4s""","=""a 4H""","=""11/2""","=""3d6.(3H).4p""","=""z 4G*""","=""11/2""",12,12,,"=""u37""","=""L19543c140""",
Co,3,"=""189.20060""","=""0.00009""","=""189.20054""","=""0.00007""","=""3500""","=""2.4e+08""",C+,"=""86285.104""","=""139139.075""","=""3d6.(1G2).4s""","=""c 2G""","=""9/2""","=""3d6.(1I).4p""","=""x 2H*""","=""11/2""",10,12,,"=""u37""","=""L19543c139""",
Co,2,"=""189.38724""","=""0.00005""","=""189.387307""","=""0.000007""","=""400""","=""9.e+05""",E,"=""10708.331""","=""63510.180""","=""3d7.(4F).4s""","=""b 3F""","=""3""","=""3d7.(2G).4p""","=""y 3F*""","=""4""",7,9,,"=""T6999""","=""L9429c118""",
Co,3,"=""189.39065""","=""0.00014""","=""189.39077""","=""0.00004""","=""460""","=""2.7e+07""",D+,"=""77384.2947""","=""130185.178""","=""3d6.(3G).4s""","=""a 4G""","=""7/2""","=""3d6.(3F2).4p""","=""z 2F*""","=""7/2""",8,8,,"=""u37""","=""L19543c139""",
Co,3,"=""189.52622""","=""0.00021""","=""189.52593""","=""0.00018""","=""380""","=""2.1e+08""",C,"=""90913.89""","=""143677.12""","=""3d6.(1S2).4s""","=""a 2S""","=""1/2""","=""3d6.(1D2).4p""","=""x 2P*""","=""3/2""",2,4,,"=""u37""","=""L19543c139""",
Co,3,"=""189.536316""","=""0.000021""","=""189.536314""","=""0.000022""","=""30000""","=""5.8e+08""",C+,"=""85475.591""","=""138235.929""","=""3d6.(1I).4s""","=""a 2I""","=""13/2""","=""3d6.(1I).4p""","=""z 2K*""","=""15/2""",14,16,,"=""u37""","=""L19543c139""",
Co,2,"=""189.548450""","=""0.000016""","=""189.548454""","=""0.000007""","=""6600""","=""2.1e+07""",D,"=""13260.688""","=""66017.647""","=""3d8""","=""a 3P""","=""2""","=""3d7.(2G).4p""","=""z 1F*""","=""3""",5,7,,"=""T6999""","=""L9429c118""",
Co,3,"=""189.6037""","=""0.0005""","=""189.60259""","=""0.00003""","=""110""","=""1.6e+07""",E,"=""72271.872""","=""125013.768""","=""3d6.(3H).4s""","=""a 4H""","=""7/2""","=""3d6.(3H).4p""","=""z 4G*""","=""9/2""",8,10,,"=""u37""","=""L19543c140""",
Co,2,"=""189.64827""","=""0.00005""","=""189.648122""","=""0.000011""","=""470""","=""2.0e+06""",D,"=""18973.727""","=""71702.960""","=""3d8""","=""a 1G""","=""4""","=""3d7.(2H).4p""","=""y 3H*""","=""5""",9,11,,"=""T6999""","=""L9429c118""",
Co,2,"=""189.72168""","=""0.00014""","=""189.721738""","=""0.000011""","=""470""","=""6.e+05""",E,"=""11651.277""","=""64360.050""","=""3d8""","=""a 1D""","=""2""","=""3d7.(2G).4p""","=""y 3F*""","=""3""",5,7,,"=""T6999""","=""L9429c118""",
