element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
Co,3,"=""""","=""""","=""182.2062""","=""0.0013""","=""""","=""7.9e+01""",C,"=""57225.6""","=""112108.471""","=""3d7""","=""b 2D1""","=""3/2""","=""3d6.(3F1).4s""","=""d 2F""","=""5/2""",4,6,E2,"=""u37""","=""""",
Co,3,"=""182.2214""","=""0.0004""","=""182.22130""","=""0.00003""","=""720""","=""1.8e+07""",D+,"=""71624.293""","=""126502.620""","=""3d6.(3H).4s""","=""a 4H""","=""13/2""","=""3d6.(3H).4p""","=""z 4H*""","=""11/2""",14,12,,"=""u37""","=""L19543c139""",
Co,3,"=""182.307775""","=""0.000020""","=""182.30596""","=""0.00003""","=""30000*""","=""2.4e+08""",C+,"=""71624.293""","=""126477.135""","=""3d6.(3H).4s""","=""a 4H""","=""13/2""","=""3d6.(3H).4p""","=""z 4H*""","=""13/2""",14,14,,"=""u37""","=""L19543c139,c153""",
Co,3,"=""182.307775""","=""0.000020""","=""182.30829""","=""0.00010""","=""30000*""","=""4.7e+08""",C+,"=""76520.408""","=""131372.55""","=""3d6.(3G).4s""","=""a 4G""","=""11/2""","=""3d6.(3G).4p""","=""x 4G*""","=""11/2""",12,12,,"=""u37""","=""L19543c139,c153""",
Co,3,"=""182.34051""","=""0.00006""","=""182.34051""","=""0.00006""","=""3400""","=""4.7e+08""",C+,"=""91815.362""","=""146657.809""","=""3d6.(1D2).4s""","=""d 2D""","=""3/2""","=""3d6.(1D2).4p""","=""w 2D*""","=""3/2""",4,4,,"=""u37""","=""L19543c139""",
Co,3,"=""182.36176""","=""0.00012""","=""182.36177""","=""0.00010""","=""4600""","=""5.4e+08""",C+,"=""83940.274""","=""138776.33""","=""3d6.(3D).4s""","=""b 4D""","=""7/2""","=""3d6.(3D).4p""","=""x 4P*""","=""5/2""",8,6,,"=""u37""","=""L19543c139""",
Co,3,"=""182.4522""","=""0.0003""","=""182.45248""","=""0.00004""","=""300""","=""8.e+06""",D+,"=""72084.644""","=""126893.436""","=""3d6.(3H).4s""","=""a 4H""","=""9/2""","=""3d6.(3F2).4p""","=""y 4F*""","=""7/2""",10,8,,"=""u37""","=""L19543c139""",
Co,3,"=""182.48686""","=""0.00004""","=""182.48660""","=""0.00005""","=""3500""","=""1.9e+08""",C,"=""73727.954""","=""128526.498""","=""3d6.(3F2).4s""","=""b 4F""","=""5/2""","=""3d6.(3F2).4p""","=""x 4D*""","=""5/2""",6,6,,"=""u37""","=""L19543c139,c153""",
Co,3,"=""""","=""""","=""182.5053""","=""0.0005""","=""""","=""6.4e+00""",C,"=""37022.42""","=""91815.362""","=""3d7""","=""a 2F""","=""5/2""","=""3d6.(1D2).4s""","=""d 2D""","=""3/2""",6,4,E2,"=""u37""","=""""",
Co,3,"=""182.536071""","=""0.000024""","=""182.536070""","=""0.000023""","=""5500""","=""5.1e+08""",C+,"=""78928.889""","=""133712.582""","=""3d6.(3F2).4s""","=""b 2F""","=""7/2""","=""3d6.(3F2).4p""","=""y 2D*""","=""5/2""",8,6,,"=""u37""","=""L19543c139""",
