element,ion_stage,species,wavelength_nm,observed_nm,ritz_nm,wavelength_medium,intensity,intensity_raw,Aki,accuracy,Ei_cm-1,Ek_cm-1,conf_i,term_i,J_i,conf_k,term_k,J_k
Al,1,Al I,882.8909,882.8909,882.8903,air,8.0,8,672000.0,C,32949.807,44273.133,3s2.4p,2P*,1/2,3s2.7s,2S,1/2
Al,1,Al I,884.1277,884.1277,884.1265,air,10.0,10,1340000.0,C,32965.639,44273.133,3s2.4p,2P*,3/2,3s2.7s,2S,1/2
Al,1,Al I,891.29,891.29,891.2918,air,7.0,7,228000.0,C+,32949.807,44166.398,3s2.4p,2P*,1/2,3s2.5d,2D,3/2
Al,2,Al II,892.234,,892.234,air,,,616.0,E,133437.71,144642.45,3s.5f,3F*,2,3s.8d,3D,3
Al,2,Al II,892.256,,892.256,air,,,30700.0,E,133437.71,144642.18,3s.5f,3F*,2,3s.8d,3D,2
Al,2,Al II,892.27,,892.27,air,,,275000.0,D,133437.71,144642.0,3s.5f,3F*,2,3s.8d,3D,1
Al,1,Al I,892.3555,892.3555,892.3565,air,9.0,9,273000.0,C+,32965.639,44168.847,3s2.4p,2P*,3/2,3s2.5d,2D,5/2
Al,1,Al I,892.5504,892.5504,892.5516,air,4.0,4,45400.0,C,32965.639,44166.398,3s2.4p,2P*,3/2,3s2.5d,2D,3/2
Al,2,Al II,892.662,,892.662,air,,,21900.0,E,133443.08,144642.45,3s.5f,3F*,3,3s.8d,3D,3
Al,2,Al II,892.684,,892.684,air,,,245000.0,D,133443.08,144642.18,3s.5f,3F*,3,3s.8d,3D,2
Al,2,Al II,893.22,,893.22,air,,,252000.0,C,133450.07,144642.45,3s.5f,3F*,4,3s.8d,3D,3
Al,2,Al II,894.512,,894.512,air,,,558000.0,E,135012.285,146188.5,3s.6p,3P*,0,3s.9d,3D,1
Al,2,Al II,894.785,,894.785,air,,,418000.0,E,135015.701,146188.5,3s.6p,3P*,1,3s.9d,3D,1
Al,2,Al II,894.785,,894.785,air,,,754000.0,D,135015.701,146188.5,3s.6p,3P*,1,3s.9d,3D,2
Al,2,Al II,895.268,,895.268,air,,,1000000.0,C,135022.127,146188.9,3s.6p,3P*,2,3s.9d,3D,3
Al,2,Al II,895.3,,895.3,air,,,27900.0,E,135022.127,146188.5,3s.6p,3P*,2,3s.9d,3D,1
Al,2,Al II,895.3,,895.3,air,,,250000.0,E,135022.127,146188.5,3s.6p,3P*,2,3s.9d,3D,2
Al,2,Al II,919.873,,919.873,air,,,3420000.0,C+,133916.368,144784.45,3s.5d,1D,2,3s.8f,1F*,3
Al,2,Al II,928.663,,928.663,air,,,64600000.0,A,123418.48,134183.7,3s.4f,3F*,2,3s.5g,3G,3
Al,2,Al II,928.833,,928.833,air,,,5660000.0,B+,123420.45,134183.7,3s.4f,3F*,3,3s.5g,3G,3
Al,2,Al II,928.833,,928.833,air,,,66100000.0,A,123420.45,134183.7,3s.4f,3F*,3,3s.5g,3G,4
Al,2,Al II,929.084,,929.084,air,,,86200.0,C+,123423.36,134183.7,3s.4f,3F*,4,3s.5g,3G,3
Al,2,Al II,929.084,,929.084,air,,,4400000.0,B+,123423.36,134183.7,3s.4f,3F*,4,3s.5g,3G,4
Al,2,Al II,929.084,,929.084,air,,,70100000.0,A,123423.36,134183.7,3s.4f,3F*,4,3s.5g,3G,5
Al,2,Al II,933.172,,933.172,air,,,71500000.0,A,123470.5,134183.7,3s.4f,1F*,3,3s.5g,1G,4
Al,2,Al II,955.682,,955.682,air,,,1910000.0,C+,132822.89,143283.75,3s.5d,3D,3,3s.7f,3F*,4
Al,2,Al II,956.67,,956.67,air,,,1690000.0,C+,132822.80,143272.86,3s.5d,3D,2,3s.7f,3F*,3
Al,2,Al II,956.678,,956.678,air,,,212000.0,D,132822.89,143272.86,3s.5d,3D,3,3s.7f,3F*,3
Al,2,Al II,957.054,,957.054,air,,,387000.0,B,123470.5,133916.368,3s.4f,1F*,3,3s.5d,1D,2
Al,3,Al III,957.152,957.152,957.153,air,8.0,8,58200000.0,A+,178433.43,188878.22,2p6.5p,2P*,1/2,2p6.5d,2D,3/2
Al,2,Al II,957.314,,957.314,air,,,296000.0,D,132822.80,143265.83,3s.5d,3D,2,3s.7f,3F*,2
Al,2,Al II,957.322,,957.322,air,,,8360.0,E,132822.89,143265.83,3s.5d,3D,3,3s.7f,3F*,2
Al,2,Al II,957.328,,957.328,air,,,1600000.0,C+,132822.95,143265.83,3s.5d,3D,1,3s.7f,3F*,2
Al,3,Al III,960.545,,960.545,air,,,11600000.0,A+,178470.32,188878.22,2p6.5p,2P*,3/2,2p6.5d,2D,3/2
